destination_radar,destination_radar_fr,destination_radar_en,homeport_destination_radar,ferme_bureau,tonnage,departure_fr,destination_fr,ship_id,ship_name,departure_action,destination_action,departure_out_date,destination_in_date,source_doc_id
Europe,Europe,Europe,Local,Les Sables-d'Olonne,5,Saint-Michel-en-l'Herm,pas mentionné,0021664N,Saint Esprit,Out,In,1789=10=15,1789>10>15,00342157
Local,Local,Local,Local,La Rochelle,8,La Rochelle,La Flotte-en-Ré,0021669N,Six Freres,Out,In,1789=10=17,1789>10>17,00341492
Europe,Europe,Europe,Local,Les Sables-d'Olonne,39,Saint-Michel-en-l'Herm,pas mentionné,,Saint Nicolas,Out,In,1789=07=23,1789>07>23,00342137
Local,Local,Local,Local,Les Sables-d'Olonne,15,Moricq,Loix,0007506N,Saint Louis,Out,In,1789=07=28,1789>07>28,00332959
Local,Local,Local,Local,La Rochelle,6,La Rochelle,Rivedoux,,Bonne Suzanne,Out,In,1789=03=11,1789>03>11,00340620
France,France,France,Ports francs et petites îles,Les Sables-d'Olonne,41,Noirmoutier,Redon,,Jeune Marianne,Out,In,1789=02=13,1789>02>13,00337395
France,France,France,France,Les Sables-d'Olonne,16,Noirmoutier,Quimper,,Marie Joseph,Out,In,1789=12=05,1789>12>05,00337399
France,France,France,France,Marennes,56,Marennes,Libourne,,Jeune Royale,Out,In,1789=03=16,1789>03>16,00337688
France,France,France,Local,Marennes,40,Marennes,Libourne,,Chasseur,Out,In,1789=12=01,1789>12>01,00337769
Local,Local,Local,Local,Tonnay-Charente,50,Tonnay-Charente,île d'Oléron,,Deux Sœurs,Out,In,1789=05=05,1789>05>05,00340766
Local,Local,Local,Local,Tonnay-Charente,40,Tonnay-Charente,île d'Oléron,,Saint Jean Baptiste,Out,In,1789=05=08,1789>05>08,00340767
Europe,Europe,Europe,France,Les Sables-d'Olonne,61,île de Bouin,pas identifié,,Séraphin,Out,In,1789=09=04,1789>09>04,00338353
Europe,Europe,Europe,Europe,Les Sables-d'Olonne,200,Noirmoutier,Königsberg / Kaliningrad,,Louise Dorothée,Out,In,1789=07=08,1789>07>08,00337856
France,France,France,France,Marennes,105,Marennes,Honfleur,,Bons Amis,Out,In,1789=04=16,1789>04>16,00337881
France,France,France,France,Marennes,88,Marennes,Honfleur,,Marie Théréze,Out,In,1789=05=02,1789>05>02,00337887
France,France,France,France,Marennes,81,Marennes,Honfleur,,Diligent,Out,In,1789=05=12,1789>05>12,00337897
France,France,France,France,Marennes,103,Marennes,Honfleur,,Bons amis,Out,In,1789=05=30,1789>05>30,00337920
France,France,France,France,Marennes,70,Marennes,Honfleur,,Marie de Grace,Out,In,1789=06=12,1789>06>12,00337941
France,France,France,France,Marennes,70,Marennes,Honfleur,,Trois enfants,Out,In,1789=06=16,1789>06>16,00337950
France,France,France,France,Marennes,58,Marennes,Honfleur,,Rosiere,Out,In,1789=07=08,1789>07>08,00337999
Local,Local,Local,Local,La Rochelle,20,La Rochelle,Châlon,0006469N,Marie,Out,In,1789=09=16,1789>09>16,00341914
France,France,France,France,Marennes,88,Marennes,Honfleur,,Marie Francoise,Out,In,1789=07=10,1789>07>10,00338002
France,France,France,France,Marennes,116,Marennes,Honfleur,,Saint Pierre,Out,In,1789=07=23,1789>07>23,00338021
France,France,France,France,Marennes,129,Marennes,Honfleur,,Trois sœurs,Out,In,1789=09=04,1789>09>04,00338057
Local,Local,Local,Local,Rochefort,3,Rochefort,île d'Oléron,,Suzanne,Out,In,1789=05=05,1789>05>05,00340131
France,France,France,France,Marennes,28,Marennes,Vannes,,Saint Nicolas,Out,In,1789=03=11,1789>03>11,00339802
Local,Local,Local,Local,Rochefort,35,Rochefort,Dercie,,Saint Pierre,Out,In,1789=10=24,1789>10>24,00340243
Local,Local,Local,Local,Saint-Martin-de-Ré,15,Saint-Martin-de-Ré,La Rochelle,0009645N,Reine Ester,Out,In,1789=08=03,1789>08>03,00333495
Local,Local,Local,Local,La Rochelle,32,La Rochelle,île de Ré,0007972N,Victoire,Out,In,1789=11=27,1789>11>27,00341439
France,France,France,Ports francs et petites îles,Les Sables-d'Olonne,40,Noirmoutier,Nantes,,Marie Joseph,Out,In,1789=05=26,1789>05>26,00337602
France,France,France,Ports francs et petites îles,Les Sables-d'Olonne,29,Noirmoutier,Nantes,,Pierre Alexis,Out,In,1789=06=26,1789>06>26,00337617
France,France,France,France,Marennes,100,Marennes,Le Havre,,Petit Aimé,Out,In,1789=05=02,1789>05>02,00337786
Local,Local,Local,Local,Marennes,19,Marennes,La Rochelle,,Pierre Francois,Out,In,1789=12=02,1789>12>02,00337847
France,France,France,France,La Rochelle,20,La Rochelle,Le Croisic,,Sainte Anne,Out,In,1789=10=02,1789>10>02,00341605
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,Ports francs et petites îles,Saint-Martin-de-Ré,70,Ars-en-Ré,Dunkerque,,Saint Pierre,Out,In,1789=09=02,1789>09>02,00338193
Local,Local,Local,Local,Marans,40,Marans,La Rochelle,0008506N,Centaure,Out,In,1789=07=30,1789>07>30,00336819
Grande-Bretagne,Grande-Bretagne,Great Britain,Grande-Bretagne,Tonnay-Charente,100,Tonnay-Charente,Londres,,Anne,Out,In,1789=03=20,1789>03>20,00341090
Grande-Bretagne,Grande-Bretagne,Great Britain,Grande-Bretagne,Tonnay-Charente,114,Tonnay-Charente,Londres,,Larke,Out,In,1789=04=25,1789>04>25,00341096
France,France,France,France,Marennes,110,Marennes,Honfleur,,Marie Therèze,Out,In,1789=07=14,1789>07>14,00338009
Local,Local,Local,France,La Rochelle,17,La Rochelle,île d'Oléron,0002313N,Saint Joseph,Out,In,1789=07=07,1789>07>07,00340838
France,France,France,Local,Marennes,66,Marennes,Bordeaux,0008586N,Bien Aimé,Out,In,1789=10=29,1789>10>29,00338962
Local,Local,Local,Local,Tonnay-Charente,30,Tonnay-Charente,île de Ré,0006861N,Providance,Out,In,1789=07=30,1789>07>30,00340688
Local,Local,Local,Local,Tonnay-Charente,30,Tonnay-Charente,île de Ré,0006861N,Providance,Out,In,1789=10=15,1789>10>15,00340712
France,France,France,Local,Rochefort,26,Rochefort,Bordeaux,,Marie Madelaire,Out,In,1789=08=30,1789>08>30,00332935
Local,Local,Local,Local,Les Sables-d'Olonne,18,Moricq,Ars-en-Ré,,Quatre Sœurs,Out,In,1789=07=13,1789>07>13,00332965
Local,Local,Local,Local,Marans,25,Marans,Rochefort,,Deux Amis,Out,In,1789=09=29,1789>09>29,00332984
Local,Local,Local,Local,Tonnay-Charente,5,Tonnay-Charente,île de Ré,0007635N,Princesse,Out,In,1789=10=10,1789>10>10,00340708
France,France,France,Local,Marennes,15,Ribérou,Bordeaux,0009671N,Marianne,Out,In,1789=06=15,1789>06>16,00339635
France,France,France,Local,Tonnay-Charente,32,Tonnay-Charente,Rouen,0009695N,Saint Jacques,Out,In,1789=10=15,1789>10>15,00340508
Local,Local,Local,Local,Tonnay-Charente,60,Tonnay-Charente,La Tremblade,0008311N,Marie Magdelaine,Out,In,1789=07=30,1789>07>30,00341143
France,France,France,France,Marans,44,Marans,Bordeaux,,Marie Joseph,Out,In,1789=04=18,1789>04>18,00335002
Local,Local,Local,Local,Saint-Martin-de-Ré,15,Saint-Martin-de-Ré,La Rochelle,,Deux frères,Out,In,1789=07=01,1789>07>01,00335015
Local,Local,Local,Local,La Rochelle,20,La Rochelle,Rochefort,,Paix,Out,In,1789=09=21,1789>09>21,00340600
Local,Local,Local,Local,Saint-Martin-de-Ré,40,Saint-Martin-de-Ré,Rochefort,,Marianne,Out,In,1789=10=01,1789>10>01,00336113
Local,Local,Local,France,Saint-Martin-de-Ré,50,Saint-Martin-de-Ré,La Rochelle,,Marie,Out,In,1789=03=14,1789>03>14,00336290
Local,Local,Local,France,Saint-Martin-de-Ré,58,Saint-Martin-de-Ré,La Rochelle,,Marie Rose,Out,In,1789=09=07,1789>09>07,00336298
France,France,France,France,Marennes,68,Marennes,Caen ,,Jullien,Out,In,1789=04=21,1789>04>21,00338757
