destination_radar,destination_radar_fr,destination_radar_en,homeport_destination_radar,ferme_bureau,tonnage,departure_fr,destination_fr,ship_id,ship_name,departure_action,destination_action,departure_out_date,destination_in_date,source_doc_id
Local,Local,Local,France,La Rochelle,50,La Rochelle,Seudre,0000547N,Ville de Fécamp,Out,In,1789=07=09,1789>07>09,00340375
Local,Local,Local,Local,Marennes,15,La Perrotine,La Rochelle,0007677N,Espion,Out,In,1789=09=08,1789>09>08,00336272
Local,Local,Local,Local,La Rochelle,50,La Rochelle,île d'Oléron,0007793N,Deux Amis,Out,In,1789=08=18,1789>08>18,00340848
Local,Local,Local,Local,Marennes,37,Marennes,Soubise,,Saint Pierre,Out,In,1789=03=14,1789>03>14,00337269
France,France,France,France,Les Sables-d'Olonne,4,Les Sables-d'Olonne,Côtes de Bretagne,0009537N,Sainte Anne,Out,In,1789=09=19,1789>09>19,00338401
Local,Local,Local,Local,Tonnay-Charente,39,Tonnay-Charente,La Rochelle,0007723N,Sainte Ustelle,Out,In,1789=09=21,1789>09>21,00341333
Local,Local,Local,Local,Marennes,28,Le Château-d'Oléron,Marans,0009635N,Saint Challe,Out,In,1789=06=06,1789>06>06,00339786
Local,Local,Local,Local,Marennes,16,Ribérou,Le Chapus,0001527N,Deux Freres,Out,In,1789=02=03,1789>02>03,00339945
Local,Local,Local,Local,La Rochelle,38,La Rochelle,Marennes,0010965N,Fidélité,Out,In,1789=10=13,1789>10>13,00340993
France,France,France,France,Marans,28,Marans,Bordeaux,0007724N,Destin,Out,In,1789=01=30,1789>01>30,00334968
Local,Local,Local,Local,Marans,15,Marans,Ars-en-Ré,,Don de Dieu,Out,In,1789=04=30,1789>04>30,00332948
Local,Local,Local,Local,Marennes,32,Marennes,Tonnay-Charente,0007760N,Marianne,Out,In,1789=10=31,1789>10>31,00338680
Local,Local,Local,Local,Marennes,20,Ribérou,La Rochelle,0007783N,Saint Etienne,Out,In,1789=10=26,1789>10>26,00333366
Local,Local,Local,Local,Tonnay-Charente,35,Tonnay-Charente,île de Ré,0007494N,Marie Elizabeth,Out,In,1789=07=15,1789>07>15,00340686
Local,Local,Local,Local,Marans,5,Marans,Esnandes,0008529N,Saint Jean,Out,In,1789=11=11,1789>11>11,00332930
Local,Local,Local,Local,Rochefort,27,Rochefort,Saint-Savinien,0007503N,Saint Jean,Out,In,1789=08=12,1789>08>12,00340111
France,France,France,France,Marennes,45,Marennes,Libourne,,Saint Sauveur,Out,In,1789=03=11,1789>03>11,00337683
France,France,France,France,Tonnay-Charente,61,Tonnay-Charente,Rouen,0001435N,Providance,Out,In,1789=06=02,1789>06>03,00341469
Local,Local,Local,Local,Marennes,8,Le Château-d'Oléron,Marans,0021112N,Societe,Out,In,1789=06=12,1789>06>12,00339787
France,France,France,France,Les Sables-d'Olonne,8,La Tranche-sur-Mer,Bordeaux,0021113N,Aimable Jeanne,Out,In,1789=08=20,1789>08>20,00332700
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,France,Les Sables-d'Olonne,108,Les Sables-d'Olonne,Bayonne,0001908N,Concorde,Out,In,1789=10=30,1789>10>30,00339122
Local,Local,Local,Local,Saint-Martin-de-Ré,15,Ars-en-Ré,La Rochelle,0009645N,Reine Esther,Out,In,1789=07=24,1789>07>24,00337825
Local,Local,Local,Local,Saint-Martin-de-Ré,26,La Flotte-en-Ré,Tonnay-Charente,0021697N,Marie Margueritte,In-Out,In,1789=04=02,1789>04>02,00332671
France,France,France,France,Marennes,104,Marennes,Honfleur,0021726N,Aimable Jeanne,Out,In,1789=06=16,1789>06>16,00337949
Local,Local,Local,Local,Rochefort,18,Rochefort,île de Ré,0021729N,Esperance,Out,In,1789=11=20,1789>11>20,00333251
Local,Local,Local,Local,Marennes,60,Marennes,Tonnay-Charente,0010449N,Sainte Marie,Out,In,1789=11=11,1789>11>11,00338691
France,France,France,France,Marennes,10,Ribérou,Côtes de Bretagne,0007582N,Sainte Anne,Out,In,1789=09=15,1789>09>15,00336417
Local,Local,Local,Local,Saint-Martin-de-Ré,6,Saint-Martin-de-Ré,La Rochelle,0010984N,Aimable Françoise,Out,In,1789=04=02,1789>04>02,00337850
France,France,France,France,Les Sables-d'Olonne,24,Moricq,Bordeaux,,Sainte Anne,Out,In,1789=04=03,1789>04>03,00332780
France,France,France,France,La Rochelle,15,La Rochelle,Le Croisic,,Sainte Anne,Out,In,1789=07=23,1789>07>23,00341543
Local,Local,Local,Local,Marennes,36,Ribérou,île d'Oléron,,Marianne,Out,In,1789=10=27,1789>10>27,00333109
France,France,France,Ports francs et petites îles,Les Sables-d'Olonne,10,Noirmoutier,Bourgneuf,,Susanne,Out,In,1789=06=04,1789>06>05,00333209
Local,Local,Local,Local,Marans,14,Marans,Le Plomb,0021541N,Saint Louis,Out,In,1789=02=21,1789>02>21,00332937
Local,Local,Local,Local,Saint-Martin-de-Ré,15,Saint-Martin-de-Ré,île d'Oléron,,Saint Jacque,Out,In,1789=09=04,1789>09>04,00333243
Grande-Bretagne,Grande-Bretagne,Great Britain,Grande-Bretagne,Rochefort,136,Rochefort,Newcastle,,Dublin,Out,In,1789=03=28,1789>03>28,00333441
Local,Local,Local,Local,Tonnay-Charente,33,Tonnay-Charente,île de Ré,,Grace de Dieu,Out,In,1789=10=16,1789>10>16,00340713
Local,Local,Local,Local,Marennes,2,Ribérou,La Perrotine,,Saint François,Out,In,1789=07=25,1789>07>25,00336141
Local,Local,Local,Local,Saint-Martin-de-Ré,20,La Flotte-en-Ré,Tonnay-Charente,0007648N,Patiance,In-Out,In,1789=10=01,1789>10>01,00332676
Local,Local,Local,Ports francs et petites îles,Marans,46,Marans,île d'Oléron,,Vigilent,Out,In,1789=07=15,1789>07>15,00336145
Local,Local,Local,Local,Saint-Martin-de-Ré,15,Saint-Martin-de-Ré,Marennes,,Elizabethe,Out,In,1789=08=05,1789>08>05,00336231
France,France,France,France,Marans,30,Marans,La Teste,,Saint Alexandre,Out,In,1789=05=09,1789>05>09,00336261
Local,Local,Local,Local,La Rochelle,20,La Rochelle,Rochefort,0003554N,Commerce,Out,In,1789=05=20,1789>05>20,00340575
Local,Local,Local,Local,Marennes,20,Ribérou,La Rochelle,0006388N,Saint Pierre,Out,In,1789=08=20,1789>08>20,00333346
Local,Local,Local,Local,La Rochelle,24,La Rochelle,Tonnay-Charente,,Petit Saint Jean,Out,In,1789=11=25,1789>11>25,00341845
France,France,France,France,Marennes,57,Marennes,Saint-Valéry-sur-Somme,0000212N,Saint Anne,Out,In,1789=05=29,1789>05>29,00337309
Local,Local,Local,Local,Les Sables-d'Olonne,42,Les Sables-d'Olonne,île d'Yeu,,Jeune Amandé,Out,In,1789=07=01,1789>07>01,00336308
Local,Local,Local,Local,Marennes,9,La Perrotine,île de Ré,,Confiance en Dieu,Out,In,1789=04=02,1789>04>02,00336320
France,France,France,France,Marennes,10,Ribérou,Côtes de Bretagne,,Sainte Anne,Out,In,1789=08=17,1789>08>17,00336375
France,France,France,France,Marennes,10,Ribérou,Côtes de Bretagne,,Sainte Anne,Out,In,1789=08=24,1789>08>24,00336392
France,France,France,France,Marennes,10,Ribérou,Côtes de Bretagne,,Sainte Anne,Out,In,1789=09=15,1789>09>15,00336416
France,France,France,France,Marennes,10,Ribérou,Côtes de Bretagne,,Sainte Genevieve,Out,In,1789=10=20,1789>10>20,00336448
France,France,France,France,Marennes,10,Ribérou,Côtes de Bretagne,,Providence,Out,In,1789=11=27,1789>11>27,00336463
France,France,France,France,Marans,4,Marans,Côtes de Bretagne,,Sainte Trinité,Out,In,1789=11=09,1789>11>09,00336611
France,France,France,Local,Saint-Martin-de-Ré,25,La Flotte-en-Ré,Port-Launay,0008058N,Marie Claire,In-Out,In,1789=09=03,1789>09>03,00337220
Local,Local,Local,Local,Tonnay-Charente,26,Tonnay-Charente,île de Ré,,Elizabeth,Out,In,1789=10=12,1789>10>12,00340709
France,France,France,France,Saint-Martin-de-Ré,7,Saint-Martin-de-Ré,Arzon,,Jean Marie,Out,In,1789=10=01,1789>10>01,00336650
France,France,France,Local,Marennes,28,La Perrotine,Bordeaux,,Saint Charle,Out,In,1789=06=21,1789>06>21,00336782
France,France,France,Local,Saint-Martin-de-Ré,40,La Flotte-en-Ré,Bordeaux,,Aimable Suzanne,In-Out,In,1789=04=23,1789>04>23,00336811
France,France,France,France,Marennes,73,Marennes,Caen ,,Notre Dame du Bon Secours,Out,In,1789=04=22,1789>04>22,00338758
Local,Local,Local,Local,Marennes,16,Marennes,Saint-Savinien,0008311N,Marie Madelaine,Out,In,1789=08=26,1789>08>26,00339730
Local,Local,Local,Local,Marennes,20,Ribérou,Rochefort,0006418N,Monsieur,Out,In,1789=03=07,1789>03>07,00333289
Local,Local,Local,Local,La Rochelle,32,La Rochelle,Rochefort,0007400N,Union,Out,In,1789=03=16,1789>03>16,00340558
Local,Local,Local,Local,Marennes,20,Ribérou,La Rochelle,0007783N,Saint Etienne,Out,In,1789=04=28,1789>04>28,00333304
France,France,France,Local,Les Sables-d'Olonne,28,île de Bouin,Redon,0008643N,Deux Amis,Out,In,1789=09=04,1789>09>04,00337370
Local,Local,Local,Local,La Rochelle,30,La Rochelle,Tonnay-Charente,0021995N,Marie Susanne,Out,In,1789=06=12,1789>06>12,00341739
Local,Local,Local,Local,La Rochelle,3,La Rochelle,Marennes,0021665N,Chevailler,Out,In,1789=02=18,1789>02>18,00341035
Local,Local,Local,Local,Tonnay-Charente,30,Tonnay-Charente,La Rochelle,0021995N,Marie Suzanne,Out,In,1789=03=20,1789>03>20,00341221
Local,Local,Local,Local,La Rochelle,20,La Rochelle,Moricq,,Tonnant,Out,In,1789=11=01,1789>11>01,00340953
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,France,Rochefort,15,Rochefort,Lorient,,Victoire,Out,In,1789=01=21,1789>01>21,00340225
Local,Local,Local,Local,Tonnay-Charente,38,Tonnay-Charente,La Rochelle,0006966N,Victoire,Out,In,1789=07=15,1789>07>15,00341290
Local,Local,Local,Local,Marans,15,Marans,Marennes,0006487N,Marie Lagrange,Out,In,1789=02=13,1789>02>13,00334918
Local,Local,Local,Local,Saint-Martin-de-Ré,30,Saint-Martin-de-Ré,Tonnay-Charente,0006861N,Providence,Out,In,1789=08=08,1789>08>08,00336503
Local,Local,Local,Local,Saint-Martin-de-Ré,32,Saint-Martin-de-Ré,Tonnay-Charente,0006876N,Providence,Out,In,1789=06=19,1789>06>19,00336497
France,France,France,France,La Rochelle,17,La Rochelle,Le Croisic,0008447N,Sainte Anne,Out,In,1789=12=02,1789>12>02,00341620
Grande-Bretagne,Grande-Bretagne,Great Britain,Grande-Bretagne,Tonnay-Charente,100,Tonnay-Charente,Londres,,Eléonore,Out,In,1789=11=27,1789>11>27,00341120
Local,Local,Local,Local,Marans,40,Marans,La Rochelle,0011515N,Binjamin,Out,In,1789=09=03,1789>09>03,00332862
France,France,France,France,La Rochelle,14,La Rochelle,Le Croisic,,Marie Joseph,Out,In,1789=09=24,1789>09>24,00341598
Local,Local,Local,Local,Saint-Martin-de-Ré,45,Saint-Martin-de-Ré,Châlon,0007079N,Davisard,Out,In,1789=09=12,1789>09>12,00336525
France,France,France,Ports francs et petites îles,Les Sables-d'Olonne,50,Noirmoutier,Nantes,0007120N,Margueritte,Out,In,1789=06=06,1789>06>06,00337609
France,France,France,France,La Rochelle,6,La Rochelle,Le Croisic,,Saint Pierre,Out,In,1789=12=19,1789>12>19,00341621
Local,Local,Local,France,La Rochelle,34,La Rochelle,La Tranche-sur-Mer,0004397N,Aimable Jeanne,Out,In,1789=12=07,1789>12>07,00341157
France,France,France,France,Marans,4,Marans,Côtes de Bretagne,0021256N,Marie,Out,In,1789=09=26,1789>09>26,00336600
Local,Local,Local,Local,Marans,15,Marans,Loix,,Saint Pierre,Out,In,1789=05=12,1789>05>12,00332831
Local,Local,Local,Local,Marennes,18,Ribérou,La Perrotine,0008700N,Saint Joseph,Out,In,1789=05=16,1789>05>16,00333124
Local,Local,Local,Local,Marennes,18,Ribérou,île d'Oléron,0008700N,Saint Joseph,Out,In,1789=10=29,1789>10>29,00333157
France,France,France,France,La Rochelle,26,La Rochelle,Le Croisic,,Sainte Anne,Out,In,1789=09=03,1789>09>03,00341583
Local,Local,Local,Local,Marans,20,Marans,Marennes,0007318N,Diligente,Out,In,1789=06=07,1789>06>07,00334927
France,France,France,France,La Rochelle,18,La Rochelle,Le Croisic,,Marie Francoise,Out,In,1789=10=29,1789>10>29,00341612
Local,Local,Local,Local,Rochefort,20,Rochefort,Châlon,0006418N,Monsieur,Out,In,1789=03=31,1789>03>31,00341928
Local,Local,Local,Local,Marennes,35,Marennes,Tonnay-Charente,0007494N,Marie Elizabéth,Out,In,1789=08=05,1789>08>05,00336478
Local,Local,Local,Local,La Rochelle,3,La Rochelle,Le Chapus,0021665N,Chevaliere,Out,In,1789=04=21,1789>04>21,00341860
France,France,France,France,Marans,16,Marans,Côtes de Bretagne,0009541N,Sainte Marie,Out,In,1789=07=28,1789>07>28,00336541
Local,Local,Local,Local,Saint-Martin-de-Ré,39,Saint-Martin-de-Ré,Tonnay-Charente,0007648N,Patience,Out,In,1789=02=23,1789>02>23,00339773
France,France,France,France,La Rochelle,6,La Rochelle,Le Croisic,,Sainte Anne,Out,In,1789=09=26,1789>09>26,00341601
France,France,France,France,Tonnay-Charente,90,Tonnay-Charente,Nantes,,Marie Elizabeth Thereze,Out,In,1789=08=13,1789>08>13,00340905
France,France,France,France,Marennes,30,La Perrotine,Belle-Île-en-Mer,,Auguste,Out,In,1789=10=31,1789>10>31,00340009
Local,Local,Local,Local,Tonnay-Charente,35,Tonnay-Charente,Marans,0007494N,Marie Elizabeth,Out,In,1789=05=23,1789>05>23,00341043
Local,Local,Local,Local,Tonnay-Charente,32,Tonnay-Charente,La Rochelle,0007532N,Saint François,Out,In,1789=07=09,1789>07>09,00341285
Local,Local,Local,Local,Tonnay-Charente,45,Tonnay-Charente,La Rochelle,0003681N,Marie Thereze,Out,In,1789=03=04,1789>03>04,00341207
Local,Local,Local,Local,Tonnay-Charente,39,Tonnay-Charente,La Rochelle,0006492N,Saint Nicolas,Out,In,1789=01=21,1789>01>21,00341175
Local,Local,Local,Local,Tonnay-Charente,38,Tonnay-Charente,La Rochelle,0006507N,Engelique,Out,In,1789=07=01,1789>07>01,00341280
Local,Local,Local,Local,Tonnay-Charente,36,Tonnay-Charente,Marennes,,Tasselier,Out,In,1789=08=19,1789>08>19,00341022
France,France,France,France,Marans,74,Marans,Bordeaux,,Favorite,Out,In,1789=02=14,1789>02>14,00334981
Local,Local,Local,France,La Rochelle,30,La Rochelle,île d'Oléron,,Fille Unique,Out,In,1789=05=29,1789>05>29,00340825
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,France,Marennes,95,Marennes,Bayonne,,Mercure,Out,In,1789=12=09,1789>12>09,00339098
Local,Local,Local,Local,La Rochelle,25,La Rochelle,Saintes,,Marie Anne,Out,In,1789=03=30,1789>03>30,00340380
Local,Local,Local,Local,La Rochelle,29,La Rochelle,Marennes,,Aimable,Out,In,1789=05=29,1789>05>29,00340979
Local,Local,Local,Local,Les Sables-d'Olonne,24,Les Sables-d'Olonne,La Rochelle,0000882N,Espérance,Out,In,1789=10=29,1789>10>29,00336776
France,France,France,France,Marennes,28,Marennes,Bordeaux,0008663N,Saint Pierre,Out,In,1789=06=04,1789>06>04,00338875
France,France,France,Local,Rochefort,32,Rochefort,Brest,0008717N,Saint Pierre,Out,In,1789=02=13,1789>02>13,00339981
Local,Local,Local,Local,Rochefort,3,Rochefort,île d'Oléron,0006601N,Deux sœurs,Out,In,1789=07=14,1789>07>14,00336787
Local,Local,Local,Local,Marennes,20,Marennes,Marans,0007318N,Dilligente,Out,In,1789=07=03,1789>07>03,00339792
Local,Local,Local,France,La Rochelle,15,La Rochelle,La Tranche-sur-Mer,0007572N,Etoile de la Mer,Out,In,1789=10=19,1789>10>19,00341155
France,France,France,France,La Rochelle,17,La Rochelle,Bordeaux,0007573N,Aimable Jeanne,Out,In,1789=08=04,1789>08>04,00342030
Local,Local,Local,France,Saint-Martin-de-Ré,46,La Flotte-en-Ré,mer des Pertuis,0007987N,Sauterelle,In-Out,In,1789=07=24,1789>07>24,00332667
France,France,France,Local,Saint-Martin-de-Ré,30,Saint-Martin-de-Ré,Vannes,0006861N,Providence,Out,In,1789=11=30,1789>11>30,00336076
Local,Local,Local,Local,Tonnay-Charente,36,Tonnay-Charente,île de Ré,0006876N,Patiance,Out,In,1789=04=20,1789>04>20,00340665
Local,Local,Local,Local,Tonnay-Charente,32,Tonnay-Charente,île de Ré,0006876N,Providance,Out,In,1789=10=15,1789>10>15,00340711
Local,Local,Local,Local,Marennes,12,Marennes,Marans,,Aimable Suzanne,Out,In,1789=01=30,1789>01>30,00336658
Local,Local,Local,Local,Saint-Martin-de-Ré,30,Saint-Martin-de-Ré,Marans,,Deux Amis,Out,In,1789=09=02,1789>09>02,00336691
Local,Local,Local,Local,Saint-Martin-de-Ré,20,Saint-Martin-de-Ré,Marans,,Saint Pierre,Out,In,1789=12=12,1789>12>12,00336703
France,France,France,France,La Rochelle,40,La Rochelle,Nantes,,Jeune Périne,Out,In,1789=08=08,1789>08>08,00340919
Local,Local,Local,Local,La Rochelle,24,La Rochelle,Les Sables-d'Olonne,0000882N,Espérance,Out,In,1789=08=13,1789>08>13,00340475
Europe,Europe,Europe,Local,La Rochelle,200,La Rochelle,Grands Bancs de Terre-Neuve,,Jeune Baptiste,Out,In,1789=03=06,1789>03>06,00336939
Local,Local,Local,Local,Saint-Martin-de-Ré,15,Saint-Martin-de-Ré,Marennes,,Rosalie,Out,In,1789=06=14,1789>06>14,00337105
Local,Local,Local,Local,La Rochelle,10,La Rochelle,Saint-Denis d'Oléron,0006325N,Julie,Out,In,1789=08=08,1789>08>08,00340445
France,France,France,France,La Rochelle,90,La Rochelle,Saint-Valéry-sur-Somme,0006791N,Marquis de Veaudoins,Out,In,1789=05=11,1789>05>11,00340398
Local,Local,Local,Local,Saint-Martin-de-Ré,16,Saint-Martin-de-Ré,Marennes,,Marie Madelaine,Out,In,1789=04=15,1789>04>15,00337111
Local,Local,Local,Local,La Rochelle,24,La Rochelle,Les Sables-d'Olonne,,Providence,Out,In,1789=02=14,1789>02>14,00340463
Local,Local,Local,Local,Marans,36,Marans,Tonnay-Charente,,Petite Marie,Out,In,1789=08=29,1789>08>29,00336827
Local,Local,Local,Local,Marans,15,Marans,La Tremblade,0006487N,Marie Lagrange,Out,In,1789=08=22,1789>08>22,00333856
France,France,France,Europe,Saint-Martin-de-Ré,70,Saint-Martin-de-Ré,Bordeaux,,Prosperité,Out,In,1789=04=16,1789>04>16,00334852
France,France,France,France,Marennes,44,Marennes,Bordeaux,,Sainte Anne,Out,In,1789=09=21,1789>09>21,00338935
France,France,France,Local,Tonnay-Charente,54,Tonnay-Charente,Nantes,0002611N,Providance,Out,In,1789=06=16,1789>06>16,00340896
France,France,France,France,Marennes,9,Marennes,Bordeaux,,Sainte Barbe,Out,In,1789=04=27,1789>04>27,00337218
France,France,France,France,Les Sables-d'Olonne,15,Les Sables-d'Olonne,Bordeaux,,Marie Ange,Out,In,1789=06=20,1789>06>20,00337231
Local,Local,Local,France,Marennes,18,Marennes,île d'Oléron,,Rosalie,Out,In,1789=03=30,1789>03>30,00337195
Europe,Europe,Europe,France,Tonnay-Charente,160,Tonnay-Charente,Ostende,,Hazard,Out,In,1789=04=08,1789>04>08,00340748
France,France,France,France,Saint-Martin-de-Ré,52,Ars-en-Ré,Saint-Malo,,Saint Luc,Out,In,1789=12=01,1789>12>01,00337333
France,France,France,France,Saint-Martin-de-Ré,150,Ars-en-Ré,Saint-Brieuc,,Suzette,Out,In,1789=03=14,1789>03>14,00337343
