country,country_en,nb_pointcalls,tonnage
France (hors région PASA),France (outside PASA region),946,66703
Provinces-Unies,United Provinces,21,3512
Espagne,Spain,6,426
France (région PASA),France (inside PASA region),493,15157
Lubeck,Lubeck,8,1423
Empire russe,Russian Empire,1,210
zone maritime,Open sea,1,100
Etats-Unis d'Amérique,United States,2,499
Prusse,Prussia,7,1264
Grande-Bretagne,Great Britain,4,783
Indéterminé,Indetermined,4,150
Autriche,Austria,3,234
