port,latitude,longitude,tonnage,nb_pointcalls
Marennes,45.816667,-1.116667,83637,1301
Noirmoutier,47,-2.25,10445,197
Ars-en-Ré,46.216667,-1.516667,18009,246
Les Sables-d'Olonne,46.5,-1.783333,5718,106
Saint-Martin-de-Ré,46.2,-1.366667,4329,49
Saint-Gilles-sur-Vie,46.697882,-1.945124,1525,41
île de Bouin,46.975134,-1.998682,3219,85
Beauvoir-sur-Mer,46.916667,-2.05,3064,78
Ribérou,45.6755,-0.935826,15,1
