homeport,homeport_en,nb_pointcalls,tonnage,country_group,country_group_en,category_1,category_1_en,category_2,category_2_en
Londres,London,37,4086,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Locmariaquer,Locmariaquer,1,1,France,France,France,France,France (hors région PASA),France (outside PASA region)
Newcastle,Newcastle,13,2561,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Marans,Marans,31,210,France,France,France,France,France (région PASA),France (PASA region)
Memel,Memel,4,601,Europe centrale,Central Europe,étranger,foreign,Prusse,Prussia
Saint-Savinien,Saint-Savinien,7,323,France,France,France,France,France (région PASA),France (PASA region)
île de Ré,île de Ré,5,104,France,France,France,France,France (région PASA),France (PASA region)
Châlon,Châlon,2,21,France,France,France,France,France (région PASA),France (PASA region)
Hambourg,Hamburg,7,771,Europe centrale,Central Europe,étranger,foreign,Hambourg,Hamburg
La Rochelle,La Rochelle,14,4467,France,France,France,France,France (région PASA),France (PASA region)
La Flotte-en-Ré,La Flotte-en-Ré,3,45,France,France,France,France,France (région PASA),France (PASA region)
Kristiansund ,Kristiansund ,1,1,Europe du Nord,Northern Europe,étranger,foreign,Danemark,Denmark
Le Conquet,Le Conquet,3,231,France,France,France,France,France (hors région PASA),France (outside PASA region)
Indéterminé,,18,1630,Autre,Other,étranger,foreign,Indéterminé,Indetermined
Oude Pekela,Oude Pekela,2,122,Europe du Nord,Northern Europe,étranger,foreign,Provinces-Unies,United Provinces
Taillebourg,Taillebourg,1,1,France,France,France,France,France (région PASA),France (PASA region)
Brême,Bremen,5,436,Europe centrale,Central Europe,étranger,foreign,Brême,Bremen
La Couarde,La Couarde,1,1,France,France,France,France,France (région PASA),France (PASA region)
île d'Arz,île d'Arz,1,1,France,France,France,France,France (hors région PASA),France (outside PASA region)
Guernesey,Guernesey,5,319,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Rouen,Rouen,1,1,France,France,France,France,France (hors région PASA),France (outside PASA region)
Gloucester,Gloucester,3,206,Amérique,America,étranger,foreign,Etats-Unis d'Amérique,United States
Philadelphie,Philadelphia,1,1,Amérique,America,étranger,foreign,Etats-Unis d'Amérique,United States
Stavanger,Stavanger,10,993,Europe du Nord,Northern Europe,étranger,foreign,Danemark,Denmark
Waterford,Waterford,1,1,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Amsterdam,Amsterdam,21,4745,Europe du Nord,Northern Europe,étranger,foreign,Provinces-Unies,United Provinces
Molde,Molde,2,106,Europe du Nord,Northern Europe,étranger,foreign,Danemark,Denmark
Yarmouth,Yarmouth,6,471,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Bergue ,Bergen,17,1162,Europe du Nord,Northern Europe,étranger,foreign,Danemark,Denmark
Boston,Boston,6,429,Amérique,America,étranger,foreign,Etats-Unis d'Amérique,United States
Galway,Galway,1,1,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Holmestrand,Holmestrand,2,127,Europe du Nord,Northern Europe,étranger,foreign,Danemark,Denmark
Teignmouth,Teignmouth,3,201,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Honfleur,Honfleur,2,153,France,France,France,France,France (hors région PASA),France (outside PASA region)
Newburyport,Newburyport,4,236,Amérique,America,étranger,foreign,Etats-Unis d'Amérique,United States
Saint-Malo,Saint-Malo,1,1,France,France,France,France,France (hors région PASA),France (outside PASA region)
Granville,Granville,1,1,France,France,France,France,France (hors région PASA),France (outside PASA region)
Libourne,Libourne,1,1,France,France,France,France,France (hors région PASA),France (outside PASA region)
Frise,Friesland,2,61,Europe du Nord,Northern Europe,étranger,foreign,Provinces-Unies,United Provinces
Cherbourg,Cherbourg,3,89,France,France,France,France,France (hors région PASA),France (outside PASA region)
Dantzig ,Gdańsk,7,1641,Europe de l'Est,Eastern Europe,étranger,foreign,Pologne,Poland
Hull,Hull,10,1230,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Oldenbourg,Oldenburg ,2,121,Europe centrale,Central Europe,étranger,foreign,Duché d'Oldenbourg,Duchy of Oldenburg
Ars-en-Ré,Ars-en-Ré,2,46,France,France,France,France,France (région PASA),France (PASA region)
Saint-Valéry-sur-Somme,Saint-Valery-sur-Somme,2,76,France,France,France,France,France (hors région PASA),France (outside PASA region)
Quiberon,Quiberon,5,117,France,France,France,France,France (hors région PASA),France (outside PASA region)
Nantes,Nantes,1,1,France,France,France,France,France (hors région PASA),France (outside PASA region)
Vannes,Vannes,3,75,France,France,France,France,France (hors région PASA),France (outside PASA region)
Paimpol,Paimpol,1,1,France,France,France,France,France (hors région PASA),France (outside PASA region)
Tréguier,Tréguier,1,1,France,France,France,France,France (hors région PASA),France (outside PASA region)
Rotterdam,Rotterdam,2,76,Europe du Nord,Northern Europe,étranger,foreign,Provinces-Unies,United Provinces
Luçon,Luçon,1,1,France,France,France,France,France (région PASA),France (PASA region)
île de Man,Isle of Man,1,1,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Mecklenbourg,Mecklenburg,1,1,Europe du Nord,Northern Europe,étranger,foreign,Suède,Sweden
Ribnitz,Ribnitz,2,341,Europe centrale,Central Europe,étranger,foreign,Mecklenbourg,Mecklenburg
Plencia,Plentzia,3,75,Europe du Sud,Southern Europe,étranger,foreign,Espagne,Spain
Harwich,Harwich,1,1,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Lübeck,Lübeck,8,1251,Europe centrale,Central Europe,étranger,foreign,Lubeck,Lubeck
Norvège,Norway,1,1,Europe du Nord,Northern Europe,étranger,foreign,Danemark,Denmark
Christiania / Oslo,Oslo,1,1,Europe du Nord,Northern Europe,étranger,foreign,Danemark,Denmark
Cork,Cork,3,55,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Liverpool,Liverpool,4,421,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Bristol,Bristol,4,349,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Hollande,Holland,2,201,Europe du Nord,Northern Europe,étranger,foreign,Provinces-Unies,United Provinces
Frederikshald / Halden,Frederikshald / Halden,6,625,Europe du Nord,Northern Europe,étranger,foreign,Danemark,Denmark
Southampton,Southampton,1,1,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
New York,New York,1,1,Amérique,America,étranger,foreign,Etats-Unis d'Amérique,United States
Appledore,Appledore,1,1,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Rochefort,Rochefort,5,766,France,France,France,France,France (région PASA),France (PASA region)
Emden,Emden,4,474,Europe centrale,Central Europe,étranger,foreign,Prusse,Prussia
Zierikzee,Zierikzee,2,238,Europe du Nord,Northern Europe,étranger,foreign,Provinces-Unies,United Provinces
Portsmouth,Portsmouth,2,241,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Topsham,Topsham,2,121,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
"Portsmouth, VA,","Portsmouth, VA,",1,1,Amérique,America,étranger,foreign,Etats-Unis d'Amérique,United States
Norfolk,Norfolk,1,1,Amérique,America,étranger,foreign,Etats-Unis d'Amérique,United States
Poole,Poole,4,411,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Mandal,Mandal,1,1,Europe du Nord,Northern Europe,étranger,foreign,Danemark,Denmark
Noirmoutier,Noirmoutier,2,59,France,France,France,France,France (région PASA),France (PASA region)
Plymouth,Plymouth,4,360,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Papenbourg,Papenburg,1,1,Europe du Nord,Northern Europe,étranger,foreign,Evêché de Münster,Prince-Bishopric of Münster
Groningue,Groningen,3,188,Europe du Nord,Northern Europe,étranger,foreign,Provinces-Unies,United Provinces
Georgie,Georgia,1,1,Amérique,America,étranger,foreign,Etats-Unis d'Amérique,United States
Königsberg / Kaliningrad,Kaliningrad ,12,2267,Europe centrale,Central Europe,étranger,foreign,Prusse,Prussia
Carteret,Carteret,1,1,France,France,France,France,France (hors région PASA),France (outside PASA region)
Saint-Briac,Saint-Briac,1,1,France,France,France,France,France (hors région PASA),France (outside PASA region)
Caroline,Carolina,1,1,Amérique,America,étranger,foreign,Etats-Unis d'Amérique,United States
Kristiansand ,Kristiansand ,6,618,Europe du Nord,Northern Europe,étranger,foreign,Danemark,Denmark
Moss,Moss,1,1,Europe du Nord,Northern Europe,étranger,foreign,Danemark,Denmark
Marblehead,Marblehead,1,1,Amérique,America,étranger,foreign,Etats-Unis d'Amérique,United States
Salem,Salem,1,1,Amérique,America,étranger,foreign,Etats-Unis d'Amérique,United States
