port,nb_pointcalls_out,mean_tonnage,cumulated_tonnage,latitude,longitude,customs_office
Moricq,90,25.555555555555557,2300,46.396209,-1.374028,Les Sables-d'Olonne
Champagné-les-Marais,1,27.0,27,46.366667,-1.133333,Les Sables-d'Olonne
île de Bouin,97,37.11340206185567,3600,46.975134,-1.998682,ile de Bouin : hors DFLR
Royan,14,31.285714285714285,438,45.633333,-1.033333,Marennes
La Perrotine,73,18.726027397260275,1367,45.964614,-1.243436,Marennes
Rochefort,360,70.49722222222222,25379,45.943666,-0.97043,Rochefort
Soubise,2,15.5,31,45.933333,-1,Marennes
Marennes,1481,60.49358541525996,89591,45.816667,-1.116667,Marennes
Saint-Martin-de-Ré,476,34.029411764705884,16198,46.2,-1.366667,Saint-Martin-de-Ré
Saint-Denis d'Oléron,67,20.402985074626866,1367,46.033333,-1.383333,Marennes
Ars-en-Ré,307,66.30944625407166,20357,46.216667,-1.516667,Saint-Martin-de-Ré
La Tranche-sur-Mer,24,13.083333333333334,314,46.333333,-1.433333,Les Sables-d'Olonne
La Rochelle,1010,47.229702970297026,47702,46.166667,-1.15,La Rochelle
Ribérou,434,15.089861751152073,6549,45.6755,-0.935826,Marennes
Esnandes,2,17.5,35,46.25,-1.083333,La Rochelle
Noirmoutier,286,43.47552447552447,12434,47,-2.25,Les Sables-d'Olonne
Saint-Gilles-sur-Vie,78,36.41025641025641,2840,46.697882,-1.945124,Les Sables-d'Olonne
Tonnay-Charente,601,45.722129783693845,27479,45.95,-0.9,Tonnay-Charente
Les Sables-d'Olonne,191,40.96335078534032,7824,46.5,-1.783333,Les Sables-d'Olonne
La Flotte-en-Ré,6,13.333333333333334,80,46.188459,-1.328716,Saint-Martin-de-Ré
Saint-Michel-en-l'Herm,65,8.523076923076923,554,46.35,-1.25,Les Sables-d'Olonne
Le Château-d'Oléron,55,11.472727272727273,631,45.9,-1.2,Marennes
Marans,629,20.85691573926868,13119,46.312468,-0.995682,Marans
Mortagne,17,35.0,595,45.483333,-0.783333,Marennes
