year,customs_region,value
1750,La Rochelle,858427.6999889999
1750,Bordeaux,474554.297
1750,Nantes,413267.09739999997
1750,Bayonne,231520.0
1750,Montpellier,703477.90001
1770,La Rochelle,1021182.50723
1770,Bordeaux,1551241.8
1770,Nantes,306850.0
1770,Bayonne,540554.85003312
1770,Montpellier,0
1789,La Rochelle,6002913.3873874415
1789,Bordeaux,2830390.4035959193
1789,Nantes,582540.0
1789,Bayonne,1458402.3778
1789,Montpellier,2704941.3948760303
