port,nb_flows,tonnage
Seudre,16,1336
Châlon,64,1253
île d'Oléron,89,2605
île de Ré,42,2643
La Tremblade,8,142
Luçon,3,104
Brouage ,7,308
Tonnay-Charente,204,7514
La Perrotine,4,86
Marennes,38,1116
Moricq,41,1159
Saint-Martin-de-Ré,25,594
Les Sables-d'Olonne,30,905
Rochefort,72,2262
Marans,33,1065
Ribérou,14,151
Le Chapus,3,17
Le Plomb,1,20
Dercie,5,160
Saint-Gilles-sur-Vie,1,55
La Flotte-en-Ré,3,326
Soubise,2,41
l'Aiguillon,1,1
La Tranche-sur-Mer,4,83
Saint-Denis d'Oléron,2,16
Saintes,2,57
Saint-Michel-en-l'Herm,1,5
Rivedoux,1,6
Bourcefranc ,1,50
