country,latitude,longitude,tonnage,nb_pointcalls
Grande-Bretagne,46.166667,-1.15,17589,150
Hambourg,46.166667,-1.15,1715,12
Provinces-Unies,46.166667,-1.15,13096,67
Duché de Mecklenbourg,45.95,-0.9,813,4
Lubeck,45.95,-0.9,1589,9
Brême,46.166667,-1.15,450,4
Danemark,46.2,-1.366667,4542,47
Suède,46.166667,-1.15,150,1
Prusse,47,-2.25,4793,23
Espagne,45.816667,-1.116667,307,8
Etats-Unis d'Amérique,46.2,-1.366667,2508,25
Evêché de Münster,45.816667,-1.116667,217,1
Pologne,47,-2.25,1840,7
Duché d'Oldenbourg,46.166667,-1.15,240,2
