region,year,Exports,Imports,Exports_share,Imports_share,product_revolutionempire_imports_herfindahl,product_revolutionempire_exports_herfindahl,product_revolutionempire_total_herfindahl
La Rochelle,1716,,,,,,,
Bordeaux,1716,,,,,,,
France,1716,49165928.0,38591502.0,100,100,,,
La Rochelle,1717,,,,,,,
Bordeaux,1717,,,,,,,
France,1717,58965110.0,55251984.0,100,100,,,
La Rochelle,1718,4388812.09168148,3147187.8655091054,0.05446231347697407,0.05646805497498375,0.37465337373366453,0.1272339729224186,0.14832721814824223
Bordeaux,1718,14262815.556561159,,0.17699229670324917,,,0.27572987540533644,0.27572987540533644
France,1718,80584386.0,55733952.0,100,100,,,
La Rochelle,1719,6952335.51349926,4056697.3816134552,0.07374295817373622,0.05075221445556734,0.21996624958992222,0.1551528717351552,0.13176648586750114
Bordeaux,1719,,9791678.362400372,,0.12250096898547365,0.13609123737014978,,0.13609123737014978
France,1719,94277958.0,79931436.0,100,100,,,
La Rochelle,1720,9132197.647045076,7899942.137762301,0.053331926404521834,0.08592861557155283,0.2688843218592654,0.1804557830135796,0.15192161115813663
Bordeaux,1720,15206806.813749062,10936540.706481649,0.08880757219496511,0.11895806142145907,0.18905423463481774,0.28295303217351425,0.14945145211051833
France,1720,171233223.0,91936104.0,100,100,,,
La Rochelle,1721,7475036.720252275,5219388.480030095,0.08923800892383196,0.0832479593013028,0.18471983168452102,0.1992212103472297,0.1441999024724822
Bordeaux,1721,15399115.407239664,9077154.369760234,0.1838367421536886,0.14477837402535815,0.1279531097731336,0.31811931192278803,0.15485783312473314
France,1721,83765167.0,62696894.0,100,100,,,
La Rochelle,1722,7226748.85061943,9453394.128114948,0.06574521236058979,0.11102070205041564,0.2786845409111361,0.17197879893894505,0.19855522611053983
Bordeaux,1722,,,,,,,
France,1722,109920534.0,85149832.0,100,100,,,
La Rochelle,1723,7782610.055893149,7982713.79281066,0.04677465224547941,0.07165507445456855,0.20975481450862593,0.13281851530565572,0.12791638157624036
Bordeaux,1723,26514466.809184358,14668052.182267152,0.15935591730370663,0.13166454397631425,0.12630887263312718,0.495889278298803,0.23008937331338275
France,1723,166385204.0,111404724.0,100,100,,,
La Rochelle,1724,7304637.2501438,9191111.261717726,0.06966685031280777,0.07607585053478644,0.25201809378265366,0.21064760327712181,0.16704491254311993
Bordeaux,1724,21206812.2604063,17797117.214347005,0.20225669869211613,0.14730871932625278,0.07320310945580907,0.5193765808798732,0.17459750275487243
France,1724,104850976.0,120815097.0,100,100,,,
La Rochelle,1725,5701942.744786459,5593060.899242595,0.050160205888568725,0.06464403615956604,0.17918192590016013,0.27654456350402506,0.15388958519749257
Bordeaux,1725,19300528.330985673,10938507.376547903,0.16978747738664843,0.1264261696984201,0.1382800041246382,0.4864230697555391,0.22472802526619953
France,1725,113674628.0,86520911.0,100,100,,,
La Rochelle,1726,4390767.104843501,3150019.3117959853,0.039955962434156986,0.03856180549207135,0.13085331166393252,0.12854117549337538,0.095717714948854
Bordeaux,1726,13404630.6261943,8896837.162712835,0.12198208307453826,0.10891301614514803,0.15157605860253687,0.4327165918217963,0.20014670818495645
France,1726,109890160.0,81687547.34380001,100,100,,,
La Rochelle,1727,6973375.587732321,6460560.340375213,0.06239901163904221,0.06758469414322832,0.1632342548875942,0.14740069197635097,0.10129117217946394
Bordeaux,1727,,,,,,,
France,1727,111754584.0,95592063.0,100,100,,,
La Rochelle,1728,7693141.493307202,6381780.28507566,0.061186330896663754,0.06647979477053369,0.19453689490785386,0.1436976042534148,0.10622715874390141
Bordeaux,1728,12797864.465364542,9850310.853180638,0.1017860350845858,0.10261190681804329,0.17385803580891368,0.4581150907851142,0.19800670164578554
France,1728,125733009.0,95995788.0,100,100,,,
La Rochelle,1729,6794519.338108426,5067529.140673141,0.0534918614512411,0.05384205265350747,0.17700133365697637,0.12600543054544372,0.09717071466647327
Bordeaux,1729,11980561.67706984,8232567.90204975,0.09432051237877304,0.08747031189185393,0.2692798356116408,0.3481587295575069,0.2031372915943987
France,1729,127019684.0,94118424.0,100,100,,,
La Rochelle,1730,6969422.711415701,6106796.4222003305,0.05878702033496498,0.060009397843942186,0.16267517564401854,0.10839082526980184,0.09440914070702433
Bordeaux,1730,11953634.733028179,12221406.846492885,0.10082880565936111,0.12009558121140387,0.16028138533039954,0.3242857806770236,0.14897188913997308
France,1730,118553767.0,101764001.0,100,100,,,
La Rochelle,1731,6428419.449432794,5353240.9434170695,0.050042316389515826,0.058791190727788836,0.16439173081200403,0.10807115319622891,0.09471562347069717
Bordeaux,1731,3278948.6491952506,9654827.20967151,0.025525121224390896,0.10603273679015872,0.1916247783603721,0.22213564683177356,0.12528313369464722
France,1731,128459670.0,91055154.3037,100,100,,,
La Rochelle,1732,7812545.1478942,6179041.972161464,0.06068335728245985,0.05516400768696132,0.15799262017208096,0.10345081701593205,0.10256246481059837
Bordeaux,1732,9820891.584812682,10587350.326128116,0.07628303729343927,0.09451961605154513,0.16227319047584277,0.31166131348506804,0.14886193474913567
France,1732,128742797.0,112012202.0,100,100,,,
La Rochelle,1733,6770122.229592101,4642898.257672765,0.05422146122607696,0.04556011876420985,0.15479741427119315,0.10231689813002587,0.08492716325297064
Bordeaux,1733,10180949.478955401,10212315.4198364,0.08153855110694039,0.10021203945540148,0.2448892654386322,0.28521412800534013,0.17533012876638066
France,1733,124860564.0,101907071.0,100,100,,,
La Rochelle,1734,7920905.802925,6258198.65935489,0.06749832422126366,0.06122061520240685,0.17573877733618795,0.1381962117262611,0.12621470299192103
Bordeaux,1734,14998338.563887998,9705262.931097303,0.12780895826229277,0.09494140401802759,0.19219862597246407,0.40842578691734144,0.20191804651724157
France,1734,117349666.0,102223714.0,100,100,,,
La Rochelle,1735,8840366.136238853,6014957.894037069,0.0640904991723124,0.05573240414491758,0.1698540596789749,0.12453971110023794,0.12046865610135327
Bordeaux,1735,10647136.200353172,9054886.508918734,0.07718914163961901,0.08389927299436399,0.2310202590533099,0.2622956537811645,0.16024488407131784
France,1735,137935673.0,107925685.0,100,100,,,
La Rochelle,1736,7506131.06453505,6826759.006954665,0.05342838777868146,0.05513370368430486,0.16593059373180055,0.11381241821085525,0.11995732560073878
Bordeaux,1736,13543459.9867763,11029223.277512725,0.09640189144277382,0.08907329633739075,0.1952600027834407,0.21670069692414093,0.1448737993987674
France,1736,140489567.0,123821883.0,100,100,,,
La Rochelle,1737,6706919.902738099,6236667.90887388,0.05198996669825816,0.05187447857736852,0.1977806350857067,0.13491620968137089,0.14332267763763348
Bordeaux,1737,14022030.615056349,12091027.0707861,0.10869444026327492,0.10056904326578602,0.17889019900143358,0.29055627856497634,0.1579675399126656
France,1737,129004120.0,120226132.0,100,100,,,
La Rochelle,1738,7836215.513634321,7337047.685570777,0.05223855109999938,0.05328744763805688,0.16356910056154178,0.10100066395813186,0.11037507879333927
Bordeaux,1738,21315976.80124198,14163970.340340922,0.14209866247816458,0.1028699635334579,0.19255485736346417,0.18227912254595122,0.15009496162674124
France,1738,150008286.0,137688105.0,100,100,,,
La Rochelle,1739,7761203.149292811,8707137.310997225,0.04688051585129017,0.05103194681361259,0.16299073066017714,0.12775559544978113,0.13372300553557348
Bordeaux,1739,19023917.57344192,12525634.89416039,0.11491144506849374,0.07341190461280492,0.21433004487022544,0.19039181848154352,0.1633759618519678
France,1739,165552853.0,170621304.0,100,100,,,
La Rochelle,1740,9816831.899714151,9775962.24040329,0.04701164051384077,0.05567822554588645,0.19590873434082995,0.13391185685997498,0.1475223420742807
Bordeaux,1740,18999669.878392473,15215823.9939525,0.09098715953673855,0.08666053114448698,0.23007717716519102,0.16844909715836848,0.16353980987151628
France,1740,208817046.0,175579630.0,100,100,,,
La Rochelle,1741,9681607.171847142,7074108.810876449,0.04435955609286887,0.037372298345074786,0.16483051244631355,0.09606960891606703,0.10756016694057774
Bordeaux,1741,,16893245.116355717,,0.08924649215661463,0.1786794778267758,,0.1786794778267758
France,1741,218253022.0,189287497.0,100,100,,,
La Rochelle,1742,,,,,,,
Bordeaux,1742,33456233.186252587,19306091.253180537,0.15804714754216567,0.10978120902464905,0.1757931712888655,0.20907050481868564,0.15189897688595072
France,1742,211685144.0,175859707.0,100,100,,,
La Rochelle,1743,,,,,,,
Bordeaux,1743,39029338.77459609,22053274.816009477,0.17562869184344032,0.11593714687830374,0.23381006996557777,0.15156845436427344,0.14914024782290505
France,1743,222226439.0,190217505.0,100,100,,,
La Rochelle,1744,5574171.972039144,5592241.20323792,0.03337974558950719,0.039401353283963755,0.21314494652927723,0.1866069011578709,0.13921700397486925
Bordeaux,1744,27751601.82819928,18768215.945350405,0.1661845765385886,0.13223555281276225,0.2639722789454017,0.17772831057642346,0.18066927130140814
France,1744,166992644.0,141930181.0,100,100,,,
La Rochelle,1745,,,,,,,
Bordeaux,1745,20506020.440271348,17239608.62123866,0.11137084457941678,0.12054055289681928,0.2335662477891621,0.19622674322396383,0.16164308817617223
France,1745,184123776.0,143019160.0,100,100,,,
La Rochelle,1746,11967682.304322582,9353645.776156569,0.06769249368635398,0.07657532999950249,0.3073821233921623,0.09558421581043024,0.14834083153977265
Bordeaux,1746,23889601.869079374,11962451.279120866,0.13512614076562443,0.0979327928620843,0.13421118444079072,0.18029780839182444,0.13103389849040714
France,1746,176794821.0,122149598.0,100,100,,,
La Rochelle,1747,36526428.4206129,11180400.85292304,0.20005574077446867,0.08329720889422143,0.27093031618826974,0.08935679972721283,0.08678636214362721
Bordeaux,1747,20968867.665481817,20593033.58523307,0.11484677082888409,0.15342403576401398,0.2873687740935222,0.2698661781121709,0.2581805970860284
France,1747,182581256.0,134222995.0,100,100,,,
La Rochelle,1748,14841840.04974872,8188965.940917931,0.08250362138350326,0.06017129279032662,0.20572764231775587,0.14400421262663718,0.10833889666472249
Bordeaux,1748,19944567.102860287,12264367.507695038,0.11086893588643132,0.09011673189484111,0.08130032659341462,0.2193788053448914,0.12997141220959876
France,1748,179893195.0,136094233.0,100,100,,,
La Rochelle,1749,12655644.487447327,10665813.021295529,0.0499345692677659,0.04960659582877273,0.16838464022221744,0.1401196577942628,0.1336967375069295
Bordeaux,1749,37816378.41211784,29675317.522572573,0.14920967234414062,0.1380196220854007,0.1783036431106302,0.23822314988646892,0.1668010387719127
France,1749,253444551.0,215007961.0,100,100,,,
La Rochelle,1750,9704932.314253004,11434237.193970403,0.038634234244522975,0.0538497234497791,0.20110571473315247,0.10246861503804677,0.1298982919919857
Bordeaux,1750,33706744.51225,25152870.00595,0.13418272492164102,0.11845784470020476,0.22992026037046934,0.2881201645127656,0.2011065112359523
France,1750,251200328.0,212336043.0,100,100,,,
