product,product_fr,product_en,entity,entity_fr,entity_en,value_rel_per_direction,order
"Bière, cidre et vinaigre","Bière, cidre et vinaigre","Bière, cidre et vinaigre",direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0018010886553037591,20
"Bière, cidre et vinaigre","Bière, cidre et vinaigre","Bière, cidre et vinaigre",France (moyenne),France (moyenne),France (mean),0.000986138223382094,20
"Farine, gruau, biscuits et pâtes","Farine, gruau, biscuits et pâtes","Flour, oatmeal, cookies and pasta",direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0016851283415745526,21
"Farine, gruau, biscuits et pâtes","Farine, gruau, biscuits et pâtes","Flour, oatmeal, cookies and pasta",France (moyenne),France (moyenne),France (mean),0.007581436640156559,21
Cordage et filets,Cordage et filets,Cordage et filets,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0016354819258147682,22
Cordage et filets,Cordage et filets,Cordage et filets,France (moyenne),France (moyenne),France (mean),0.0028159537173923664,22
Chairs et œufs,Chairs et œufs,Chairs et œufs,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0013046058135305258,23
Chairs et œufs,Chairs et œufs,Chairs et œufs,France (moyenne),France (moyenne),France (mean),0.00877881896206367,23
Ouvrages divers et mélangés,Ouvrages divers et mélangés,Ouvrages divers et mélangés,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0012984562574998577,24
Ouvrages divers et mélangés,Ouvrages divers et mélangés,Ouvrages divers et mélangés,France (moyenne),France (moyenne),France (mean),0.0044694977915205785,24
"Porcelaine, poterie, faïence et ouvrages de terre","Porcelaine, poterie, faïence et ouvrages de terre","Porcelaine, poterie, faïence et ouvrages de terre",direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.001228336319833093,25
"Porcelaine, poterie, faïence et ouvrages de terre","Porcelaine, poterie, faïence et ouvrages de terre","Porcelaine, poterie, faïence et ouvrages de terre",France (moyenne),France (moyenne),France (mean),0.003046326797014828,25
Quincaillerie,Quincaillerie,Hardware store,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0011137445928225938,26
Quincaillerie,Quincaillerie,Hardware store,France (moyenne),France (moyenne),France (mean),0.0052415156574872985,26
Légumes,Légumes,Légumes,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.001083521774769432,27
Légumes,Légumes,Légumes,France (moyenne),France (moyenne),France (mean),0.0020591827384541595,27
Châles et mouchoirs hors soie,Châles et mouchoirs hors soie,Châles et mouchoirs hors soie,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.000933007641189542,28
Châles et mouchoirs hors soie,Châles et mouchoirs hors soie,Châles et mouchoirs hors soie,France (moyenne),France (moyenne),France (mean),0.009299388141153447,28
Étoffes diverses,Étoffes diverses,Étoffes diverses,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0008939354620190773,29
Étoffes diverses,Étoffes diverses,Étoffes diverses,France (moyenne),France (moyenne),France (mean),0.009176431603305482,29
