product,product_fr,product_en,entity,entity_fr,entity_en,value_rel_per_direction,order
Cire,Cire,Cire,France (moyenne),France (moyenne),France (mean),0.002346641804288595,94
"Alquifoux, mine de plomb et graphite","Alquifoux, mine de plomb et graphite","Alquifoux, mine de plomb et graphite",direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,95
"Alquifoux, mine de plomb et graphite","Alquifoux, mine de plomb et graphite","Alquifoux, mine de plomb et graphite",France (moyenne),France (moyenne),France (mean),0.00017468604968045508,95
Étain,Étain,Étain,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,96
Étain,Étain,Étain,France (moyenne),France (moyenne),France (mean),0.00040939465344439375,96
Poils et crin,Poils et crin,Poils et crin,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,97
Poils et crin,Poils et crin,Poils et crin,France (moyenne),France (moyenne),France (mean),0.000159364333821813,97
Textiles manufacturés divers et mélangés,Textiles manufacturés divers et mélangés,Textiles manufacturés divers et mélangés,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,98
Textiles manufacturés divers et mélangés,Textiles manufacturés divers et mélangés,Textiles manufacturés divers et mélangés,France (moyenne),France (moyenne),France (mean),0.0008564824496359424,98
Rubanerie et passementerie de soie,Rubanerie et passementerie de soie,Rubanerie et passementerie de soie,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,99
Rubanerie et passementerie de soie,Rubanerie et passementerie de soie,Rubanerie et passementerie de soie,France (moyenne),France (moyenne),France (mean),0.008349637796607228,99
Savon,Savon,Savon,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,100
Savon,Savon,Savon,France (moyenne),France (moyenne),France (mean),0.010051655539923106,100
Fleurs artificielles et ouvrages de mode,Fleurs artificielles et ouvrages de mode,Fleurs artificielles et ouvrages de mode,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,101
Fleurs artificielles et ouvrages de mode,Fleurs artificielles et ouvrages de mode,Fleurs artificielles et ouvrages de mode,France (moyenne),France (moyenne),France (mean),0.001423984943140868,101
Fruits frais,Fruits frais,Fruits frais,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,102
Fruits frais,Fruits frais,Fruits frais,France (moyenne),France (moyenne),France (mean),0.0003591937780840839,102
"Meubles, glaces et miroirs","Meubles, glaces et miroirs","Meubles, glaces et miroirs",direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,103
"Meubles, glaces et miroirs","Meubles, glaces et miroirs","Meubles, glaces et miroirs",France (moyenne),France (moyenne),France (mean),0.0022132627406715195,103
Graines de jardin,Graines de jardin,Graines de jardin,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,104
Graines de jardin,Graines de jardin,Graines de jardin,France (moyenne),France (moyenne),France (mean),0.0006640957471022546,104
Miel,Miel,Miel,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,105
Miel,Miel,Miel,France (moyenne),France (moyenne),France (mean),0.001419096986859129,105
Graisses diverses,Graisses diverses,Graisses diverses,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,106
Graisses diverses,Graisses diverses,Graisses diverses,France (moyenne),France (moyenne),France (mean),0.0006962452366642889,106
Huile d'olive à manger,Huile d'olive à manger,Huile d'olive à manger,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,107
Huile d'olive à manger,Huile d'olive à manger,Huile d'olive à manger,France (moyenne),France (moyenne),France (mean),0.008865429320925811,107
"Bougies, chandelles et flambeaux","Bougies, chandelles et flambeaux","Bougies, chandelles et flambeaux",direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,108
"Bougies, chandelles et flambeaux","Bougies, chandelles et flambeaux","Bougies, chandelles et flambeaux",France (moyenne),France (moyenne),France (mean),0.004319383139216677,108
Alcalis,Alcalis,Alcalis,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,109
Alcalis,Alcalis,Alcalis,France (moyenne),France (moyenne),France (mean),1.5309143820120474e-05,109
Colles diverses,Colles diverses,Colles diverses,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,110
Colles diverses,Colles diverses,Colles diverses,France (moyenne),France (moyenne),France (mean),2.6967932553883254e-05,110
Bouchons principalement en liège,Bouchons principalement en liège,Bouchons principalement en liège,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,111
Bouchons principalement en liège,Bouchons principalement en liège,Bouchons principalement en liège,France (moyenne),France (moyenne),France (mean),0.0004778580756774038,111
Thé,Thé,Thé,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,112
Thé,Thé,Thé,France (moyenne),France (moyenne),France (mean),0.0001641280958238713,112
Bois des Indes,Bois des Indes,Bois des Indes,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,113
Bois des Indes,Bois des Indes,Bois des Indes,France (moyenne),France (moyenne),France (mean),5.9551516298404845e-06,113
Combustibles dont charbons et bois,Combustibles dont charbons et bois,Combustibles dont charbons et bois,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,114
Combustibles dont charbons et bois,Combustibles dont charbons et bois,Combustibles dont charbons et bois,France (moyenne),France (moyenne),France (mean),0.0012031454272955144,114
Réglisse,Réglisse,Réglisse,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,115
Réglisse,Réglisse,Réglisse,France (moyenne),France (moyenne),France (mean),0.0005232018388396393,115
Sirop et mélasse,Sirop et mélasse,Sirop et mélasse,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,116
Sirop et mélasse,Sirop et mélasse,Sirop et mélasse,France (moyenne),France (moyenne),France (mean),0.00011567977778778408,116
Sels chimiques,Sels chimiques,Sels chimiques,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,117
Sels chimiques,Sels chimiques,Sels chimiques,France (moyenne),France (moyenne),France (mean),5.732072798690511e-05,117
Alun,Alun,Alun,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,118
Alun,Alun,Alun,France (moyenne),France (moyenne),France (mean),0.00022272500328257707,118
Garance,Garance,Garance,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,119
Garance,Garance,Garance,France (moyenne),France (moyenne),France (mean),0.0009924556600543796,119
Gommes diverses,Gommes diverses,Gommes diverses,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,120
Gommes diverses,Gommes diverses,Gommes diverses,France (moyenne),France (moyenne),France (mean),0.0007623928509655676,120
Cannelle,Cannelle,Cannelle,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,121
Cannelle,Cannelle,Cannelle,France (moyenne),France (moyenne),France (mean),0.00025601168134087955,121
Girofle,Girofle,Girofle,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,122
Girofle,Girofle,Girofle,France (moyenne),France (moyenne),France (mean),0.0003784154189608203,122
Muscades,Muscades,Muscades,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,123
Muscades,Muscades,Muscades,France (moyenne),France (moyenne),France (mean),6.8287972668548635e-06,123
Poivre et piment,Poivre et piment,Poivre et piment,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,124
Poivre et piment,Poivre et piment,Poivre et piment,France (moyenne),France (moyenne),France (mean),0.0009818328936774686,124
Huile de poisson,Huile de poisson,Huile de poisson,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,125
Huile de poisson,Huile de poisson,Huile de poisson,France (moyenne),France (moyenne),France (mean),7.875705982086719e-05,125
Safran,Safran,Safran,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,126
Safran,Safran,Safran,France (moyenne),France (moyenne),France (mean),0.00037580824649655775,126
Térébenthine,Térébenthine,Térébenthine,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,127
Térébenthine,Térébenthine,Térébenthine,France (moyenne),France (moyenne),France (mean),0.0005193414012786728,127
Salpêtre et soufre,Salpêtre et soufre,Salpêtre et soufre,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,128
Salpêtre et soufre,Salpêtre et soufre,Salpêtre et soufre,France (moyenne),France (moyenne),France (mean),0.00045587814559210077,128
Tabac,Tabac,Tabac,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,129
Tabac,Tabac,Tabac,France (moyenne),France (moyenne),France (mean),0.008091959789800885,129
Vins de Bordeaux,Vins de Bordeaux,Bordeaux wines,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,130
Vins de Bordeaux,Vins de Bordeaux,Bordeaux wines,France (moyenne),France (moyenne),France (mean),0.00011053436397367898,130
Monnaies et métaux précieux,Monnaies et métaux précieux,Monnaies et métaux précieux,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,131
Monnaies et métaux précieux,Monnaies et métaux précieux,Monnaies et métaux précieux,France (moyenne),France (moyenne),France (mean),0.0008508063859829928,131
Chapeaux d'écorce et de paille,Chapeaux d'écorce et de paille,Chapeaux d'écorce et de paille,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,132
Chapeaux d'écorce et de paille,Chapeaux d'écorce et de paille,Chapeaux d'écorce et de paille,France (moyenne),France (moyenne),France (mean),3.272221781814681e-05,132
Soie,Soie,Soie,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,133
Soie,Soie,Soie,France (moyenne),France (moyenne),France (mean),0.0016730696916775843,133
Lin,Lin,Lin,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,134
Lin,Lin,Lin,France (moyenne),France (moyenne),France (mean),9.116192573759304e-06,134
Galle,Galle,Galle,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,135
Galle,Galle,Galle,France (moyenne),France (moyenne),France (mean),0.0003095340887010443,135
Verdet,Verdet,Verdet,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,136
Verdet,Verdet,Verdet,France (moyenne),France (moyenne),France (mean),0.0014064999428501789,136
Cochenille,Cochenille,Cochenille,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,137
Cochenille,Cochenille,Cochenille,France (moyenne),France (moyenne),France (mean),0.004385193665277811,137
"Graines de trèfle, de luzerne et de prairie","Graines de trèfle, de luzerne et de prairie","Graines de trèfle, de luzerne et de prairie",direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,138
"Graines de trèfle, de luzerne et de prairie","Graines de trèfle, de luzerne et de prairie","Graines de trèfle, de luzerne et de prairie",France (moyenne),France (moyenne),France (mean),0.00048790021157999494,138
Plumes ouvrées,Plumes ouvrées,Plumes ouvrées,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,139
Plumes ouvrées,Plumes ouvrées,Plumes ouvrées,France (moyenne),France (moyenne),France (mean),0.0003049406241130657,139
"Filoselle, fleuret et bourre de soie","Filoselle, fleuret et bourre de soie","Filoselle, fleuret et bourre de soie",direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,140
"Filoselle, fleuret et bourre de soie","Filoselle, fleuret et bourre de soie","Filoselle, fleuret et bourre de soie",France (moyenne),France (moyenne),France (mean),2.006991415442623e-05,140
Provisions diverses,Provisions diverses,Provisions diverses,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,141
Provisions diverses,Provisions diverses,Provisions diverses,France (moyenne),France (moyenne),France (mean),5.4185177892415144e-05,141
[vide],[vide],[vide],direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,142
[vide],[vide],[vide],France (moyenne),France (moyenne),France (mean),0.00012491217769553269,142
Séné,Séné,Séné,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,143
Séné,Séné,Séné,France (moyenne),France (moyenne),France (mean),0.00016350218467417452,143
Boissons diverses et mélangées,Boissons diverses et mélangées,Boissons diverses et mélangées,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,144
Boissons diverses et mélangées,Boissons diverses et mélangées,Boissons diverses et mélangées,France (moyenne),France (moyenne),France (mean),0.00043209785050618587,144
,,,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,145
,,,France (moyenne),France (moyenne),France (mean),0.0,145
Étoffes de coton,Étoffes de coton,Étoffes de coton,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,146
Étoffes de coton,Étoffes de coton,Étoffes de coton,France (moyenne),France (moyenne),France (mean),0.00016252202398157913,146
Huile d'olive pour fabrique,Huile d'olive pour fabrique,Huile d'olive pour fabrique,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0,147
Huile d'olive pour fabrique,Huile d'olive pour fabrique,Huile d'olive pour fabrique,France (moyenne),France (moyenne),France (mean),1.2865329843477251e-06,147
