homeport,nb_pointcalls,tonnage,category_1,country_group,category_2
La Tremblade,35,680,France,France,France (région PASA)
Port-d'Envaux,598,20937,France,France,France (région PASA)
île de Ré,28,662,France,France,France (région PASA)
Marans,388,7809,France,France,France (région PASA)
Quiberon,151,4119,France,France,France (hors région PASA)
Tonnay-Charente,254,10164,France,France,France (région PASA)
Dercie,43,1324,France,France,France (région PASA)
Rostock,2,174,étranger,Europe centrale,Mecklenbourg
Taillebourg,86,3300,France,France,France (région PASA)
île d'Arz,26,1362,France,France,France (hors région PASA)
Nantes,87,6684,France,France,France (hors région PASA)
Le Conquet,128,6059,France,France,France (hors région PASA)
Belle-Île-en-Mer,51,1201,France,France,France (hors région PASA)
Marennes,108,3061,France,France,France (région PASA)
Indéterminé,143,9402,étranger,Autre,Indéterminé
Saint-Malo,206,19874,France,France,France (hors région PASA)
île d'Oléron,495,10555,France,France,France (région PASA)
Méan,106,3076,France,France,France (hors région PASA)
Liverpool,6,614,étranger,Europe du Nord,Grande-Bretagne
Saint-Savinien,152,6618,France,France,France (région PASA)
Noirmoutier,224,6739,France,France,France (région PASA)
île de Bouin,43,1058,France,France,France (région PASA)
Paimpol,23,1173,France,France,France (hors région PASA)
Les Sables-d'Olonne,170,7539,France,France,France (région PASA)
Saint-Martin-de-Ré,223,4904,France,France,France (région PASA)
Bordeaux,74,3588,France,France,France (hors région PASA)
Boulogne-sur-Mer,8,338,France,France,France (hors région PASA)
La Flotte-en-Ré,24,420,France,France,France (région PASA)
La Rochelle,304,14580,France,France,France (région PASA)
Rochefort,19,2380,France,France,France (région PASA)
Aber-Ildut,42,2615,France,France,France (hors région PASA)
Hull,13,1495,étranger,Europe du Nord,Grande-Bretagne
Bristol,4,314,étranger,Europe du Nord,Grande-Bretagne
Lorient,64,3409,France,France,France (hors région PASA)
Dunkerque,13,1218,France,France,France (hors région PASA)
Ars-en-Ré,159,3043,France,France,France (région PASA)
Plouharnel,25,700,France,France,France (hors région PASA)
Vannes,32,1206,France,France,France (hors région PASA)
Saint-Gilles-sur-Vie,59,2381,France,France,France (région PASA)
Arzon,104,1809,France,France,France (hors région PASA)
