port,port_en,nb_pointcalls,tonnage,country_group,country_group_en,category_1,category_1_en,category_2,category_2_en
Londres,London,45,4913,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Indéterminé,To be identified,75,1865,Autre,Other,étranger,foreign,Indéterminé,Indetermined
Newcastle,Newcastle,6,1219,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Memel,Memel,2,201,Europe centrale,Central Europe,étranger,foreign,Prusse,Prussia
Hambourg,Hamburg,7,747,Europe centrale,Central Europe,étranger,foreign,Hambourg,Hamburg
Côte d'Angole,Angola coast,2,615,Afrique,Africa,étranger,foreign,Portugal,Portugal
Côte d'Or,Gold Coast,10,3584,Afrique,Africa,étranger,foreign,multi-Etat,Multi-state
Kristiansund ,Kristiansund ,1,1,Europe du Nord,Northern Europe,étranger,foreign,Danemark,Denmark
Copenhague ,Copenhagen,1,1,Europe du Nord,Northern Europe,étranger,foreign,Danemark,Denmark
Calabar,Calabar,1,1,Autre,Other,étranger,foreign,Indéterminé,Indetermined
Amsterdam,Amsterdam,21,3627,Europe du Nord,Northern Europe,étranger,foreign,Provinces-Unies,United Provinces
Rotterdam,Rotterdam,7,743,Europe du Nord,Northern Europe,étranger,foreign,Provinces-Unies,United Provinces
Königsberg / Kaliningrad,Kaliningrad ,13,2412,Europe centrale,Central Europe,étranger,foreign,Prusse,Prussia
Mer Baltique,Baltic sea,27,4473,Europe de l'Est,Eastern Europe,étranger,foreign,zone maritime,Open sea
Brême,Bremen,6,506,Europe centrale,Central Europe,étranger,foreign,Brême,Bremen
Saint-Sébastien,San Sebastián,3,80,Europe du Sud,Southern Europe,étranger,foreign,Espagne,Spain
Guernesey,Guernesey,6,322,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Ostende,Ostend,13,1012,Europe centrale,Central Europe,étranger,foreign,Autriche,Austria
Gloucester,Gloucester,3,206,Amérique,America,étranger,foreign,Etats-Unis d'Amérique,United States
Philadelphie,Philadelphia,2,161,Amérique,America,étranger,foreign,Etats-Unis d'Amérique,United States
Stavanger,Stavanger,12,1188,Europe du Nord,Northern Europe,étranger,foreign,Danemark,Denmark
Waterford,Waterford,3,259,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Molde,Molde,2,106,Europe du Nord,Northern Europe,étranger,foreign,Danemark,Denmark
Yarmouth,Yarmouth,2,71,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Bergue ,Bergen,17,1131,Europe du Nord,Northern Europe,étranger,foreign,Danemark,Denmark
Boston,Boston,7,699,Amérique,America,étranger,foreign,Etats-Unis d'Amérique,United States
Galway,Galway,1,1,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Holmestrand,Holmestrand,2,127,Europe du Nord,Northern Europe,étranger,foreign,Danemark,Denmark
Teignmouth,Teignmouth,3,201,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Santander,Santander,2,53,Europe du Sud,Southern Europe,étranger,foreign,Espagne,Spain
Lemmer,Lemmer,1,1,Europe du Nord,Northern Europe,étranger,foreign,Provinces-Unies,United Provinces
Newburyport,Newburyport,4,236,Amérique,America,étranger,foreign,Etats-Unis d'Amérique,United States
Dordrecht ,Dordrecht ,5,663,Europe du Nord,Northern Europe,étranger,foreign,Provinces-Unies,United Provinces
Hull,Hull,8,963,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
île de Man,Isle of Man,1,1,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Stettin,Szczecin,3,222,Europe centrale,Central Europe,étranger,foreign,Prusse,Prussia
Ribnitz,Ribnitz,1,1,Europe centrale,Central Europe,étranger,foreign,Mecklenbourg,Mecklenburg
Bilbao,Bilbao,5,322,Europe du Sud,Southern Europe,étranger,foreign,Espagne,Spain
Bruges,Bruges,3,121,Europe centrale,Central Europe,étranger,foreign,Autriche,Austria
Lübeck,Lübeck,9,1424,Europe centrale,Central Europe,étranger,foreign,Lubeck,Lubeck
Norvège,Norway,4,257,Europe du Nord,Northern Europe,étranger,foreign,Danemark,Denmark
Madère,Madeira,2,48,Europe du Sud,Southern Europe,étranger,foreign,Portugal,Portugal
Cork,Cork,3,281,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
