homeport,nb_pointcalls,tonnage,category_1,category_2
île d'Oléron,508,10627,France,France (région PASA)
Le Chapus,8,21,France,France (région PASA)
La Rochelle,305,14521,France,France (région PASA)
Châlon,186,3714,France,France (région PASA)
Vannes,32,1232,France,France (hors région PASA)
Bordeaux,76,3625,France,France (hors région PASA)
Indéterminé,132,8579,étranger,Indéterminé
Marans,393,7971,France,France (région PASA)
Saint-Savinien,154,6763,France,France (région PASA)
Fécamp,8,552,France,France (hors région PASA)
Tonnay-Charente,258,10311,France,France (région PASA)
Marennes,109,3090,France,France (région PASA)
Port-d'Envaux,612,21273,France,France (région PASA)
Taillebourg,88,3377,France,France (région PASA)
Hambourg,12,1596,étranger,Hambourg
Dieppe,29,2717,France,France (hors région PASA)
pas identifié,15,804,étranger,Indéterminé
Quiberon,183,4765,France,France (hors région PASA)
Saint-Brieuc,13,879,France,France (hors région PASA)
Le Conquet,128,6064,France,France (hors région PASA)
Saint-Malo,209,20061,France,France (hors région PASA)
Locmariaquer,176,1955,France,France (hors région PASA)
île d'Arz,28,1444,France,France (hors région PASA)
Brouage ,20,616,France,France (région PASA)
Rhuys,56,4359,France,France (hors région PASA)
Arzon,108,1906,France,France (hors région PASA)
Oldenbourg,2,121,étranger,Duché d'Oldenbourg
Saint-Briac,33,3212,France,France (hors région PASA)
Lorient,64,3465,France,France (hors région PASA)
Rouen,35,3175,France,France (hors région PASA)
Nantes,85,6494,France,France (hors région PASA)
Cherbourg,23,2128,France,France (hors région PASA)
La Flotte-en-Ré,91,1616,France,France (région PASA)
La Tremblade,36,728,France,France (région PASA)
Blaye,4,67,France,France (hors région PASA)
Saint-Valery-sur-Somme,23,2382,France,France (hors région PASA)
Saint-Martin-de-Ré,224,4984,France,France (région PASA)
Abbeville,6,355,France,France (hors région PASA)
île de Ré,29,700,France,France (région PASA)
Belle-Île-en-Mer,54,1270,France,France (hors région PASA)
Noirmoutier,225,6767,France,France (région PASA)
Carnac,96,1966,France,France (hors région PASA)
Rochefort,18,2230,France,France (région PASA)
Memel,4,851,étranger,Prusse
Bourcefranc ,39,1133,France,France (région PASA)
Les Sables-d'Olonne,145,4257,France,France (région PASA)
Baden,79,915,France,France (hors région PASA)
Paimpol,23,1173,France,France (hors région PASA)
Dercie,43,1321,France,France (région PASA)
Hull,13,1495,étranger,Grande-Bretagne
île de Bouin,43,1054,France,France (région PASA)
Saint-Gilles-sur-Vie,59,2388,France,France (région PASA)
Douarnenez,5,164,France,France (hors région PASA)
L'Houmée,21,761,France,France (région PASA)
Königsberg / Kaliningrad,12,2391,étranger,Prusse
Londres,50,5422,étranger,Grande-Bretagne
Honfleur,9,1032,France,France (hors région PASA)
Barfleur,1,1,France,France (hors région PASA)
Soubise,59,2147,France,France (région PASA)
Île-aux-Moines,43,2565,France,France (hors région PASA)
Zierikzee,2,71,étranger,Provinces-Unies
Teignmouth,3,211,étranger,Grande-Bretagne
Stavanger,10,863,étranger,Danemark
Emden,4,562,étranger,Prusse
Newburyport,4,161,étranger,Etats-Unis d'Amérique
Morlaix,12,709,France,France (hors région PASA)
Méan,107,3101,France,France (hors région PASA)
Granville,30,3853,France,France (hors région PASA)
Gloucester,3,106,étranger,Etats-Unis d'Amérique
Georgetown,2,101,étranger,Etats-Unis d'Amérique
Frederikshald / Halden,6,625,étranger,Danemark
Saltcoats,1,1,étranger,Grande-Bretagne
Dunkerque,13,1103,France,France (hors région PASA)
Newcastle,15,2718,étranger,Grande-Bretagne
Groningue,4,295,étranger,Provinces-Unies
Dartmouth,4,411,étranger,Grande-Bretagne
Cork,3,21,étranger,Grande-Bretagne
Kristiansand ,6,568,étranger,Danemark
Chichester,1,1,étranger,Grande-Bretagne
Yarmouth,6,481,étranger,Grande-Bretagne
Leith,3,180,étranger,Grande-Bretagne
Bergue ,17,1133,étranger,Danemark
Amsterdam,33,7968,étranger,Provinces-Unies
Camaret,7,278,France,France (hors région PASA)
Lübeck,9,1416,étranger,Lubeck
