homeport,nb_pointcalls,tonnage,category_1,category_2
Marans,31,210,France,France (région PASA)
Indéterminé,32,4095,étranger,Indéterminé
Hambourg,7,771,étranger,Hambourg
île d'Arz,1,1,France,France (hors région PASA)
Oldenbourg,2,121,étranger,Duché d'Oldenbourg
La Flotte-en-Ré,3,45,France,France (région PASA)
Saint-Savinien,7,323,France,France (région PASA)
La Rochelle,14,4534,France,France (région PASA)
Memel,4,851,étranger,Prusse
île de Ré,5,104,France,France (région PASA)
Hull,10,1143,étranger,Grande-Bretagne
Königsberg / Kaliningrad,12,2391,étranger,Prusse
Zierikzee,2,71,étranger,Provinces-Unies
Teignmouth,3,211,étranger,Grande-Bretagne
Stavanger,10,863,étranger,Danemark
Emden,4,562,étranger,Prusse
Saint-Briac,1,1,France,France (hors région PASA)
Newburyport,4,161,étranger,Etats-Unis d'Amérique
Gloucester,3,106,étranger,Etats-Unis d'Amérique
Georgetown,2,101,étranger,Etats-Unis d'Amérique
Frederikshald / Halden,6,625,étranger,Danemark
Saltcoats,1,1,étranger,Grande-Bretagne
Newcastle,13,2418,étranger,Grande-Bretagne
Groningue,3,215,étranger,Provinces-Unies
Dartmouth,4,411,étranger,Grande-Bretagne
Cork,3,21,étranger,Grande-Bretagne
Kristiansand ,6,568,étranger,Danemark
Chichester,1,1,étranger,Grande-Bretagne
Londres,37,4074,étranger,Grande-Bretagne
Yarmouth,6,481,étranger,Grande-Bretagne
Saint-Valery-sur-Somme,2,76,France,France (hors région PASA)
Leith,2,115,étranger,Grande-Bretagne
Bergue ,17,1133,étranger,Danemark
Amsterdam,21,4665,étranger,Provinces-Unies
Lübeck,8,1251,étranger,Lubeck
Rotterdam,2,137,étranger,Provinces-Unies
Guernesey,5,319,étranger,Grande-Bretagne
Brême,5,506,étranger,Brême
Châlon,2,21,France,France (région PASA)
Granville,1,1,France,France (hors région PASA)
Norvège,1,1,étranger,Danemark
Noirmoutier,2,43,France,France (région PASA)
Vannes,3,50,France,France (hors région PASA)
Holmestrand,2,127,étranger,Danemark
Greenock,2,77,étranger,Grande-Bretagne
Barnstable,1,1,étranger,Etats-Unis d'Amérique
Arendal,1,1,étranger,Danemark
Liverpool,4,467,étranger,Grande-Bretagne
Taillebourg,1,1,France,France (région PASA)
Ars-en-Ré,3,61,France,France (région PASA)
La Couarde,1,1,France,France (région PASA)
Luçon,1,1,France,France (région PASA)
Cowes,1,1,étranger,Grande-Bretagne
Oude Pekela,2,122,étranger,Provinces-Unies
Rochefort,5,1220,France,France (région PASA)
Libourne,1,1,France,France (hors région PASA)
Paimpol,1,1,France,France (hors région PASA)
Newton,1,1,étranger,Grande-Bretagne
Dublin,1,1,étranger,Grande-Bretagne
Sunderland,3,225,étranger,Grande-Bretagne
Frise,2,61,étranger,Provinces-Unies
Bordeaux,2,157,France,France (hors région PASA)
Le Conquet,3,78,France,France (hors région PASA)
Quiberon,5,117,France,France (hors région PASA)
Cherbourg,3,99,France,France (hors région PASA)
Portsmouth,2,241,étranger,Grande-Bretagne
Moss,1,1,étranger,Danemark
Molde,2,51,étranger,Danemark
Honfleur,2,109,France,France (hors région PASA)
Ribnitz,2,151,étranger,Mecklenbourg
Saint-Malo,1,1,France,France (hors région PASA)
Soubise,1,1,France,France (région PASA)
Christiania / Oslo,1,1,étranger,Danemark
Dantzig ,7,1641,étranger,Pologne
Rouen,1,1,France,France (hors région PASA)
Port-d'Envaux,1,1,France,France (région PASA)
Ilfracombe,1,1,étranger,Grande-Bretagne
Harwich,1,1,étranger,Grande-Bretagne
Saint-Jean-de-Luz,1,1,France,France (hors région PASA)
Kristiansund ,1,1,étranger,Danemark
Landerneau,1,1,France,France (hors région PASA)
Harlingen,2,221,étranger,Provinces-Unies
Tréguier,1,1,France,France (hors région PASA)
Nantes,1,1,France,France (hors région PASA)
Salem,1,1,étranger,Etats-Unis d'Amérique
Bristol,4,349,étranger,Grande-Bretagne
Hollande,2,201,étranger,Provinces-Unies
Southampton,1,1,étranger,Grande-Bretagne
New York,1,1,étranger,Etats-Unis d'Amérique
Appledore,1,1,étranger,Grande-Bretagne
île de Man,1,1,étranger,Grande-Bretagne
"Portsmouth, VA,",1,1,étranger,Etats-Unis d'Amérique
Mandal,1,1,étranger,Danemark
Plymouth,4,360,étranger,Grande-Bretagne
Philadelphie,1,1,étranger,Etats-Unis d'Amérique
Carteret,1,1,France,France (hors région PASA)
Caroline,1,1,étranger,Etats-Unis d'Amérique
Flekkefjord ,2,71,étranger,Danemark
Galway,1,1,étranger,Grande-Bretagne
Farsund,1,1,étranger,Danemark
Exeter,1,1,étranger,Grande-Bretagne
Dort,1,1,étranger,Provinces-Unies
Carmarthen,1,1,étranger,Grande-Bretagne
Boston,6,429,étranger,Etats-Unis d'Amérique
Plencia,3,75,étranger,Espagne
Bideford,2,114,étranger,Grande-Bretagne
Topsham,2,151,étranger,Grande-Bretagne
Île-aux-Moines,1,1,France,France (hors région PASA)
Dundee,1,1,étranger,Grande-Bretagne
Lannion,1,1,France,France (hors région PASA)
Rostock,1,1,étranger,Duché de Mecklenbourg
Waterford,1,1,étranger,Grande-Bretagne
Locmariaquer,1,1,France,France (hors région PASA)
Norfolk,1,1,étranger,Etats-Unis d'Amérique
Marblehead,1,1,étranger,Etats-Unis d'Amérique
Middelbourg,1,1,étranger,Provinces-Unies
