value,customs_office,type
5158968.0,Tonnay-Charente,produits de la région PASA
5092738.0,La Rochelle,produits coloniaux
1521979.0,La Rochelle,autres produits
541447.0,Marennes,produits de la région PASA
488218.0,Saint-Martin-de-Ré,produits de la région PASA
267979.0,Rochefort,produits de la région PASA
238658.0,La Rochelle,produits de la région PASA
21372.0,Saint-Martin-de-Ré,autres produits
2420.0,Marennes,autres produits
487.0,Rochefort,autres produits
0,Rochefort,produits coloniaux
0,Tonnay-Charente,autres produits
0,Tonnay-Charente,produits coloniaux
0,Marennes,produits coloniaux
0,Saint-Martin-de-Ré,produits coloniaux
0,Aligre,autres produits
0,Aligre,produits coloniaux
0,Aligre,produits de la région PASA
