value,product_weight_kg,flow_type,customs_office,product,partner
106797.50002430001,32079.382299999997,export,Les Sables d'Olonne,autres produits,Ports francs et petites îles
5088790.0,2658811.8855,export,La Rochelle,produit colonial,Indéterminé supposé Europe
3729.4999254100003,365118.048,export,Les Sables d'Olonne,sel,Ports francs et petites îles
888408.0956804581,2174432.421171,export,Aligre,autres produits,Ports francs et petites îles
47308.0,2020.1665,export,La Rochelle,autres produits,Indéterminé supposé Europe
4904.859958618999,29713.1394,export,Rochefort,autres produits,Ports francs et petites îles
14667.45519520001,31.641279,export,Rochefort,eau-de-vie et vins divers,Europe
243480.8976769,309.51575,export,Rochefort,eau-de-vie et vins divers,Grande Bretagne
10320.0,46404.6,export,Rochefort,autres produits,Europe
800.0,0,export,Rochefort,eau-de-vie et vins divers,Ports francs et petites îles
88800.70022315,19600.55901,export,Charente,autres produits,Ports francs et petites îles
627567.8046837,780.11612502,export,Charente,eau-de-vie et vins divers,Ports francs et petites îles
610452.2566122402,31.724495,export,Charente,eau-de-vie et vins divers,Europe
4497615.4951597005,0,export,Charente,eau-de-vie et vins divers,Grande Bretagne
50905.56002,203993.25,export,Charente,autres produits,Grande Bretagne
11777.0000322,76778.07501,export,Marennes,autres produits,Ports francs et petites îles
2040.48,0,export,Marennes,eau-de-vie et vins divers,Grande Bretagne
400509.59439569997,0,export,Marennes,eau-de-vie et vins divers,Europe
130988.046033,101.3265,export,Marennes,eau-de-vie et vins divers,Ports francs et petites îles
216367.19038368,11767971.977,export,Marennes,sel,Ports francs et petites îles
104407.42035966998,5678603.847999999,export,Marennes,sel,Europe
30749.62363335,1672438.0299999998,export,Marennes,sel,Grande Bretagne
6171.524725709999,335662.38,export,Marennes,sel,Reste du monde (USA)
222303.97524462,102398.75039000002,export,La Rochelle,autres produits,Ports francs et petites îles
8000.0,39160.0,export,La Rochelle,autres produits,Europe
8761.103763699979,0,export,La Rochelle,eau-de-vie et vins divers,Europe
1399.10003292,805.71698,export,La Rochelle,produit colonial,Ports francs et petites îles
28149.38217867999,38724.588941010006,export,Saint-Martin-de-Ré,autres produits,Ports francs et petites îles
75335.55230925996,0,export,Saint-Martin-de-Ré,eau-de-vie et vins divers,Ports francs et petites îles
27684.000288,0,export,Saint-Martin-de-Ré,eau-de-vie et vins divers,Grande Bretagne
275975.6369902,0,export,Saint-Martin-de-Ré,eau-de-vie et vins divers,Europe
27080.64,0,export,Saint-Martin-de-Ré,eau-de-vie et vins divers,Reste du monde (USA)
8944.0,751101.06,export,Saint-Martin-de-Ré,sel,Ports francs et petites îles
28686.0,2407165.3,export,Saint-Martin-de-Ré,sel,Grande Bretagne
107922.0,9056203.0,export,Saint-Martin-de-Ré,sel,Europe
20277.0,1701587.6,export,Saint-Martin-de-Ré,sel,Reste du monde (USA)
159.8976092440001,0,export,Saint-Martin-de-Ré,autres produits,Grande Bretagne
21813.351531080007,0,export,Saint-Martin-de-Ré,autres produits,Europe
1413233.0,768771.6261069002,export,La Rochelle,autres produits,Afrique
97219.0,72370.2194926,export,La Rochelle,autres produits,Colonies
3948.0,2093.5915,export,La Rochelle,produit colonial,Afrique
173859.0,0,export,La Rochelle,eau-de-vie et vins divers,Afrique
12259.0,0,export,La Rochelle,eau-de-vie et vins divers,Colonies
10846.0,864.45697,import,Les Sables d'Olonne,autres produits,Ports francs et petites îles
89706.0,115744.72167,import,La Rochelle,autres produits,Colonies
6690.0,245606.63,import,Les Sables d'Olonne,sel,Ports francs et petites îles
25470.0,0,import,Les Sables d'Olonne,eau-de-vie et vins divers,Ports francs et petites îles
200482.30409330997,140395.94071,import,Aligre,autres produits,Ports francs et petites îles
5950.0,0,import,Aligre,autres produits,Grande Bretagne
810.0,0,import,Aligre,produit colonial,Ports francs et petites îles
7007451.0,3856420.042,import,La Rochelle,produit colonial,Colonies
358542.0,226470.110992,import,Rochefort,produit colonial,Colonies
3888.75,0,import,Aligre,eau-de-vie et vins divers,Ports francs et petites îles
612.60002042,499.77951,import,Aligre,autres produits,Europe
75306.0,2347189.3,import,Aligre,sel,Ports francs et petites îles
917706.75066427,1160050.4007900003,import,Rochefort,autres produits,Europe
479159.85052121,530262.6248309999,import,Rochefort,autres produits,Ports francs et petites îles
225559.52152622002,2157406.6136000003,import,Rochefort,autres produits,Grande Bretagne
460.0,0,import,Rochefort,eau-de-vie et vins divers,Ports francs et petites îles
264.0,0,import,Rochefort,eau-de-vie et vins divers,Europe
180443.45389894,151431.23049999998,import,Saint-Martin-de-Ré,autres produits,Europe
53146.549468979996,238611.6646,import,Saint-Martin-de-Ré,autres produits,Grande Bretagne
2576.0,817.46499,import,Rochefort,autres produits,Colonies
54478.80096341,78876.072419,import,Saint-Martin-de-Ré,autres produits,Ports francs et petites îles
18150.000132,28167.298297,import,Saint-Martin-de-Ré,autres produits,Reste du monde (USA)
61624.7807381,0,import,Saint-Martin-de-Ré,eau-de-vie et vins divers,Ports francs et petites îles
328.0,0,import,La Rochelle,eau-de-vie et vins divers,Colonies
7170.0,0,import,Rochefort,eau-de-vie et vins divers,Colonies
30120.7005895,449791.75999000005,import,Charente,autres produits,Grande Bretagne
