port,metrics_type,score
La Rochelle,PageRank,0.13872056879492906
La Rochelle,betweenness centrality,0.11951267306920126
Nantes,PageRank,0.13341420116620495
Nantes,betweenness centrality,0.21873093829371848
Bordeaux,PageRank,0.2273785152921183
Bordeaux,betweenness centrality,0.28383865401111624
Le Havre,PageRank,0.2818240349748541
Le Havre,betweenness centrality,0.32358989424206813
