destination_radar,homeport_destination_radar,tonnage,departure_fr,destination_fr,ship_id,ship_name,departure_action,destination_action,departure_out_date,destination_in_date,source_doc_id
France,France,18,Marans,Côtes de Bretagne,0009544N,Marie Madeleine,Out,In,1789=08=18,1789>08>18,00336560
France,France,20,La Rochelle,Le Croisic,0009831N,Marie Joseph,Out,In,1789=11=19,1789>11>19,00341617
Local,Local,20,La Rochelle,île de Ré,0009942N,Rocher,Out,In,1789=02=19,1789>02>19,00341450
Local,France,80,Seudre,La Rochelle,0010538N,Pilotte,Out,In,1789<12<14,1789>12>14,00341162
France,France,47,Marennes,Bordeaux,0012747N,Sainte Anne,Out,In,1789<12<29,1789>12>29,00341997
France,France,16,La Rochelle,Côtes de Bretagne,0021001N,Marie Jean,Out,In,1789<02<02,1789>02>02,00332588
France,France,4,Marans,Côtes de Bretagne,0021256N,Marie,Out,In,1789=09=26,1789>09>26,00336600
Local,Local,20,Marans,Marennes,,Saint Jacques,Out,In,1789=08=01,1789>08>01,00332742
France,Europe,40,Rochefort,Bordeaux,,Saint Martin,Out,In,1789=04=16,1789>04>16,00333029
France,Europe,40,Rochefort,Bordeaux,,Saint Martin,Out,In,1789=06=20,1789>06>20,00333034
Local,Local,15,Saint-Martin-de-Ré,Tonnay-Charente,,Elizabeth,Out,In,1789=10=01,1789>10>01,00333204
Local,Local,12,La Tremblade,mer des Pertuis,,Magdeleine,In-out,In,,1789>11>29!,00333621
Local,Local,12,La Tremblade,île d'Oléron,,Magdeleine,In-out,In,,1789>11>29,00333621
Local,Local,20,Marennes,La Rochelle,,Franc Masson,Out,In,1789=08=22,1789>08>22,00333623
Local,Local,40,Marans,Rochefort,,Aimable,Out,In,1789=10=14,1789>10>14,00333669
Local,Europe,4,Ribérou,île d'Oléron,,Aimable Izabelle,Out,In,1789=07=04,1789>07>04,00333792
France,Ports francs et petites îles,5,Noirmoutier,Courreaux de Groix,,Poste,Out,In,1789=04=11,1789>04>11,00333897
Local,Local,18,Marans,Rochefort,,Espérence,Out,In,1789=12=09,1789>12>09,00334878
Local,Local,37,Marans,La Rochelle,,Aimable Solide,Out,In,1789=10=10,1789>10>10,00334949
Local,Local,36,Marennes,Tonnay-Charente,,Saint Pierre,Out,In,1789=05=01,1789>05>01,00336476
France,Local,26,Marans,Bordeaux,,Coutiche,Out,In,1789=01=30,1789>01>30,00336921
Local,Local,15,Rochefort,Tonnay-Charente,,Benjamin,Out,In,1789=08=13,1789>08>13,00337073
Local,Local,32,Saint-Martin-de-Ré,La Rochelle,,Marie Elizabeth,Out,In,1789=12=05,1789>12>05,00337076
Grande-Bretagne,Europe,150,Ars-en-Ré,Penzance,,Amy,Out,In,1789=02=22,1789>02>22,00337408
France,Ports francs et petites îles,10,Noirmoutier,Nantes,,Susanne,Out,In,1789=10=05,1789>10>05,00337648
France,France,86,Marennes,Honfleur,,Jean Baptiste,Out,In,1789=06=06,1789>06>06,00337928
