destination_radar,homeport_destination_radar,tonnage,departure_fr,destination_fr,ship_id,ship_name,departure_action,destination_action,departure_out_date,destination_in_date,source_doc_id
Local,Local,33,La Rochelle,La Rochelle,,Necessaire,Out,In,1789<05<28,1789>05>28,00337168
Local,Local,33,La Rochelle,La Rochelle,,Necessaire,Out,In,1789<06<09,1789>06>09,00337169
Local,Local,33,La Rochelle,La Rochelle,,Nécessaire,Out,In,1789<07<02,1789>07>02,00337170
Local,Local,4,Soubise,l'Aiguillon,,Nonpareille,Out,In,1789<07<11,1789>07>11,00337172
Local,Local,4,La Flotte-en-Ré,l'Aiguillon,,Nonpareille,In-Out,In,1789=07=11,1789>07>11,00337172
Local,Local,4,La Flotte-en-Ré,l'Aiguillon,,Nonpareille,In-Out,In,1789=08=20,1789>08>20,00337173
Local,Local,4,l'Aiguillon,l'Aiguillon,,Ballon,Out,In,1789<02<11,1789>02>11,00337174
Local,Local,4,La Flotte-en-Ré,l'Aiguillon,,Ballon,In-Out,In,1789=02=11,1789>02>11,00337174
Local,Local,22,La Rochelle,La Rochelle,,Perle,Out,In,1789<06<03,1789>06>03,00337176
Colonies,Local,160,Rochefort,Cap-Français,,Aimable Créolle,Out,In,1789=03=07,1789>03>07,00337183
Local,Local,70,Rochefort,Tonnay-Charente,,Suzanne,Out,In,1789=08=20,1789>08>20,00337192
Local,France,34,Rochefort,Tonnay-Charente,,Pierre François,Out,In,1789=05=29,1789>05>29,00337202
Local,Local,30,Rochefort,Tonnay-Charente,,Marie Antoine,Out,In,1789=07=04,1789>07>04,00337203
Europe,Grande-Bretagne,100,Rochefort,"Espagne, undeterminé",,La Vigne,Out,In,1789=05=22,1789>05>22,00337205
Local,Grande-Bretagne,100,Rochefort,Tonnay-Charente,,Eliza,Out,In,1789=02=24,1789>02>24,00337208
Local,Europe,165,Tonnay-Charente,Seudre,,Femme Jeanne Elizabeth,Out,In,1789=05=06,1789>05>06,00340356
Local,France,70,Rochefort,Tonnay-Charente,,Reine Victoire,Out,In,1789=05=04,1789>05>04,00337209
Local,Europe,150,Tonnay-Charente,Seudre,,Ange Magdelaine,Out,In,1789=06=19,1789>06>19,00340357
Local,Local,60,Rochefort,Tonnay-Charente,,Sainte Ustelle,Out,In,1789=06=08,1789>06>08,00337210
France,Local,20,Saint-Martin-de-Ré,Hennebont,,Hirondelle,Out,In,1789=08=06,1789>08>06,00337222
France,France,12,Rochefort,Auray,,Sainte Anne,Out,In,1789<04<29,1789>04>29,00337223
Local,Local,2,Les Sables-d'Olonne,Ribérou,,Sabre,Out,In,1789=06=20,1789>06>20,00337227
Local,Local,2,Les Sables-d'Olonne,Ribérou,,Marie Roze,Out,In,1789=07=09,1789>07>09,00337228
Local,Local,2,Les Sables-d'Olonne,Ribérou,,Marie Constance,Out,In,1789=07=17,1789>07>17,00337229
Europe,Europe,70,Noirmoutier,Zierikzee,,Paix,Out,In,1789=05=13,1789>05>13,00337237
Grande-Bretagne,Grande-Bretagne,70,Saint-Martin-de-Ré,île de Man,,Cesard,Out,In,1789=07=08,1789>07>08,00337239
Grande-Bretagne,Grande-Bretagne,108,Saint-Martin-de-Ré,Waterford,,Elizabeth,Out,In,1789=05=12,1789>05>12,00337243
Reste du monde,Reste du monde,237,Marennes,Virginie,,Louise,Out,In,1789=07=10,1789>07>10,00337245
Local,Local,27,Tonnay-Charente,Seudre,,Saint Jean,Out,In,1789=08=17,1789>08>17,00340358
Local,Europe,175,Tonnay-Charente,Seudre,,Amitié,Out,In,1789=11=21,1789>11>21,00340359
Grande-Bretagne,Europe,158,Saint-Martin-de-Ré,"Terre-Neuve, île de",,Marie,Out,In,1789=03=19,1789>03>19,00337256
Europe,Europe,150,La Rochelle,Stettin,,Deux Freres,Out,In,1789=03=16,1789>03>16,00340361
France,Local,75,Saint-Martin-de-Ré,Socoa,,Saint Esprit,Out,In,1789=12=11,1789>12>11,00337270
Local,Local,25,La Rochelle,Saintes,,Marie Anne,Out,In,1789=03=30,1789>03>30,00340380
Local,Local,32,La Rochelle,Saintes,,Sainte Marie,Out,In,1789=07=11,1789>07>11,00340381
France,France,70,Tonnay-Charente,Saint-Valery-sur-Somme,,Bonne Gulitigeme,Out,In,1789=04=27,1789>04>27,00340384
France,France,107,Marennes,Saint-Brieuc,,Marie Anne,Out,In,1789=12=22,1789>12>22,00337346
France,France,40,Marennes,Saint-Brieuc,,Saint André,Out,In,1789=04=25,1789>04>25,00337347
Local,Local,5,Tonnay-Charente,île de Ré,,Princesse,Out,In,1789=08=29,1789>08>29,00340699
Local,Local,50,Ars-en-Ré,Rochefort,,Insulaire,Out,In,1789=02=23,1789>02>23,00337358
Reste du monde,Europe,65,Ars-en-Ré,Rhode Island,,Neptune,Out,In,1789=07=08,1789>07>08,00337365
Europe,Europe,150,Ars-en-Ré,Ribnitz,,Margueritte,Out,In,1789=07=24,1789>07>24,00337373
Europe,Europe,214,Marennes,Pillau / Baltiïsk,,Jeune Simon,Out,In,1789=10=07,1789>10>07,00337406
France,Ports francs et petites îles,39,Ars-en-Ré,Pontrieux ,,Elizabeth,Out,In,1789=12=01,1789>12>01,00337400
Grande-Bretagne,Grande-Bretagne,240,Ars-en-Ré,Portsmouth,,Héros,Out,In,1789=04=30,1789>04>30,00337401
Grande-Bretagne,Grande-Bretagne,100,Saint-Martin-de-Ré,Plymouth,,Amis,Out,In,1789=04=01,1789>04>01,00337404
Grande-Bretagne,Grande-Bretagne,160,Saint-Martin-de-Ré,Plymouth,,Héros,Out,In,1789=03=15,1789>03>15,00337405
Reste du monde,Reste du monde,200,Ars-en-Ré,Philadelphie,,Flore,Out,In,1789=07=30,1789>07>30,00337407
Europe,France,81,Marennes,Ostende,,Esperance,Out,In,1789=07=01,1789>07>01,00337409
Europe,France,91,Marennes,Ostende,,Trois amis,Out,In,1789=09=07,1789>09>07,00337410
Reste du monde,Reste du monde,90,Saint-Martin-de-Ré,New York,,Caroline,Out,In,1789=09=17,1789>09>17,00337414
Europe,Europe,100,La Flotte-en-Ré,Norvège,,Bergeritte,In-Out,In,1789=10=20,1789>10>20,00337415
Europe,Europe,300,Noirmoutier,Norvège,,Marta Margarita,Out,In,1789=07=19,1789>07>19,00337416
Local,Local,5,Tonnay-Charente,île de Ré,,Princesse,Out,In,1789=10=10,1789>10>10,00340708
Europe,Europe,100,Ars-en-Ré,pas identifié,,Esperance,Out,In,1789=07=08,1789>07>08,00337427
Reste du monde,Reste du monde,,Saint-Martin-de-Ré,Newburyport,,Paquet d’Avril,Out,In,1789=06=13,1789>06>13,00337426
France,France,40,Marennes,Nantes,,Gaspard,Out,In,1789=11=30,1789>11>30,00337526
France,Ports francs et petites îles,66,Marennes,Nantes,,Diligent,Out,In,1789=10=24,1789>10>24,00337525
France,France,121,Marennes,Nantes,,Sainte Marie,Out,In,1789=12=07,1789>12>07,00337527
Europe,Europe,130,Ars-en-Ré,Moss,,Diamant,Out,In,1789=08=27,1789>08>27,00337655
France,France,16,Marennes,Morlaix,,Saint Pierre,Out,In,1789=10=06,1789>10>06,00337656
France,France,54,Marennes,Morlaix,,Saint Piérre,Out,In,1789=11=25,1789>11>25,00337657
Europe,Europe,105,Ars-en-Ré,Molde,,Adjutor,Out,In,1789=07=30,1789>07>30,00337659
Local,Local,15,Ars-en-Ré,Loix,,Saint Pierre,Out,In,1789=01=22,1789>01>22,00337670
Grande-Bretagne,Grande-Bretagne,179,Marennes,Londres,,Bachus,Out,In,1789=01=22,1789>01>22,00337669
Europe,France,41,Ars-en-Ré,pas identifié,,Petite Agathe,Out,In,1789=03=23,1789>03>23,00337772
France,France,30,Ars-en-Ré,Le Havre,,Saint Andronic,Out,In,1789=04=26,1789>04>26,00337774
Local,Local,5,La Rochelle,Saint-Michel-en-l'Herm,,Marguérite,Out,In,1789=09=25,1789>09>25,00340406
Europe,Grande-Bretagne,90,Ars-en-Ré,pas identifié,,Guillaume,Out,In,1789=03=16,1789>03>16,00338169
Europe,Europe,260,Saint-Martin-de-Ré,Königsberg / Kaliningrad,,Esperance,Out,In,1789=07=08,1789>07>08,00337854
France,Local,30,Marennes,Lamarque,,Quatre Sœurs,Out,In,1789=09=02,1789>09>02,00337851
Europe,Europe,65,Saint-Martin-de-Ré,Mer Baltique,,Esperance,Out,In,1789=10=01,1789>10>01,00337852
Europe,Europe,236,Marennes,Königsberg / Kaliningrad,,Amie Caroline,Out,In,1789=08=04,1789>08>04,00337858
Europe,Europe,132,Marennes,Königsberg / Kaliningrad,,Demoiselle Caroline,Out,In,1789=08=22,1789>08>22,00337859
Europe,Europe,197,Marennes,Königsberg / Kaliningrad,,Point du Jour,Out,In,1789=08=13,1789>08>13,00337862
Europe,Europe,290,Saint-Martin-de-Ré,Königsberg / Kaliningrad,,Ulbertine Marianne,Out,In,1789=04=12,1789>04>12,00337865
Local,Local,5,Ars-en-Ré,île d'Yeu,,Prudent,Out,In,1789=02=09,1789>02>09,00337866
Local,Local,9,Tonnay-Charente,Saint-Martin-de-Ré,,Sainte Barbe,Out,In,1789=09=24,1789>09>24,00340409
Local,Local,10,La Perrotine,Saint-Martin-de-Ré,,Sainte Barbe,Out,In,1789=07=28,1789>07>28,00340411
Ports francs et petites îles,Ports francs et petites îles,40,Marans,Lorient,,Saint Germain,Out,In,1789=04=29,1789>04>29,00339631
France,Europe,56,Seudre,Saint-Malo,,Jeannette,Out,In,1789<09<10,1789>09>10,00340437
France,Ports francs et petites îles,55,Noirmoutier,Honfleur,,Saint Jean,Out,In,1789=06=04,1789>06>04,00338060
Local,Local,26,Tonnay-Charente,île de Ré,,Elizabeth,Out,In,1789=10=12,1789>10>12,00340709
France,France,18,La Perrotine,Plouharnel,,Marie Françoise,Out,In,1789=02=21,1789>02>21,00339846
Local,Local,3,Ribérou,Brouage ,,Providence,Out,In,1789=01=27,1789>01>27,00339947
France,France,30,Rochefort,Quimper,,Margueritte,Out,In,1789=09=01,1789>09>01,00340123
Local,Local,30,Tonnay-Charente,île de Ré,,Saint Pierre,Out,In,1789=04=20,1789>04>20,00340666
Reste du monde,Reste du monde,50,Ars-en-Ré,Gloucester,,Speedwell,Out,In,1789=04=11,1789>04>11,00338160
Grande-Bretagne,Grande-Bretagne,50,Marennes,Galway,,Agnés et Edemons,Out,In,1789=07=07,1789>07>07,00338163
Local,Local,30,Tonnay-Charente,île de Ré,,Prophete Elie,Out,In,1789=04=22,1789>04>22,00340667
Europe,Europe,45,Ars-en-Ré,Farsund,,Ellerts Lund,Out,In,1789=11=23,1789>11>23,00338170
Grande-Bretagne,Grande-Bretagne,90,Ars-en-Ré,Saltcoats,,Demoiselle Montgomery,Out,In,1789=01=21,1789>01>21,00338171
Grande-Bretagne,Grande-Bretagne,45,Ars-en-Ré,Exeter,,Allouette,Out,In,1789=07=09,1789>07>09,00338172
France,France,4,Ars-en-Ré,Plouharnel,,Sainte Anne,Out,In,1789=05=28,1789>05>28,00340124
Local,Local,20,Tonnay-Charente,Les Sables-d'Olonne,,Saint Antoine,Out,In,1789=05=05,1789>05>05,00340452
Local,Local,35,Tonnay-Charente,île de Ré,,Marie Elizabeth,Out,In,1789=04=29,1789>04>29,00340668
Ports francs et petites îles,France,110,Soubise,Dunkerque,,Héros,In-Out,In,1789=08=03,1789>08>03,00338192
Local,Local,36,Tonnay-Charente,île de Ré,,Trois Sœurs,Out,In,1789=05=04,1789>05>04,00340669
Ports francs et petites îles,Local,75,île de Bouin,Dunkerque,,Jeune Aimé,Out,In,1789=09=21,1789>09>21,00338206
Local,Local,42,Tonnay-Charente,Les Sables-d'Olonne,,Jeune Amandé,Out,In,1789=06=04,1789>06>04,00340453
Local,Local,38,Tonnay-Charente,Les Sables-d'Olonne,,Marie Theophile,Out,In,1789=07=07,1789>07>07,00340454
Local,Local,40,Tonnay-Charente,Les Sables-d'Olonne,,Marianne,Out,In,1789=07=08,1789>07>08,00340455
Local,Local,36,Tonnay-Charente,Les Sables-d'Olonne,,Victoire,Out,In,1789=07=30,1789>07>30,00340456
Local,Local,32,Tonnay-Charente,Les Sables-d'Olonne,,Entreprise,Out,In,1789=08=22,1789>08>22,00340457
Local,Local,42,Tonnay-Charente,Les Sables-d'Olonne,,Jeune Amandé,Out,In,1789=09=18,1789>09>18,00340458
Local,Local,42,Tonnay-Charente,Les Sables-d'Olonne,,Jeune Amandé,Out,In,1789=11=17,1789>11>17,00340459
Local,Local,32,Tonnay-Charente,Royan,,Saint Jacques,Out,In,1789=05=11,1789>05>11,00340486
Local,Local,33,Tonnay-Charente,Royan,,Grace de Dieu,Out,In,1789=05=14,1789>05>14,00340487
Local,Local,32,Tonnay-Charente,Royan,,Saint Jacques,Out,In,1789=06=12,1789>06>12,00340488
France,Local,20,Saint-Martin-de-Ré,Douarnenez,,Suzanne,Out,In,1789=10=12,1789>10>12,00338347
Local,Local,35,Tonnay-Charente,Royan,,Marie Elizabeth,Out,In,1789=06=19,1789>06>19,00340489
Europe,France,61,île de Bouin,pas identifié,,Séraphin,Out,In,1789=09=04,1789>09>04,00338353
Local,Local,38,Tonnay-Charente,Royan,,Marie Julienne,Out,In,1789=06=20,1789>06>20,00340490
Local,Local,37,Tonnay-Charente,Royan,,Saint Joseph,Out,In,1789=06=25,1789>06>25,00340491
Local,Local,32,Tonnay-Charente,Royan,,Saint Jacques,Out,In,1789=06=27,1789>06>27,00340492
Europe,Europe,160,Saint-Martin-de-Ré,Dantzig ,,Ma regina,Out,In,1789=04=30,1789>04>30,00338377
Local,Local,36,Tonnay-Charente,île de Ré,,Saint André,Out,In,1789=10=13,1789>10>13,00340710
Europe,Europe,480,Ars-en-Ré,Dantzig ,,Aurore,Out,In,1789=04=11,1789>04>11,00338378
Europe,Europe,110,Ars-en-Ré,Dantzig ,,Dame Cathrinne Constance,Out,In,1789=06=16,1789>06>16,00338379
Europe,Europe,440,Ars-en-Ré,Dantzig ,,Huzard,Out,In,1789=07=24,1789>07>24,00338380
France,France,40,île de Bouin,Côtes de Bretagne,,Jeune Marie,Out,In,1789=04=20,1789>04>20,00338381
France,Local,35,île de Bouin,Côtes de Bretagne,,Bien Aimé,Out,In,1789=08=05,1789>08>05,00338383
Local,Local,36,Tonnay-Charente,Royan,,Victoire,Out,In,1789=07=02,1789>07>02,00340493
France,France,7,Saint-Gilles-sur-Vie,Côtes de Bretagne,,Sainte Anne,Out,In,1789=10=14,1789>10>14,00338414
Grande-Bretagne,Grande-Bretagne,240,Ars-en-Ré,Cork,,Lucrece,Out,In,1789=02=09,1789>02>09,00338415
Local,Local,32,Tonnay-Charente,Royan,,Saint Jacques,Out,In,1789=07=15,1789>07>15,00340494
Grande-Bretagne,Grande-Bretagne,40,Saint-Martin-de-Ré,Cork,,Feal,Out,In,1789=04=01,1789>04>01,00338416
Grande-Bretagne,Europe,25,Saint-Martin-de-Ré,Cork,,Betty,Out,In,1789=07=28,1789>07>28,00338417
France,Local,15,Ars-en-Ré,Concarneau,,Saint Pierre,Out,In,1789=08=12,1789>08>12,00338419
Colonies,France,70,Ars-en-Ré,Colonies françaises en Amérique,,Hirondelle,Out,In,1789=04=21,1789>04>21,00338420
Europe,Europe,100,La Flotte-en-Ré,Kristiansand ,,Marguerite,In-Out,In,1789=04=01,1789>04>01,00338421
Europe,Europe,150,La Flotte-en-Ré,Kristiansand ,,Montagnard,In-Out,In,1789=04=01,1789>04>01,00338422
Grande-Bretagne,Grande-Bretagne,47,Saint-Martin-de-Ré,Chichester,,Levy,Out,In,1789=06=11,1789>06>11,00338426
Local,Local,32,Tonnay-Charente,Royan,,Saint Jacques,Out,In,1789=08=14,1789>08>14,00340496
Local,Local,36,Soubise,Tonnay-Charente,,Don de Dieu,In-Out,In,1789=09=24,1789>09>24,00338428
Local,Local,50,Marennes,Tonnay-Charente,,Deux Sœurs,Out,In,1789=01=16,1789>01>16,00338432
Local,Local,32,Tonnay-Charente,île de Ré,,Providance,Out,In,1789=10=15,1789>10>15,00340711
Local,Local,20,Marennes,Tonnay-Charente,,Saint Pierre,Out,In,1789=01=03,1789>01>03,00338431
Local,Local,32,Marennes,Tonnay-Charente,,Geneviéve,Out,In,1789=01=26,1789>01>26,00338433
Local,Local,30,Marennes,Tonnay-Charente,,Saint Etienne,Out,In,1789=02=09,1789>02>09,00338446
Local,Local,32,Marennes,Tonnay-Charente,,Espérance en Dieu,Out,In,1789=01=31,1789>01>31,00338437
Local,Local,40,Marennes,Tonnay-Charente,,Madelaine,Out,In,1789=02=04,1789>02>04,00338439
Local,Local,40,Marennes,Tonnay-Charente,,Saint Jean Baptiste,Out,In,1789=02=04,1789>02>04,00338440
Local,Local,32,Marennes,Tonnay-Charente,,Grace de Dieu,Out,In,1789=02=05,1789>02>05,00338441
Local,Local,36,Marennes,Tonnay-Charente,,Union,Out,In,1789=02=05,1789>02>05,00338442
Local,Local,32,Marennes,Tonnay-Charente,,Angélique,Out,In,1789=02=06,1789>02>06,00338443
Local,Local,32,Marennes,Tonnay-Charente,,Catherine,Out,In,1789=02=07,1789>02>07,00338444
Local,Local,52,Marennes,Tonnay-Charente,,Deux amis,Out,In,1789=02=09,1789>02>09,00338445
Local,Local,50,Marennes,Tonnay-Charente,,Reine des Anges,Out,In,1789=02=09,1789>02>09,00338447
Local,Local,40,Marennes,Tonnay-Charente,,Quatre Sœurs,Out,In,1789=02=13,1789>02>13,00338450
Local,Local,54,Marennes,Tonnay-Charente,,Princesse,Out,In,1789=02=14,1789>02>14,00338451
Local,Local,32,Marennes,Tonnay-Charente,,Geneviéve,Out,In,1789=02=19,1789>02>19,00338452
Local,Local,55,Marennes,Tonnay-Charente,,Saint Esprit,Out,In,1789=02=21,1789>02>21,00338453
Local,Local,32,Marennes,Tonnay-Charente,,Espérance en Dieu,Out,In,1789=02=21,1789>02>21,00338454
Local,Local,32,Marennes,Tonnay-Charente,,Saint François,Out,In,1789=02=23,1789>02>23,00338455
Local,Local,36,Marennes,Tonnay-Charente,,Tasselier,Out,In,1789=02=23,1789>02>23,00338456
Local,Local,35,Marennes,Tonnay-Charente,,Trois frères,Out,In,1789=02=26,1789>02>26,00338457
Local,Local,50,Marennes,Tonnay-Charente,,Deux Sœurs,Out,In,1789=02=27,1789>02>27,00338458
Local,Local,32,Marennes,Tonnay-Charente,,Providance,Out,In,1789=02=27,1789>02>27,00338459
Local,Local,32,Marennes,Tonnay-Charente,,Grace de Dieu,Out,In,1789=02=28,1789>02>28,00338460
Local,Local,32,Marennes,Tonnay-Charente,,Rosalie,Out,In,1789=03=03,1789>03>03,00338461
Local,Local,32,Marennes,Tonnay-Charente,,Saint Jean,Out,In,1789=03=04,1789>03>04,00338462
Local,Local,36,Marennes,Tonnay-Charente,,Don de Dieu,Out,In,1789=03=06,1789>03>06,00338463
Local,Local,40,Marennes,Tonnay-Charente,,Quatre Sœurs,Out,In,1789=03=07,1789>03>07,00338465
Local,Local,55,Marennes,Tonnay-Charente,,Saint Esprit,Out,In,1789=03=07,1789>03>07,00338466
Local,Local,36,Marennes,Tonnay-Charente,,Union,Out,In,1789=03=12,1789>03>12,00338468
Local,Local,32,Marennes,Tonnay-Charente,,Marie Claire,Out,In,1789=03=13,1789>03>13,00338469
France,Local,88,Tonnay-Charente,Rouen,,Ville de Cognac,Out,In,1789=01=22,1789>01>22,00340501
Local,Local,32,Marennes,Tonnay-Charente,,Grace de Dieu,Out,In,1789=03=17,1789>03>17,00338470
Local,Local,32,Marennes,Tonnay-Charente,,Cathérinne,Out,In,1789=03=17,1789>03>17,00338471
Local,Local,55,Marennes,Tonnay-Charente,,Saint Esprit,Out,In,1789=03=19,1789>03>19,00338472
Local,Local,32,Marennes,Tonnay-Charente,,Grace de Dieu,Out,In,1789=03=27,1789>03>27,00338473
France,Local,60,Tonnay-Charente,Rouen,,Conducteur,Out,In,1789=02=06,1789>02>06,00340502
Local,Local,40,Marennes,Tonnay-Charente,,Saint Jean Baptiste,Out,In,1789=03=27,1789>03>27,00338474
Local,Local,36,Marennes,Tonnay-Charente,,Union,Out,In,1789=03=27,1789>03>27,00338475
Local,Local,32,Marennes,Tonnay-Charente,,Saint Jean,Out,In,1789=03=30,1789>03>30,00338476
Local,Local,56,Marennes,Tonnay-Charente,,Princesse,Out,In,1789=03=30,1789>03>30,00338477
France,France,45,Tonnay-Charente,Rouen,,Saint Simon,Out,In,1789=04=16,1789>04>16,00340504
Local,Local,32,Marennes,Tonnay-Charente,,Marie Claire,Out,In,1789=03=31,1789>03>31,00338478
Local,Local,32,Marennes,Tonnay-Charente,,Providance,Out,In,1789=03=31,1789>03>31,00338479
Local,Local,32,Marennes,Tonnay-Charente,,Geneviève,Out,In,1789=04=01,1789>04>01,00338481
France,France,75,Tonnay-Charente,Rouen,,Aimable Merite,Out,In,1789=04=22,1789>04>22,00340505
Local,Local,32,Marennes,Tonnay-Charente,,Saint Francois,Out,In,1789=04=04,1789>04>04,00338485
Local,Local,30,Marennes,Tonnay-Charente,,Saint Etienne,Out,In,1789=04=07,1789>04>07,00338486
Local,Local,32,Marennes,Tonnay-Charente,,Rosalie,Out,In,1789=04=07,1789>04>07,00338487
Local,Local,32,Marennes,Tonnay-Charente,,Espérance en Dieu,Out,In,1789=04=07,1789>04>07,00338488
Local,Local,32,Marennes,Tonnay-Charente,,Quatre Sœurs,Out,In,1789=04=04,1789>04>04,00338491
Local,Local,50,Marennes,Tonnay-Charente,,Deux Amis,Out,In,1789=04=04,1789>04>04,00338492
Local,Local,32,Marennes,Tonnay-Charente,,Grace de Dieu,Out,In,1789=04=04,1789>04>04,00338493
France,Local,60,Tonnay-Charente,Rouen,,Conducteur,Out,In,1789=05=15,1789>05>15,00340506
Local,Local,50,Marennes,Tonnay-Charente,,Reine des Anges,Out,In,1789=04=04,1789>04>04,00338495
Local,Local,32,Marennes,Tonnay-Charente,,Grace de Dieu,Out,In,1789=04=10,1789>04>10,00338496
Local,Local,35,Marennes,Tonnay-Charente,,Louis Alexandre,Out,In,1789=04=17,1789>04>17,00338498
France,France,70,Tonnay-Charente,Rouen,,Roy David,Out,In,1789=05=22,1789>05>22,00340507
Local,Local,36,Marennes,Tonnay-Charente,,Union,Out,In,1789=04=25,1789>04>25,00338503
Local,Local,40,Marennes,Tonnay-Charente,,Saint Jean Baptiste,Out,In,1789=04=27,1789>04>27,00338504
Local,Local,55,Marennes,Tonnay-Charente,,Saint Esprit,Out,In,1789=04=28,1789>04>28,00338505
Local,Local,32,Marennes,Tonnay-Charente,,Catherinne,Out,In,1789=05=01,1789>05>01,00338507
Local,Local,32,Marennes,Tonnay-Charente,,Saint Etienne,Out,In,1789=05=02,1789>05>02,00338508
Local,Local,32,Marennes,Tonnay-Charente,,Grace de Dieu,Out,In,1789=05=04,1789>05>04,00338509
Local,Local,32,Marennes,Tonnay-Charente,,Saint Jean,Out,In,1789=05=05,1789>05>05,00338510
Local,Local,32,Marennes,Tonnay-Charente,,Geneviéve,Out,In,1789=05=07,1789>05>07,00338511
Local,Local,32,Marennes,Tonnay-Charente,,Elisabeth,Out,In,1789=05=08,1789>05>08,00338512
Local,Local,36,Marennes,Tonnay-Charente,,Don de Dieu,Out,In,1789=05=09,1789>05>09,00338513
Local,Local,32,Marennes,Tonnay-Charente,,Esperance en Dieu,Out,In,1789=05=09,1789>05>09,00338515
Local,Local,32,Marennes,Tonnay-Charente,,Marie Claire,Out,In,1789=05=09,1789>05>09,00338516
Local,Local,32,Marennes,Tonnay-Charente,,Jeanne,Out,In,1789=05=09,1789>05>09,00338514
Local,Local,56,Marennes,Tonnay-Charente,,Princesse,Out,In,1789=05=11,1789>05>11,00338518
Local,Local,55,Marennes,Tonnay-Charente,,Saint Esprit,Out,In,1789=05=12,1789>05>12,00338519
Local,Local,32,Marennes,Tonnay-Charente,,Rosalie,Out,In,1789=05=12,1789>05>12,00338520
France,Local,32,Tonnay-Charente,Rouen,,Saint Jacques,Out,In,1789=10=15,1789>10>15,00340508
Local,Local,39,Marennes,Tonnay-Charente,,Providance,Out,In,1789=05=18,1789>05>18,00338523
Local,Local,32,Marennes,Tonnay-Charente,,Grace de Dieu,Out,In,1789=05=23,1789>05>23,00338524
Local,Local,32,Marennes,Tonnay-Charente,,Saint Jean,Out,In,1789=05=26,1789>05>26,00338525
Local,Local,36,Marennes,Tonnay-Charente,,Tasselier,Out,In,1789=05=16,1789>05>16,00338522
Local,Local,32,Marennes,Tonnay-Charente,,Espérance en Dieu,Out,In,1789=05=26,1789>05>26,00338526
Local,Local,50,Marennes,Tonnay-Charente,,Deux Amis,Out,In,1789=05=27,1789>05>27,00338527
Local,Local,32,Marennes,Tonnay-Charente,,Grace de Dieu,Out,In,1789=05=29,1789>05>29,00338528
Local,Local,32,Marennes,Tonnay-Charente,,Quatre Sœurs,Out,In,1789=05=30,1789>05>30,00338530
Local,Local,32,Marennes,Tonnay-Charente,,Marie Claire,Out,In,1789=06=02,1789>06>02,00338533
Local,Local,32,Marennes,Tonnay-Charente,,Saint Francois,Out,In,1789=06=03,1789>06>03,00338534
Local,Local,32,Marennes,Tonnay-Charente,,Angelique,Out,In,1789=06=03,1789>06>03,00338535
Local,Local,32,Marennes,Tonnay-Charente,,Rosalie,Out,In,1789=06=04,1789>06>04,00338537
Local,Local,32,Marennes,Tonnay-Charente,,Catherinne,Out,In,1789=06=06,1789>06>06,00338538
Local,Local,40,Marennes,Tonnay-Charente,,Jean Baptiste,Out,In,1789=06=06,1789>06>06,00338539
Local,Local,32,Marennes,Tonnay-Charente,,Providance,Out,In,1789=06=08,1789>06>08,00338540
Local,Local,32,Marennes,Tonnay-Charente,,Grace de Dieu,Out,In,1789=06=08,1789>06>08,00338541
Local,Local,32,Marennes,Tonnay-Charente,,Sainte Marie,Out,In,1789=06=10,1789>06>10,00338542
Local,Local,30,Marennes,Tonnay-Charente,,Saint Etienne,Out,In,1789=06=10,1789>06>10,00338543
Local,Local,50,Marennes,Tonnay-Charente,,Deux Sœurs,Out,In,1789=06=12,1789>06>12,00338545
Local,Local,36,Marennes,Tonnay-Charente,,Union,Out,In,1789=06=13,1789>06>13,00338546
Local,Local,32,Marennes,Tonnay-Charente,,Saint Jean,Out,In,1789=06=13,1789>06>13,00338547
Local,Local,32,Marennes,Tonnay-Charente,,Genevieve,Out,In,1789=06=13,1789>06>13,00338548
Local,Local,32,Marennes,Tonnay-Charente,,Don de Dieu,Out,In,1789=06=17,1789>06>17,00338552
Local,Local,32,Marennes,Tonnay-Charente,,Espérance en Dieu,Out,In,1789=06=23,1789>06>23,00338553
Local,Local,56,Marennes,Tonnay-Charente,,Princesse,Out,In,1789=06=23,1789>06>23,00338554
Local,Local,32,Marennes,Tonnay-Charente,,Jeanne,Out,In,1789=06=15,1789>06>15,00338549
Local,Local,55,Marennes,Tonnay-Charente,,Saint Esprit,Out,In,1789=06=26,1789>06>26,00338555
Local,Local,32,Marennes,Tonnay-Charente,,Quatre Sœurs,Out,In,1789=07=01,1789>07>01,00338557
Local,Local,32,Marennes,Tonnay-Charente,,Grace de Dieu,Out,In,1789=07=02,1789>07>02,00338558
Local,France,50,Marennes,Tonnay-Charente,,Reine des Anges,Out,In,1789=07=03,1789>07>03,00338559
Local,Local,32,Marennes,Tonnay-Charente,,Saint Etienne,Out,In,1789=07=03,1789>07>03,00338560
Local,Local,50,Marennes,Tonnay-Charente,,Deux Amis,Out,In,1789=07=06,1789>07>06,00338561
Local,Local,50,Marennes,Tonnay-Charente,,Princesse,Out,In,1789=07=06,1789>07>06,00338562
Local,Local,32,Marennes,Tonnay-Charente,,Rosalie,Out,In,1789=07=07,1789>07>07,00338564
Local,Local,32,Marennes,Tonnay-Charente,,Genevieve,Out,In,1789=07=07,1789>07>07,00338565
Local,Local,36,Marennes,Tonnay-Charente,,Union,Out,In,1789=07=08,1789>07>08,00338566
