country,nb_outs,tonnage
Grande-Bretagne,146,17021
Provinces-Unies,60,11671
Hambourg,12,1715
Duché de Mecklenbourg,2,323
Danemark,46,4362
Brême,4,450
Lubeck,9,1589
Pologne,7,1840
Espagne,8,307
Prusse,22,4593
Etats-Unis d'Amérique,23,2173
Mecklenbourg,2,490
Duché d'Oldenbourg,2,240
