port,nb_flows,tonnage
Tonnay-Charente,204,7514
Dercie,5,160
Bourcefranc ,1,50
Saintes,2,57
Saint-Michel-en-l'Herm,1,5
Rivedoux,1,6
Le Plomb,1,20
Le Chapus,3,17
Seudre,16,1336
île d'Oléron,89,2605
Luçon,3,104
Châlon,64,1253
île de Ré,42,2643
Saint-Gilles-sur-Vie,1,55
La Tremblade,8,142
l'Aiguillon,1,1
Brouage ,7,308
Marans,33,1065
Marennes,38,1116
Rochefort,72,2262
Les Sables-d'Olonne,30,905
Saint-Martin-de-Ré,25,594
Moricq,41,1159
Soubise,2,41
Ribérou,14,151
La Perrotine,4,86
La Flotte-en-Ré,3,326
Saint-Denis d'Oléron,2,16
La Tranche-sur-Mer,4,83
