flow_id,port_dep,port_dest,port_dest_category,latitude_dep,longitude_dep,latitude_dest,longitude_dest,category_fr,category_en,nb_flows,tonnages_cumulés
46.166667:-1.15;46.188459:-1.328716,La Rochelle,La Flotte-en-Ré,pasa,46.166667,-1.15,46.188459,-1.328716,région PASA,PASA region,16,356.0
46.166667:-1.15;45.933333:-1,La Rochelle,Soubise,pasa,46.166667,-1.15,45.933333,-1,région PASA,PASA region,3,90.0
45.95:-0.9;45.943666:-0.97043,Tonnay-Charente,Rochefort,pasa,45.95,-0.9,45.943666,-0.97043,région PASA,PASA region,1,39.0
45.95:-0.9;46.166667:-1.15,Tonnay-Charente,La Rochelle,pasa,45.95,-0.9,46.166667,-1.15,région PASA,PASA region,22,730.0
46.166667:-1.15;46.2:-1.366667,La Rochelle,Saint-Martin-de-Ré,pasa,46.166667,-1.15,46.2,-1.366667,région PASA,PASA region,10,111.0
46.166667:-1.15;45.91367:-0.959895,La Rochelle,Martrou,pasa,46.166667,-1.15,45.91367,-0.959895,région PASA,PASA region,6,138.0
46.166667:-1.15;45.8:-1.15,La Rochelle,Seudre,pasa,46.166667,-1.15,45.8,-1.15,région PASA,PASA region,5,140.0
46.166667:-1.15;-11.467104:13.791503,La Rochelle,Côte d'Angole,étranger,46.166667,-1.15,-11.467104,13.791503,région PASA,PASA region,4,4150.0
46.166667:-1.15;46.2:-1.416667,La Rochelle,île de Ré,pasa,46.166667,-1.15,46.2,-1.416667,région PASA,PASA region,1,20.0
46.166667:-1.15;46.396209:-1.374028,La Rochelle,Moricq,pasa,46.166667,-1.15,46.396209,-1.374028,région PASA,PASA region,40,1228.0
46.166667:-1.15;50.95:1.833333,La Rochelle,Calais,France,46.166667,-1.15,50.95,1.833333,région PASA,PASA region,2,240.0
46.166667:-1.15;45.943666:-0.97043,La Rochelle,Rochefort,pasa,46.166667,-1.15,45.943666,-0.97043,région PASA,PASA region,27,576.0
46.166667:-1.15;46.312468:-0.995682,La Rochelle,Marans,pasa,46.166667,-1.15,46.312468,-0.995682,région PASA,PASA region,7,216.0
46.5:-1.783333;46.188459:-1.328716,Les Sables-d'Olonne,La Flotte-en-Ré,pasa,46.5,-1.783333,46.188459,-1.328716,région PASA,PASA region,1,20.0
46.188459:-1.328716;46.5:-1.783333,La Flotte-en-Ré,Les Sables-d'Olonne,pasa,46.188459,-1.328716,46.5,-1.783333,région PASA,PASA region,1,20.0
46.166667:-1.15;45.95:-0.9,La Rochelle,Tonnay-Charente,pasa,46.166667,-1.15,45.95,-0.9,région PASA,PASA region,17,574.0
46.166667:-1.15;45.964614:-1.243436,La Rochelle,La Perrotine,pasa,46.166667,-1.15,45.964614,-1.243436,région PASA,PASA region,2,40.0
45.9:-1.2;45.724946:-0.963790,Le Château-d'Oléron,Châlon,pasa,45.9,-1.2,45.724946,-0.963790,région PASA,PASA region,1,9.0
45.816667:-1.116667;46.166667:-1.15,Marennes,La Rochelle,pasa,45.816667,-1.116667,46.166667,-1.15,région PASA,PASA region,7,216.0
46.396209:-1.374028;46.166667:-1.15,Moricq,La Rochelle,pasa,46.396209,-1.374028,46.166667,-1.15,région PASA,PASA region,38,1214.0
45.933333:-1;46.166667:-1.15,Soubise,La Rochelle,pasa,45.933333,-1,46.166667,-1.15,région PASA,PASA region,10,282.0
45.943666:-0.97043;46.396209:-1.374028,Rochefort,Moricq,pasa,45.943666,-0.97043,46.396209,-1.374028,région PASA,PASA region,4,156.0
45.6755:-0.935826;46.166667:-1.15,Ribérou,La Rochelle,pasa,45.6755,-0.935826,46.166667,-1.15,région PASA,PASA region,11,207.0
47.216667:-1.55;46.166667:-1.15,Nantes,La Rochelle,pasa,47.216667,-1.55,46.166667,-1.15,France,France,1,328.0
50.183333:1.633333;46.166667:-1.15,Saint-Valéry-sur-Somme,La Rochelle,pasa,50.183333,1.633333,46.166667,-1.15,France,France,3,354.0
46.166667:-1.15;45.724946:-0.963790,La Rochelle,Châlon,pasa,46.166667,-1.15,45.724946,-0.963790,région PASA,PASA region,6,120.0
46.166667:-1.15;45.933333:-1.3,La Rochelle,île d'Oléron,pasa,46.166667,-1.15,45.933333,-1.3,région PASA,PASA region,3,60.0
46.166667:-1.15;1.486284:9.314575,La Rochelle,Côte d'Or,étranger,46.166667,-1.15,1.486284,9.314575,région PASA,PASA region,5,4479.0
46.166667:-1.15;-20.281263:57.556457,La Rochelle,île de France / île Maurice,étranger,46.166667,-1.15,-20.281263,57.556457,région PASA,PASA region,2,540.0
46.166667:-1.15;45.766667:-1.133333,La Rochelle,La Tremblade,pasa,46.166667,-1.15,45.766667,-1.133333,région PASA,PASA region,2,26.0
46.166667:-1.15;19.1:-72.65,La Rochelle,Saint-Marc,étranger,46.166667,-1.15,19.1,-72.65,région PASA,PASA region,2,480.0
45.943666:-0.97043;46.2:-1.416667,Rochefort,île de Ré,pasa,45.943666,-0.97043,46.2,-1.416667,région PASA,PASA region,1,32.0
46.5:-1.783333;47.283333:-2.033333,Les Sables-d'Olonne,Paimbœuf,France,46.5,-1.783333,47.283333,-2.033333,région PASA,PASA region,1,20.0
46.5:-1.783333;45.943666:-0.97043,Les Sables-d'Olonne,Rochefort,pasa,46.5,-1.783333,45.943666,-0.97043,région PASA,PASA region,1,40.0
45.943666:-0.97043;46.166667:-1.15,Rochefort,La Rochelle,pasa,45.943666,-0.97043,46.166667,-1.15,région PASA,PASA region,3,104.0
46.833333:-56.333333;40.718276:-74.004707,Saint-Pierre-et-Miquelon,New York,étranger,46.833333,-56.333333,40.718276,-74.004707,France,France,1,88.0
46.166667:-1.15;46.016667:-1.35,La Rochelle,La Brée,pasa,46.166667,-1.15,46.016667,-1.35,région PASA,PASA region,5,100.0
46.166667:-1.15;50.183333:1.633333,La Rochelle,Saint-Valéry-sur-Somme,France,46.166667,-1.15,50.183333,1.633333,région PASA,PASA region,3,382.0
45.95:-0.9;:,Tonnay-Charente,pas mentionné,étranger,45.95,-0.9,,,région PASA,PASA region,1,36.0
46.833333:-56.333333;46.166667:-1.15,Saint-Pierre-et-Miquelon,La Rochelle,pasa,46.833333,-56.333333,46.166667,-1.15,France,France,4,380.0
47.75:-3.366667;46.166667:-1.15,Lorient,La Rochelle,pasa,47.75,-3.366667,46.166667,-1.15,France,France,2,370.0
45.816667:-1.116667;46.2:-1.416667,Marennes,île de Ré,pasa,45.816667,-1.116667,46.2,-1.416667,région PASA,PASA region,1,20.0
46.166667:-1.15;14.661186:-17.426148,La Rochelle,Sénégal,étranger,46.166667,-1.15,14.661186,-17.426148,région PASA,PASA region,1,795.0
46.166667:-1.15;46.5:-1.783333,La Rochelle,Les Sables-d'Olonne,pasa,46.166667,-1.15,46.5,-1.783333,région PASA,PASA region,1,20.0
46.166667:-1.15;46.833333:-56.333333,La Rochelle,Saint-Pierre-et-Miquelon,étranger,46.166667,-1.15,46.833333,-56.333333,région PASA,PASA region,4,428.0
46.166667:-1.15;45.816667:-1.116667,La Rochelle,Marennes,pasa,46.166667,-1.15,45.816667,-1.116667,région PASA,PASA region,3,72.0
46.166667:-1.15;44.833333:-0.566667,La Rochelle,Bordeaux,France,46.166667,-1.15,44.833333,-0.566667,région PASA,PASA region,2,1580.0
46.166667:-1.15;45.6755:-0.935826,La Rochelle,Ribérou,pasa,46.166667,-1.15,45.6755,-0.935826,région PASA,PASA region,2,32.0
46.166667:-1.15;46.166667:-1.15,La Rochelle,La Rochelle,pasa,46.166667,-1.15,46.166667,-1.15,région PASA,PASA region,9,250.0
46.312468:-0.995682;44.916667:-0.233333,Marans,Libourne,France,46.312468,-0.995682,44.916667,-0.233333,région PASA,PASA region,1,96.0
45.9:-1.2;44.833333:-0.566667,Le Château-d'Oléron,Bordeaux,France,45.9,-1.2,44.833333,-0.566667,région PASA,PASA region,3,30.0
46.5:-1.783333;46.5:-1.783333,Les Sables-d'Olonne,Les Sables-d'Olonne,pasa,46.5,-1.783333,46.5,-1.783333,région PASA,PASA region,1,20.0
45.9:-1.2;46.166667:-1.15,Le Château-d'Oléron,La Rochelle,pasa,45.9,-1.2,46.166667,-1.15,région PASA,PASA region,1,3.0
46.312468:-0.995682;46.5:-1.783333,Marans,Les Sables-d'Olonne,pasa,46.312468,-0.995682,46.5,-1.783333,région PASA,PASA region,1,20.0
47.216667:-1.55;46.5:-1.783333,Nantes,Les Sables-d'Olonne,pasa,47.216667,-1.55,46.5,-1.783333,France,France,2,40.0
45.943666:-0.97043;45.933333:-1.3,Rochefort,île d'Oléron,pasa,45.943666,-0.97043,45.933333,-1.3,région PASA,PASA region,1,20.0
44.833333:-0.566667;45.933333:-1.3,Bordeaux,île d'Oléron,pasa,44.833333,-0.566667,45.933333,-1.3,France,France,1,10.0
50.95:1.833333;46.166667:-1.15,Calais,La Rochelle,pasa,50.95,1.833333,46.166667,-1.15,France,France,3,180.0
49.5:0.133333;46.166667:-1.15,Le Havre,La Rochelle,pasa,49.5,0.133333,46.166667,-1.15,France,France,1,88.0
49.640322:-1.615534;46.166667:-1.15,Cherbourg,La Rochelle,pasa,49.640322,-1.615534,46.166667,-1.15,France,France,1,160.0
44.833333:-0.566667;46.166667:-1.15,Bordeaux,La Rochelle,pasa,44.833333,-0.566667,46.166667,-1.15,France,France,2,400.0
46.5:-1.783333;46.166667:-1.15,Les Sables-d'Olonne,La Rochelle,pasa,46.5,-1.783333,46.166667,-1.15,région PASA,PASA region,2,40.0
46.5:-1.783333;46.312468:-0.995682,Les Sables-d'Olonne,Marans,pasa,46.5,-1.783333,46.312468,-0.995682,région PASA,PASA region,1,20.0
46.396209:-1.374028;45.943666:-0.97043,Moricq,Rochefort,pasa,46.396209,-1.374028,45.943666,-0.97043,région PASA,PASA region,3,120.0
46.396209:-1.374028;46.2:-1.366667,Moricq,Saint-Martin-de-Ré,pasa,46.396209,-1.374028,46.2,-1.366667,région PASA,PASA region,1,40.0
46.188459:-1.328716;46.396209:-1.374028,La Flotte-en-Ré,Moricq,pasa,46.188459,-1.328716,46.396209,-1.374028,région PASA,PASA region,1,20.0
45.816667:-1.116667;47.75:-3.366667,Marennes,Lorient,France,45.816667,-1.116667,47.75,-3.366667,région PASA,PASA region,1,20.0
46.312468:-0.995682;46.166667:-1.15,Marans,La Rochelle,pasa,46.312468,-0.995682,46.166667,-1.15,région PASA,PASA region,2,40.0
46.312468:-0.995682;45.6755:-0.935826,Marans,Ribérou,pasa,46.312468,-0.995682,45.6755,-0.935826,région PASA,PASA region,1,20.0
45.943666:-0.97043;45.95:-0.9,Rochefort,Tonnay-Charente,pasa,45.943666,-0.97043,45.95,-0.9,région PASA,PASA region,2,52.0
46.2:-1.366667;46.166667:-1.15,Saint-Martin-de-Ré,La Rochelle,pasa,46.2,-1.366667,46.166667,-1.15,région PASA,PASA region,1,32.0
45.964614:-1.243436;46.166667:-1.15,La Perrotine,La Rochelle,pasa,45.964614,-1.243436,46.166667,-1.15,région PASA,PASA region,4,80.0
44.833333:-0.566667;46.833333:-56.333333,Bordeaux,Saint-Pierre-et-Miquelon,étranger,44.833333,-0.566667,46.833333,-56.333333,France,France,1,88.0
50.95:1.833333;49.640322:-1.615534,Calais,Cherbourg,France,50.95,1.833333,49.640322,-1.615534,France,France,1,160.0
51.05:2.366667;44.833333:-0.566667,Dunkerque,Bordeaux,France,51.05,2.366667,44.833333,-0.566667,France,France,2,114.0
44.833333:-0.566667;51.05:2.366667,Bordeaux,Dunkerque,France,44.833333,-0.566667,51.05,2.366667,France,France,3,171.0
46.188459:-1.328716;46.166667:-1.15,La Flotte-en-Ré,La Rochelle,pasa,46.188459,-1.328716,46.166667,-1.15,région PASA,PASA region,1,32.0
46.312468:-0.995682;45.816667:-1.116667,Marans,Marennes,pasa,46.312468,-0.995682,45.816667,-1.116667,région PASA,PASA region,1,20.0
46.166667:-1.15;49.963589:1.147613,La Rochelle,Saint-Valery (indeterminé),France,46.166667,-1.15,49.963589,1.147613,région PASA,PASA region,1,160.0
46.833333:-56.333333;14.745717:-61.172419,Saint-Pierre-et-Miquelon,Saint-Pierre,France,46.833333,-56.333333,14.745717,-61.172419,France,France,1,88.0
