value,product_weight_kg,flow_type,customs_office,product,product_fr,product_en,partner,partner_fr,partner_en
5088790.0,2658811.8855,export,La Rochelle,produits coloniaux,produits coloniaux,colonial products,Indéterminé supposé Europe,Indéterminé supposé Europe,Indetermined supposed Europe
47308.0,2020.1665,export,La Rochelle,autres produits,autres produits,other products,Indéterminé supposé Europe,Indéterminé supposé Europe,Indetermined supposed Europe
14667.45519520001,31.641279,export,Rochefort,eau-de-vie et vins divers,eau-de-vie et vins divers,brandies and diverse wines,Europe,Europe,Europe
243480.8976769,309.51575,export,Rochefort,eau-de-vie et vins divers,eau-de-vie et vins divers,brandies and diverse wines,Grande Bretagne,Grande Bretagne,Great Britain
10320.0,46404.6,export,Rochefort,autres produits,autres produits,other products,Europe,Europe,Europe
610452.2566122402,31.724495,export,Tonnay-Charente,eau-de-vie et vins divers,eau-de-vie et vins divers,brandies and diverse wines,Europe,Europe,Europe
4497615.4951597005,0,export,Tonnay-Charente,eau-de-vie et vins divers,eau-de-vie et vins divers,brandies and diverse wines,Grande Bretagne,Grande Bretagne,Great Britain
50905.56002,203993.25,export,Tonnay-Charente,autres produits,autres produits,other products,Grande Bretagne,Grande Bretagne,Great Britain
2040.48,0,export,Marennes,eau-de-vie et vins divers,eau-de-vie et vins divers,brandies and diverse wines,Grande Bretagne,Grande Bretagne,Great Britain
400509.59439569997,0,export,Marennes,eau-de-vie et vins divers,eau-de-vie et vins divers,brandies and diverse wines,Europe,Europe,Europe
104407.42035966998,5678603.847999999,export,Marennes,sel,sel,salt,Europe,Europe,Europe
30749.62363335,1672438.0299999998,export,Marennes,sel,sel,salt,Grande Bretagne,Grande Bretagne,Great Britain
6171.524725709999,335662.38,export,Marennes,sel,sel,salt,Reste du monde (USA),Reste du monde (USA),Rest of the world (USA)
8000.0,39160.0,export,La Rochelle,autres produits,autres produits,other products,Europe,Europe,Europe
8761.103763699979,0,export,La Rochelle,eau-de-vie et vins divers,eau-de-vie et vins divers,brandies and diverse wines,Europe,Europe,Europe
27684.000288,0,export,Saint-Martin-de-Ré,eau-de-vie et vins divers,eau-de-vie et vins divers,brandies and diverse wines,Grande Bretagne,Grande Bretagne,Great Britain
275975.6369902,0,export,Saint-Martin-de-Ré,eau-de-vie et vins divers,eau-de-vie et vins divers,brandies and diverse wines,Europe,Europe,Europe
27080.64,0,export,Saint-Martin-de-Ré,eau-de-vie et vins divers,eau-de-vie et vins divers,brandies and diverse wines,Reste du monde (USA),Reste du monde (USA),Rest of the world (USA)
28686.0,2407165.3,export,Saint-Martin-de-Ré,sel,sel,salt,Grande Bretagne,Grande Bretagne,Great Britain
107922.0,9056203.0,export,Saint-Martin-de-Ré,sel,sel,salt,Europe,Europe,Europe
20277.0,1701587.6,export,Saint-Martin-de-Ré,sel,sel,salt,Reste du monde (USA),Reste du monde (USA),Rest of the world (USA)
159.8976092440001,0,export,Saint-Martin-de-Ré,autres produits,autres produits,other products,Grande Bretagne,Grande Bretagne,Great Britain
21813.351531080007,0,export,Saint-Martin-de-Ré,autres produits,autres produits,other products,Europe,Europe,Europe
1413233.0,768771.6261069002,export,La Rochelle,autres produits,autres produits,other products,Afrique,Afrique,Africa
97219.0,72370.2194926,export,La Rochelle,autres produits,autres produits,other products,Colonies,Colonies,Colonies
3948.0,2093.5915,export,La Rochelle,produits coloniaux,produits coloniaux,colonial products,Afrique,Afrique,Africa
