port,metrics_type,score
La Rochelle,page rank,0.12948131433822815
La Rochelle,betweenness centrality,0.1134237729118606
Nantes,page rank,0.15459090348203505
Nantes,betweenness centrality,0.21906423122790827
Bordeaux,page rank,0.2255098178741409
Bordeaux,betweenness centrality,0.2850458881251245
Le Havre,page rank,0.28166395625061563
Le Havre,betweenness centrality,0.32013949433304273
