homeport,nb_pointcalls,tonnage,category_1,category_2
Châlon,181,3616,France,France (région PASA)
Taillebourg,86,3300,France,France (région PASA)
Baden,77,870,France,France (hors région PASA)
Saint-Martin-de-Ré,223,4913,France,France (région PASA)
Indéterminé,143,9277,étranger,Indéterminé
Port-d'Envaux,598,20923,France,France (région PASA)
Dieppe,29,2717,France,France (hors région PASA)
Marans,388,7844,France,France (région PASA)
Locmariaquer,175,2077,France,France (hors région PASA)
Saint-Savinien,152,6688,France,France (région PASA)
Loix,57,925,France,France (région PASA)
Rochefort,19,2380,France,France (région PASA)
Morlaix,12,717,France,France (hors région PASA)
La Rochelle,304,14578,France,France (région PASA)
île d'Oléron,495,10570,France,France (région PASA)
Tonnay-Charente,254,10149,France,France (région PASA)
Boulogne-sur-Mer,8,385,France,France (hors région PASA)
Granville,29,3823,France,France (hors région PASA)
Le Conquet,128,6025,France,France (hors région PASA)
Marennes,108,3046,France,France (région PASA)
Nantes,87,6741,France,France (hors région PASA)
Londres,50,5477,étranger,Grande-Bretagne
Plouharnel,25,724,France,France (hors région PASA)
Le Croisic,2,51,France,France (hors région PASA)
Bordeaux,74,3601,France,France (hors région PASA)
Newcastle,15,2861,étranger,Grande-Bretagne
Rouen,34,3125,France,France (hors région PASA)
Dublin,1,1,étranger,Grande-Bretagne
La Couarde,6,16,France,France (région PASA)
Kristiansund ,1,1,étranger,Danemark
Vannes,32,1210,France,France (hors région PASA)
Les Sables-d'Olonne,170,7547,France,France (région PASA)
Saint-Malo,206,19900,France,France (hors région PASA)
Quiberon,151,4119,France,France (hors région PASA)
île d'Yeu,59,1332,France,France (région PASA)
Hambourg,12,1586,étranger,Hambourg
île de Ré,28,673,France,France (région PASA)
Sunderland,5,441,étranger,Grande-Bretagne
Lorient,64,3409,France,France (hors région PASA)
Honfleur,9,1032,France,France (hors région PASA)
Cherbourg,23,2128,France,France (hors région PASA)
Saint-Briac,33,3212,France,France (hors région PASA)
Luçon,1,1,France,France (région PASA)
Noirmoutier,224,6762,France,France (région PASA)
Yarmouth,6,461,étranger,Grande-Bretagne
Plymouth,5,456,étranger,Grande-Bretagne
