port,nb_pointcalls,tonnage,category_1,category_2
pas mentionné,56,946,étranger,Indéterminé
Copenhague ,1,1,étranger,Danemark
Hambourg,7,747,étranger,Hambourg
Stettin,3,272,étranger,Prusse
Saint-Sébastien,3,80,étranger,Espagne
Brême,6,516,étranger,Brême
Indéterminé,20,919,étranger,Indéterminé
Côte d'Or,10,3584,étranger,multi-Etat
Mer Baltique,27,4313,étranger,zone maritime
Königsberg / Kaliningrad,13,2410,étranger,Prusse
Rotterdam,7,743,étranger,Provinces-Unies
Amsterdam,21,3511,étranger,Provinces-Unies
Hull,8,876,étranger,Grande-Bretagne
Zierikzee,2,71,étranger,Provinces-Unies
Teignmouth,3,211,étranger,Grande-Bretagne
Stavanger,12,1058,étranger,Danemark
Poole,2,161,étranger,Grande-Bretagne
Ostende,13,996,étranger,Autriche
Newburyport,4,161,étranger,Etats-Unis d'Amérique
Memel,2,201,étranger,Prusse
Gloucester,3,106,étranger,Etats-Unis d'Amérique
Georgetown,2,101,étranger,Etats-Unis d'Amérique
Frederikshald / Halden,4,305,étranger,Danemark
Saltcoats,1,1,étranger,Grande-Bretagne
Dordrecht ,5,662,étranger,Provinces-Unies
Dartmouth,4,411,étranger,Grande-Bretagne
Cork,3,266,étranger,Grande-Bretagne
Kristiansand ,5,468,étranger,Danemark
Chichester,1,1,étranger,Grande-Bretagne
Londres,45,4901,étranger,Grande-Bretagne
Berwick,1,1,étranger,Grande-Bretagne
Bergue ,17,1102,étranger,Danemark
Lübeck,9,1424,étranger,Lubeck
Guernesey,6,322,étranger,Grande-Bretagne
Riga,2,177,étranger,Russie
Norvège,4,257,étranger,Danemark
Holmestrand,2,127,étranger,Danemark
Fredrikstad ,1,1,étranger,Danemark
Barnstable,1,1,étranger,Etats-Unis d'Amérique
Noordwijk ,1,1,étranger,Provinces-Unies
Liverpool,4,347,étranger,Grande-Bretagne
Elbing / Elblag,1,1,étranger,Prusse
Madère,2,107,étranger,Portugal
Newcastle,6,1219,étranger,Grande-Bretagne
Philadelphie,2,201,étranger,Etats-Unis d'Amérique
Bruges,3,121,étranger,Autriche
Newton,1,1,étranger,Grande-Bretagne
Lemmer,1,1,étranger,Provinces-Unies
Alicante,1,1,étranger,Espagne
Côte d'Afrique [de l'Ouest],1,1,étranger,multi-Etat
Waterford,3,201,étranger,Grande-Bretagne
Moss,1,1,étranger,Danemark
Molde,2,51,étranger,Danemark
Greenock,1,1,étranger,Grande-Bretagne
Grands Bancs de Terre-Neuve,2,201,étranger,zone maritime
Biscaye,1,1,étranger,Espagne
Ilfracombe,1,1,étranger,Grande-Bretagne
Calabar,1,1,étranger,Indéterminé
colonies anglaises [en Amérique],1,1,étranger,Grande-Bretagne
Kristiansund ,1,1,étranger,Danemark
Ribnitz,1,1,étranger,Mecklenbourg
Rhode Island,1,1,étranger,Etats-Unis d'Amérique
Bilbao,5,266,étranger,Espagne
Baltimore,2,244,étranger,Etats-Unis d'Amérique
Bristol,3,204,étranger,Grande-Bretagne
Southampton,1,1,étranger,Grande-Bretagne
Santander,2,53,étranger,Espagne
Lisbonne,1,1,étranger,Portugal
Appledore,1,1,étranger,Grande-Bretagne
Côte d'Angole,2,585,étranger,Portugal
"Espagne, undeterminé",1,1,étranger,Espagne
Penzance,1,1,étranger,Grande-Bretagne
île de Man,1,1,étranger,Grande-Bretagne
Yarmouth,2,71,étranger,Grande-Bretagne
Virginie,2,53,étranger,Etats-Unis d'Amérique
"Terre-Neuve, île de",1,1,étranger,Grande-Bretagne
Portsmouth,1,1,étranger,Grande-Bretagne
Plymouth,2,161,étranger,Grande-Bretagne
Pillau / Baltiïsk,1,1,étranger,Prusse
New York,1,1,étranger,Etats-Unis d'Amérique
Harlingen,4,606,étranger,Provinces-Unies
Galway,1,1,étranger,Grande-Bretagne
Farsund,1,1,étranger,Danemark
Flekkefjord ,1,1,étranger,Danemark
Exeter,1,1,étranger,Grande-Bretagne
Dantzig ,5,1191,étranger,Pologne
Carmarthen,1,1,étranger,Grande-Bretagne
Boston,7,699,étranger,Etats-Unis d'Amérique
Bideford,2,114,étranger,Grande-Bretagne
Angleterre,1,1,étranger,Grande-Bretagne
Dundee,1,1,étranger,Grande-Bretagne
Setúbal ,1,1,étranger,Portugal
Barcelone,1,1,étranger,Espagne
Marblehead,1,1,étranger,Etats-Unis d'Amérique
