region,year,Exports,Imports,Exports_share,Imports_share,product_revolutionempire_imports_herfindahl,product_revolutionempire_exports_herfindahl,product_revolutionempire_total_herfindahl
Bordeaux,1751,33358046.771936003,26737232.5287368,0.12930556347177455,0.12612382834561242,0.165949076107944,0.24577192348598037,0.1555959968590763
France,1751,257978434.0,211991920.0,100,100,,,
La Rochelle,1752,9985011.819495197,9562134.865416702,0.033842597170413116,0.03759125471889178,0.14215050110013702,0.08701456583673509,0.07643845615783912
Bordeaux,1752,66673394.30728,26313651.512674697,0.22597878363247312,0.1034458507978804,0.16394020163404155,0.2236576906244741,0.16433003482979708
France,1752,295042717.0,254371261.0,100,100,,,
La Rochelle,1753,8916524.5428476,8358230.4328522,0.030540955655940956,0.03444338227743486,0.13684129335597947,0.11339970934103208,0.11069181825141468
Bordeaux,1753,96906420.18543598,31241378.852711998,0.33192469413808096,0.1287424130433946,0.29441535110122974,0.22177896885551301,0.19227172095238643
France,1753,291953030.0,242665786.0,100,100,,,
La Rochelle,1754,9769238.900282001,10592659.20208241,0.03277574462398419,0.04273512020409789,0.1840473647861859,0.07969082741142175,0.10647473918720439
Bordeaux,1754,90710855.231784,31255901.093407,0.3043344375183957,0.12609909040135578,0.24949446159420297,0.229044248773949,0.19912508793249795
France,1754,298063065.0,247867776.0,100,100,,,
La Rochelle,1755,,,,,,,
Bordeaux,1755,41867882.34323001,28538401.825005706,0.1589551347993864,0.11266975607675152,0.2662050070361569,0.15881330783827696,0.17509231943412937
France,1755,263394337.0,253292479.0,100,100,,,
La Rochelle,1756,7438430.917131999,7069464.782386901,0.03088971826368512,0.04070800567464711,0.15592942824526826,0.09845614767781347,0.1005622149583339
Bordeaux,1756,32235376.293341003,16705121.138295805,0.13386448068393184,0.09619287838984185,0.22010563771168237,0.21181893689547787,0.18761595045432075
France,1756,240806046.0,173662764.0,100,100,,,
La Rochelle,1757,8566165.1844384,7261098.0246718,0.045326479203920245,0.04935276538690566,0.12123627313821302,0.10643762828716719,0.0828648686071822
Bordeaux,1757,28811921.950710002,11011190.703498898,0.15245363041752366,0.0748416712697968,0.1187117698092157,0.22640394563916216,0.14828438408988512
France,1757,188988100.0,147126467.33668798,100,100,,,
La Rochelle,1758,5403466.491433001,2489366.1333626495,0.03248868262143346,0.019796415528952917,0.1003120461932959,0.17988265798002595,0.1060763129542792
Bordeaux,1758,27077741.853288498,4681610.6637207,0.16280662840629428,0.03723000357468533,0.11284717808591821,0.329927599842878,0.24366808655446903
France,1758,166318424.0,125748327.0,100,100,,,
La Rochelle,1759,3376474.900136,2537916.1850868,0.01788892794726001,0.019336391269140545,0.1273251227948805,0.3172347791123074,0.15021061032895772
Bordeaux,1759,23622724.960020002,8256959.738615398,0.12515574296456852,0.06290980180417077,0.1096024605048481,0.4174492429860932,0.2375004443105263
France,1759,188746632.0,131250767.0,100,100,,,
La Rochelle,1760,3315670.12151,2857492.6452430002,0.01855640232295992,0.024205611465967183,0.1495327222671977,0.36364666300467524,0.1488139609284
Bordeaux,1760,23338916.2418502,8626459.7468098,0.13061803608146724,0.07307411037634591,0.11012914996303268,0.634595016078461,0.34874140051795594
France,1760,178680655.0,118050835.0,100,100,,,
La Rochelle,1761,4389119.237805999,1736264.4544461004,0.024570369663602314,0.01296004785675718,0.14304953804784057,0.4371242856462479,0.2542739785356062
Bordeaux,1761,20348339.598162003,11761993.990466995,0.11391037674731226,0.08779538429010368,0.08215071772046172,0.45922967367404505,0.19917765129607512
France,1761,178634644.0,133970528.0132,100,100,,,
La Rochelle,1762,2494414.287661699,1657889.8391000996,0.012618289527512509,0.011825398342344562,0.14330954789487024,0.5900091934495371,0.23677650172338463
Bordeaux,1762,24766763.509510003,8980650.420544997,0.1252856007794056,0.06405719251764874,0.14686537612459516,0.21327165342147641,0.14268002610191757
France,1762,197682442.0,140197377.80532122,100,100,,,
La Rochelle,1763,,,,,,,
Bordeaux,1763,26624028.96498,15484627.141340595,0.10282418364770063,0.0837811674399325,0.17948291102469963,0.20523898871490553,0.1457032163074888
France,1763,258927696.0,184822289.0,100,100,,,
La Rochelle,1764,,8847346.369732,,0.037983912803667495,0.2363882862538677,,0.2363882862538677
Bordeaux,1764,68010327.43717001,,0.2083669559331133,,,0.21652411043741318,0.21652411043741318
France,1764,326396895.0,232923512.0,100,100,,,
La Rochelle,1765,7400452.749724403,4171057.213945,0.023223890810570816,0.018948822403832628,0.20005771448916998,0.15237311636544618,0.12888283144980905
Bordeaux,1765,60897022.42576002,12208544.585391797,0.1911053076526164,0.055462567711714934,0.12110863569948768,0.2170840710618384,0.17483983639340717
France,1765,318656887.0,220122239.0,100,100,,,
La Rochelle,1766,7982423.124343902,4934124.970829099,0.027122674038731667,0.02326427609964581,0.1774132193115176,0.14060906577136376,0.11434122892435275
Bordeaux,1766,47480425.07093,25701500.5755912,0.16132896895578996,0.12118193379793692,0.23550612717804012,0.25996347338874337,0.18530431467920322
France,1766,294308117.0,212090200.0,100,100,,,
La Rochelle,1767,6169593.251997998,6113870.099753998,0.021496411270273855,0.02569504698010484,0.1393968410334306,0.1220533203952881,0.09972205273573453
Bordeaux,1767,55244685.57198999,28239948.960267004,0.19248634926911493,0.11868535042624152,0.4368620923742254,0.3286529503089418,0.29259867103000187
France,1767,287005732.0,237939635.0,100,100,,,
La Rochelle,1768,6732096.396556401,7401081.635330999,0.022992595180762316,0.03202844958438579,0.12663948290617155,0.11542637481906394,0.10751965817910815
Bordeaux,1768,47644725.97909998,18740052.6653,0.162724333165543,0.0810982585483199,0.22642190750682906,0.27998698430752983,0.22137193759026863
France,1768,292794108.0,231078361.0,100,100,,,
La Rochelle,1769,5720373.92969,4993416.534982,0.02063354256574517,0.01719675184822799,0.09283419403471797,0.09970391439798068,0.0792613519628315
Bordeaux,1769,55931055.75713001,59462169.27179299,0.20174482191137974,0.20478086740024742,0.26670774657904667,0.2132642081675296,0.20674543842634147
France,1769,277236636.0,290369750.0,100,100,,,
La Rochelle,1770,6173795.446944,4675885.081531999,0.020703114638794904,0.013803958453610212,0.10387737821403989,0.09336694866386243,0.08373935623944796
Bordeaux,1770,92728999.42834999,120965562.98960103,0.3109560596887217,0.3571096330876742,0.22205454336916808,0.24664426264965789,0.20175658481357786
France,1770,298206118.0,338735088.0,100,100,,,
La Rochelle,1771,5764636.409549198,5076204.03616,0.016963339791577287,0.015076572025893999,0.08762660060121094,0.09382550412705652,0.07325966122871859
Bordeaux,1771,,93415459.2241961,,0.2774484416491183,0.20184864111944475,,0.20184864111944475
France,1771,339829095.0,336694842.0,100,100,,,
La Rochelle,1772,9353748.1515892,6812748.5467380015,0.029262865561859988,0.02269026280003702,0.11616038302401267,0.07682146933301284,0.06886095041873055
Bordeaux,1772,80126283.34759001,71456679.295775,0.2506722032251487,0.23799070535421774,0.23621636090413742,0.236363562733797,0.22213406493114757
France,1772,319645666.0,300249874.0,100,100,,,
La Rochelle,1773,16429843.944811003,10656918.074280003,0.04923409611310531,0.03219470694671865,0.07871796268441553,0.07403458126909711,0.0530030243734473
Bordeaux,1773,69340605.28091,75613889.1009992,0.20778785461437269,0.2284306760866999,0.18633514240550142,0.24181366753468844,0.1858679321064283
France,1773,333708654.0,331014601.0,100,100,,,
La Rochelle,1774,11579391.954301002,10279879.957661,0.0363071579238176,0.03477600568202252,0.08366394515257827,0.05867873930576074,0.05249604163644727
Bordeaux,1774,63996886.34071001,60394668.09931001,0.2006620959178876,0.20431029638826162,0.22540324166689427,0.22479532900924173,0.2070909267646765
France,1774,318928625.0,295602665.0,100,100,,,
La Rochelle,1775,11657425.345624998,10256685.84147,0.03510818889399639,0.0349985576394661,0.09507709664319751,0.08027593913480288,0.06452089876921026
Bordeaux,1775,75058063.86237001,47402819.730374,0.22604928669662866,0.16175110988569982,0.2627212130599954,0.26038251797204043,0.24777023132983256
France,1775,332042914.0,293060244.0,100,100,,,
La Rochelle,1776,15487598.0836,9773015.49446,0.04690509323849714,0.026347474500198125,0.07919190889907855,0.08571946084145735,0.06075545915930502
Bordeaux,1776,78327750.12823997,65286989.376836,0.2372201553200953,0.1760098803461416,0.3160013434285785,0.2910246791215804,0.28205949413832854
France,1776,330190114.0,370927980.0,100,100,,,
La Rochelle,1777,,,,,,,
Bordeaux,1777,97160572.27924702,120227951.43919,0.2644746640909057,0.3379854168493552,0.44453905695032253,0.2851400568760883,0.35144093964649187
France,1777,367371947.0,355719346.0,100,100,,,
La Rochelle,1778,7462725.24009,8974251.592489999,0.026981744979259176,0.025359922542472615,0.211339520789403,0.09859875834526495,0.1377323961843981
Bordeaux,1778,68160324.2671,132324430.647864,0.2464360441945366,0.37392948895201816,0.5991259474259976,0.28116871628373036,0.4651948585742786
France,1778,276584233.0,353875355.0,100,100,,,
La Rochelle,1779,4038822.8957200004,4113823.0705180005,0.017112823537888424,0.019520101672682266,0.13172032503607922,0.13967971567516455,0.0876635563809712
Bordeaux,1779,,,,,,,
France,1779,236011485.0,210748035.0,100,100,,,
La Rochelle,1780,3997308.0806329995,3697571.190271,0.016732800775234494,0.01683415355067098,0.1695922891424381,0.2178028337188734,0.14085625592145035
Bordeaux,1780,,32531869.682277,,0.14810978919427678,0.2004924974455151,,0.2004924974455151
France,1780,238890556.0,219646992.0,100,100,,,
La Rochelle,1781,,,,,,,
Bordeaux,1781,,,,,,,
France,1781,267865771.0,269474632.0,100,100,,,
La Rochelle,1782,,,,,,,
Bordeaux,1782,,,,,,,
France,1782,346350000.0,430798000.0,100,100,,,
La Rochelle,1787,,,,,,,
Bordeaux,1787,,,,,,,
France,1787,445295330.0,630577112.0,100,100,,,
La Rochelle,1788,,,,,,,
Bordeaux,1788,,,,,,,
France,1788,466385300.0,537559492.0,100,100,,,
La Rochelle,1789,15750568.726030003,13038149.539512003,0.03570359318421483,0.02048335889850501,0.13097878299924035,0.2372618087299632,0.1383571387058215
Bordeaux,1789,132591046.217868,119587955.98857002,0.30055910084114174,0.1878765859395247,0.2054638461015973,0.15315697751768137,0.1692670936042685
France,1789,441148000.0,636524000.0,100,100,,,
La Rochelle,1792,,,,,,,
Bordeaux,1792,,,,,,,
France,1792,802696000.0,932612000.0,100,100,,,
La Rochelle,1797,,,,,,,
Bordeaux,1797,,,,,,,
France,1797,225561000.0,369218600.0,100,100,,,
La Rochelle,1798,,,,,,,
Bordeaux,1798,,,,,,,
France,1798,253863000.0,309289000.0,100,100,,,
La Rochelle,1799,,,,,,,
Bordeaux,1799,,,,,,,
France,1799,300499877.0,279114600.0,100,100,,,
La Rochelle,1800,,,,,,,
Bordeaux,1800,,,,,,,
France,1800,271575604.0,350931424.0,100,100,,,
La Rochelle,1801,,,,,,,
Bordeaux,1801,,,,,,,
France,1801,305143000.0,410125177.0,100,100,,,
La Rochelle,1802,,,,,,,
Bordeaux,1802,,,,,,,
France,1802,338773402.0,492501612.0,100,100,,,
La Rochelle,1803,,,,,,,
Bordeaux,1803,,,,,,,
France,1803,373228121.0,499896777.0,100,100,,,
La Rochelle,1804,,,,,,,
Bordeaux,1804,,,,,,,
France,1804,410986834.0,509907765.0,100,100,,,
La Rochelle,1805,,,,,,,
Bordeaux,1805,,,,,,,
France,1805,864490753.0,1079442654.0,100,100,,,
La Rochelle,1807,,,,,,,
Bordeaux,1807,,,,,,,
France,1807,383742880.0,412655067.0,100,100,,,
La Rochelle,1808,,,,,,,
Bordeaux,1808,,,,,,,
France,1808,338235297.0,437263498.0,100,100,,,
La Rochelle,1809,,,,,,,
Bordeaux,1809,,,,,,,
France,1809,349137500.0,357865800.0,100,100,,,
La Rochelle,1810,,,,,,,
Bordeaux,1810,,,,,,,
France,1810,376099500.0,384948100.0,100,100,,,
La Rochelle,1811,,,,,,,
Bordeaux,1811,,,,,,,
France,1811,327869400.0,298463800.0,100,100,,,
La Rochelle,1812,,,,,,,
Bordeaux,1812,,,,,,,
France,1812,418523200.0,307676100.0,100,100,,,
La Rochelle,1813,,,,,,,
Bordeaux,1813,,,,,,,
France,1813,354239500.0,251061900.0,100,100,,,
La Rochelle,1814,,,,,,,
Bordeaux,1814,,,,,,,
France,1814,346031900.0,238953600.0,100,100,,,
La Rochelle,1815,,,,,,,
Bordeaux,1815,,,,,,,
France,1815,439303300.0,333677809.0,100,100,,,
La Rochelle,1816,,,,,,,
Bordeaux,1816,,,,,,,
France,1816,581278210.0,382854300.0,100,100,,,
La Rochelle,1817,,,,,,,
Bordeaux,1817,,,,,,,
France,1817,430660900.0,528785200.0,100,100,,,
La Rochelle,1818,,,,,,,
Bordeaux,1818,,,,,,,
France,1818,587659400.0,561828700.0,100,100,,,
La Rochelle,1819,,,,,,,
Bordeaux,1819,,,,,,,
France,1819,463406120.0,469708300.0,100,100,,,
La Rochelle,1820,,,,,,,
Bordeaux,1820,,,,,,,
France,1820,533165870.0,559213500.0,100,100,,,
La Rochelle,1821,,,,,,,
Bordeaux,1821,,,,,,,
France,1821,489183210.0,316296696.0,100,100,,,
