region,year,Exports,Imports,Exports_share,Imports_share,product_revolutionempire_imports_herfindahl,product_revolutionempire_exports_herfindahl,product_revolutionempire_total_herfindahl
La Rochelle,1716,,,,,,,
Bordeaux,1716,,,,,,,
France,1716,49165928.0,38591502.0,100,100,,,
La Rochelle,1717,,,,,,,
Bordeaux,1717,,,,,,,
France,1717,58965110.0,55251984.0,100,100,,,
La Rochelle,1718,4388812.0933026,3147187.8799925,0.05446231349709111,0.056468055234850385,0.374653370833134,0.12723397297411432,0.14832721768242416
Bordeaux,1718,14262815.553064099,,0.17699229665985292,,,0.2757298755378233,0.2757298755378233
France,1718,80584386.0,55733952.0,100,100,,,
La Rochelle,1719,6952335.50239,4056697.3781879996,0.07374295805590105,0.05075221441271241,0.21996624965746647,0.1551528720691243,0.13176648590158088
Bordeaux,1719,,9791678.492347818,,0.12250097061121006,0.1370057963782878,,0.1370057963782878
France,1719,94277958.0,79931436.0,100,100,,,
La Rochelle,1720,9132197.638919998,7899942.1301,0.05333192635707148,0.08592861548820907,0.26888432189867134,0.18045578325178396,0.15192161121896627
Bordeaux,1720,15206806.773850199,10936540.6247041,0.08880757196195622,0.11895806053195489,0.18922797827899848,0.2829530331119665,0.1494927357695908
France,1720,171233223.0,91936104.0,100,100,,,
La Rochelle,1721,7475036.699678,5219388.528481,0.08923800867821347,0.08324796007408278,0.18471983558278918,0.19922121087961758,0.1441999030216491
Bordeaux,1721,15399115.407692,9077154.413111199,0.18383674215908863,0.14477837471679536,0.13019794871950227,0.31811931188050663,0.15517219371386606
France,1721,83765167.0,62696894.0,100,100,,,
La Rochelle,1722,7226748.837400998,9453394.0445443,0.06574521224033535,0.1110207010689616,0.27868454087998246,0.17197879915012432,0.198555226013835
Bordeaux,1722,,,,,,,
France,1722,109920534.0,85149832.0,100,100,,,
La Rochelle,1723,7782610.050921999,7982713.9051537,0.04677465221560205,0.07165507546299114,0.20981469070421932,0.1328185154016462,0.12793515287712254
Bordeaux,1723,26514466.769589998,14668052.341669997,0.1593559170657386,0.13166454540715883,0.1265980072174401,0.49588927959869794,0.2301265357482091
France,1723,166385204.0,111404724.0,100,100,,,
La Rochelle,1724,7304637.25233,9191111.26025,0.06966685033365831,0.07607585052263792,0.2520528648507345,0.2106476031766239,0.16705698144920544
Bordeaux,1724,21206812.261003997,17797117.3848633,0.20225669869781657,0.14730872073763512,0.07320310994046596,0.5193765808473498,0.17459750176141556
France,1724,104850976.0,120815097.0,100,100,,,
La Rochelle,1725,5701942.749445998,5593060.8887765,0.05016020592955887,0.06464403603859996,0.1794085174810189,0.2765871025803854,0.1539991752302145
Bordeaux,1725,19300528.330197006,10938507.404415997,0.1697874773797105,0.12642617002051673,0.13828000347933736,0.4864230697930441,0.22472802486887053
France,1725,113674628.0,86520911.0,100,100,,,
La Rochelle,1726,4390767.101551001,3150019.3078657,0.03995596240419525,0.03856180544395771,0.1311537090471367,0.1286387167044228,0.09584216034696497
Bordeaux,1726,13404630.620731,8896837.268700998,0.12198208302482223,0.10891301744263054,0.15157606176976746,0.43271659216610875,0.2001467079355116
France,1726,109890160.0,81687547.34380001,100,100,,,
La Rochelle,1727,6973375.61219,6460560.386359399,0.0623990118578939,0.0675846946242744,0.16323425504101405,0.14740069198596753,0.10129117288588994
Bordeaux,1727,,,,,,,
France,1727,111754584.0,95592063.0,100,100,,,
La Rochelle,1728,7693141.502045999,6381780.3628077,0.06118633096616656,0.06647979558027796,0.1945368961128201,0.1437433518303468,0.1063470131953024
Bordeaux,1728,12797864.4760298,9850310.9926701,0.10178603516941044,0.10261190827112228,0.17385804104065739,0.4581150901123778,0.1980067016608289
France,1728,125733009.0,95995788.0,100,100,,,
La Rochelle,1729,6794519.333377998,5067529.146514,0.05349186141399941,0.05384205271556609,0.17700133367432752,0.12600543061692726,0.09717071453335806
Bordeaux,1729,11980561.680046398,8232568.012458,0.09432051240220687,0.0874703130649319,0.26927984121104775,0.3481587293914507,0.2031372923396775
France,1729,127019684.0,94118424.0,100,100,,,
La Rochelle,1730,6969422.709813,6106796.404258,0.05878702032144621,0.06000939766762904,0.16267517632099773,0.1083908253139042,0.09440914093413229
Bordeaux,1730,11953634.735267999,12221406.797116002,0.10082880567825397,0.12009558072619415,0.16028614809004968,0.32428578061181107,0.1489731189280273
France,1730,118553767.0,101764001.0,100,100,,,
La Rochelle,1731,6428419.43752,5353240.935745999,0.05004231629678015,0.05879119064354243,0.16439173143689553,0.10807115311261832,0.09471562351908337
Bordeaux,1731,3278948.652694,9654827.275619999,0.025525121251627068,0.1060327375144284,0.19162477832995925,0.22213564640151418,0.12528313387543083
France,1731,128459670.0,91055154.3037,100,100,,,
La Rochelle,1732,7812545.150964999,6179041.9673562,0.060683357306312045,0.055164007644061853,0.15887150032143715,0.1034508169801702,0.10278135439827775
Bordeaux,1732,9820891.6051,10587350.2926008,0.0762830374510195,0.0945196157522267,0.1622731881511365,0.31166131309647843,0.14886193413810236
France,1732,128742797.0,112012202.0,100,100,,,
La Rochelle,1733,6770122.239939,4642898.1995604,0.0542214613089446,0.04556011819396124,0.15681371818101325,0.10272439393837596,0.08548915971285809
Bordeaux,1733,10180949.501023998,10212315.314780999,0.08153855128368633,0.10021203842450735,0.24488926001379857,0.2852141273258788,0.17533012711707313
France,1733,124860564.0,101907071.0,100,100,,,
La Rochelle,1734,7920905.838767999,6258198.6080370005,0.06749832452670124,0.06122061470039134,0.17573877599131865,0.13819621239980748,0.1262147031629582
Bordeaux,1734,14998338.571300296,9705262.971405402,0.127808958325457,0.0949414044123402,0.1921986245149704,0.40842578664491885,0.20191804591143162
France,1734,117349666.0,102223714.0,100,100,,,
La Rochelle,1735,8840366.137741998,6014957.936599,0.06409049918320983,0.0557324045392809,0.16986299517327846,0.12453971106689352,0.12047012879101378
Bordeaux,1735,10647136.19283,9054886.501451,0.07718914158507785,0.08389927292517069,0.2310202595417025,0.26229565396853,0.16024488417314192
France,1735,137935673.0,107925685.0,100,100,,,
La Rochelle,1736,7506131.064845,6826759.028872,0.053428387780887675,0.05513370386131182,0.16624702571007852,0.11381241818139841,0.12005758346942282
Bordeaux,1736,13543459.971921999,11029223.268512,0.09640189133704141,0.08907329626469983,0.19526000436698385,0.21670069689009644,0.14487379962657299
France,1736,140489567.0,123821883.0,100,100,,,
La Rochelle,1737,6706919.896263002,6236667.9075195,0.05198996664806521,0.05187447856610325,0.19778063545007774,0.13491620974955845,0.1433226777651368
Bordeaux,1737,14022030.62369,12091027.147009999,0.1086944403302003,0.10056904389979042,0.17889019980176663,0.2905562783084404,0.15796754001287114
France,1737,129004120.0,120226132.0,100,100,,,
La Rochelle,1738,8103241.922407099,7337047.697323,0.054018628826990926,0.05328744772341082,0.16408623102406011,0.10676198841882471,0.11475049204702328
Bordeaux,1738,21315976.895542003,14163970.430922,0.14209866310679667,0.10286996419132938,0.19255516485747212,0.18227912250232695,0.15009503500304286
France,1738,150008286.0,137688105.0,100,100,,,
La Rochelle,1739,7761203.165749999,8707137.3926794,0.04688051595069762,0.051031947292346336,0.16331873738876257,0.1277555958239231,0.1338287823786873
Bordeaux,1739,19023917.604733996,12525634.940740999,0.11491144525750938,0.07341190488581073,0.21433004451797774,0.19039181848358194,0.1633759620568966
France,1739,165552853.0,170621304.0,100,100,,,
La Rochelle,1740,9816831.928302003,9775962.3007584,0.04701164065074459,0.05567822588963423,0.19590873477836743,0.13391185655164747,0.14752234214789545
Bordeaux,1740,18999669.905062,15215824.048530499,0.09098715966445575,0.08666053145533169,0.23007717816471332,0.1684490975834745,0.16353981069311294
France,1740,208817046.0,175579630.0,100,100,,,
La Rochelle,1741,9681607.2046798,7074108.802884401,0.04435955624330278,0.037372298302853046,0.16483051288854847,0.09606960900589119,0.10756016728875156
Bordeaux,1741,,16893245.108887002,,0.08924649211715764,0.1786794778614725,,0.1786794778614725
France,1741,218253022.0,189287497.0,100,100,,,
La Rochelle,1742,,,,,,,
Bordeaux,1742,33456233.202000003,19306091.300283,0.15804714761655642,0.10978120929249018,0.1757931720526229,0.2090705059197501,0.1518989780845749
France,1742,211685144.0,175859707.0,100,100,,,
La Rochelle,1743,,,,,,,
Bordeaux,1743,39029339.168223,22053274.70407,0.17562869361472783,0.11593714628982228,0.23381006753514763,0.15156845535288238,0.1491402485999729
France,1743,222226439.0,190217505.0,100,100,,,
La Rochelle,1744,5574172.0019458085,5592241.235448001,0.0333797457685969,0.03940135351090689,0.21314494648553228,0.18660690290293663,0.13921700403791878
Bordeaux,1744,27751601.900419995,18768215.955740005,0.16618457697106703,0.13223555288596445,0.263972276519559,0.17772831290907082,0.18066927258767465
France,1744,166992644.0,141930181.0,100,100,,,
La Rochelle,1745,,,,,,,
Bordeaux,1745,20506020.3259,17239608.732250005,0.11137084395825121,0.12054055367301839,0.23356624833286535,0.19622674320906805,0.16164308746414188
France,1745,184123776.0,143019160.0,100,100,,,
La Rochelle,1746,11967682.338781,9353646.060853,0.06769249388126024,0.07657533233022183,0.3073821286675667,0.09558423257670062,0.14834083998106576
Bordeaux,1746,23889602.03478,11962451.520483015,0.13512614170287263,0.09793279483803963,0.1342111879874761,0.18029780814069482,0.13103389947162097
France,1746,176794821.0,122149598.0,100,100,,,
La Rochelle,1747,36526428.368988,11180400.715011,0.20005574049171837,0.083297207866737,0.27093082857271794,0.08935679987548091,0.08678639396918936
Bordeaux,1747,20968867.910236005,20593033.454554,0.11484677216940607,0.15342403479041725,0.28736876912126397,0.2698661810116185,0.25818059675433047
France,1747,182581256.0,134222995.0,100,100,,,
La Rochelle,1748,14841840.051492002,8188966.0841949,0.0825036213931939,0.06017129384310428,0.20572797992805264,0.14400421261478785,0.10833894707782686
Bordeaux,1748,19944567.177231994,12264367.558767295,0.11086893629985277,0.0901167322701124,0.08130032764579727,0.21937880659061204,0.12997141370572302
France,1748,179893195.0,136094233.0,100,100,,,
La Rochelle,1749,12655644.479925197,10665812.878848601,0.049934569238086306,0.04960659516625341,0.1683942783977162,0.14011965993763378,0.13370650948844193
Bordeaux,1749,37816378.23485001,29675317.545961,0.14920967164470628,0.13801962219418007,0.17830364076165134,0.23822314929933888,0.16680103682728564
France,1749,253444551.0,215007961.0,100,100,,,
La Rochelle,1750,9704932.314253004,11434237.193970403,0.038634234244522975,0.0538497234497791,0.20110571473315247,0.10246861503804677,0.13017365880049878
Bordeaux,1750,33706744.51225,25152870.00595,0.13418272492164102,0.11845784470020476,0.22992026037046934,0.2881201645127656,0.2011065112359523
France,1750,251200328.0,212336043.0,100,100,,,
La Rochelle,1751,11717272.144738004,8930031.708480101,0.04541958009070635,0.042124396573605734,0.13496576034155486,0.10505999349852192,0.1054531452650656
