origin,type,value
Angoumois,eau-de-vie double,5358703.10464404
Angoumois,eau-de-vie simple,2398110.9019897007
Angoumois,eau-de-vie double,2960592.2026543403
Saintonge,eau-de-vie double,97290.72034559998
Saintonge,eau-de-vie simple,91381.31998559998
Saintonge,eau-de-vie double,5909.40036
Aunis,eau-de-vie double,521640.7305506
Aunis,eau-de-vie simple,521640.7305506
Aunis,eau-de-vie double,0
Guyenne,eau-de-vie double,3906.3518472
Guyenne,eau-de-vie simple,3906.3518472
Guyenne,eau-de-vie double,0
Languedoc,eau-de-vie double,21372.48
Languedoc,eau-de-vie simple,21372.48
Languedoc,eau-de-vie double,0
