"pointcall","ferme_bureau","tonnage","pointcall","pointcall_province","substate_1789_fr","state_1789_fr","partner_balance_supp_1789","destination_radar"
Noirmoutier,Sables d'Olonne,150,Konigsberg,,,Prusse,Etranger,Europe
Marennes,Marennes,190,Lubeck,,,Lubeck,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,75,Bergen,,Norvège,Danemark,Etranger,Europe
La Rochelle,La Rochelle,90,Bremen,,,Brême,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,70,Bergen,,Norvège,Danemark,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,260,Konigsberg,,,Prusse,Etranger,Europe
Soubise,Marennes,85,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,76,Bergen,,Norvège,Danemark,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,120,Christiansand,,Norvège,Danemark,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,200,Baltique,,,zone maritime,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,150,Amsterdam,,Hollande,Provinces-Unies,Etranger,Europe
La Flotte en Ré,Saint-Martin île de Ré,200,Alicant,,,Espagne,Etranger,Europe
La Rochelle,La Rochelle,100,Noordwyck,,Hollande,Provinces-Unies,Etranger,Europe
Noirmoutier,Sables d'Olonne,150,Baltique,,,zone maritime,Etranger,Europe
La Flotte en Ré,Saint-Martin île de Ré,115,Bremen,,,Brême,Etranger,Europe
Noirmoutier,Sables d'Olonne,223,Baltique,,,zone maritime,Etranger,Europe
La Rochelle,La Rochelle,75,Ostende,,Pays-Bas autrichiens,Autriche,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,440,Dantzick,,,Pologne,Etranger,Europe
La Rochelle,La Rochelle,220,Amsterdam,,Hollande,Provinces-Unies,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,150,Reibnits,,,Mecklenbourg,Etranger,Europe
Marennes,Marennes,213,Doort,,Hollande,Provinces-Unies,Etranger,Europe
Marennes,Marennes,81,Ostende,,Pays-Bas autrichiens,Autriche,Etranger,Europe
Marennes,Marennes,214,Pilau,,,Prusse,Etranger,Europe
Marennes,Marennes,217,Rotterdam,,Hollande,Provinces-Unies,Etranger,Europe
Marennes,Marennes,253,Doort,,Hollande,Provinces-Unies,Etranger,Europe
Marennes,Marennes,194,Lubeck,,,Lubeck,Etranger,Europe
Marennes,Marennes,195,Lubeck,,,Lubeck,Etranger,Europe
Marennes,Marennes,173,Lubeck,,,Lubeck,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,60,Bergen,,Norvège,Danemark,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,45,Bisquai [Pays Basque],,,Espagne,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,186,Hambourg,,,Hambourg,Etranger,Europe
Noirmoutier,Sables d'Olonne,180,Baltique,,,zone maritime,Etranger,Europe
La Rochelle,La Rochelle,100,Hambourg,,,Hambourg,Etranger,Europe
La Rochelle,La Rochelle,150,Stettin,,,Prusse,Etranger,Europe
Marennes,Marennes,89,Doort,,Hollande,Provinces-Unies,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,200,Baltique,,,zone maritime,Etranger,Europe
Marennes,Marennes,95,Rotterdam,,Hollande,Provinces-Unies,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,152,Amsterdam,,Hollande,Provinces-Unies,Etranger,Europe
Marennes,Marennes,160,Lubeck,,,Lubeck,Etranger,Europe
La Rochelle,La Rochelle,200,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
La Rochelle,La Rochelle,50,Ostende,,Pays-Bas autrichiens,Autriche,Etranger,Europe
Rochefort,Rochefort,100,Cabicorp en Espagne [Espagne,,,Espagne,Etranger,Europe
La Rochelle,La Rochelle,120,Bremen,,,Brême,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,108,Santander,,,Espagne,Etranger,Europe
La Rochelle,La Rochelle,120,Hambourg,,,Hambourg,Etranger,Europe
Charente,Charente,118,Ostende,,Pays-Bas autrichiens,Autriche,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,180,Lemmer,,Frise,Provinces-Unies,Etranger,Europe
Noirmoutier,Sables d'Olonne,208,Baltique,,,zone maritime,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,45,Fahrsund,,Norvège,Danemark,Etranger,Europe
Noirmoutier,Sables d'Olonne,124,Baltique,,,zone maritime,Etranger,Europe
Marennes,Marennes,189,Konigsberg,,,Prusse,Etranger,Europe
Noirmoutier,Sables d'Olonne,300,Norvège,,Norvège,Danemark,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,150,Hambourg,,,Hambourg,Etranger,Europe
Noirmoutier,Sables d'Olonne,90,Baltique,,,zone maritime,Etranger,Europe
La Rochelle,La Rochelle,584,Côte d' Angole,,colonies portugaises d'Afrique,Portugal,Etranger,Europe
Marennes,Marennes,181,Lubeck,,,Lubeck,Etranger,Europe
Marennes,Marennes,152,Rotterdam,,Hollande,Provinces-Unies,Etranger,Europe
Marennes,Marennes,99,Rotterdam,,Hollande,Provinces-Unies,Etranger,Europe
Marennes,Marennes,134,Rotterdam,,Hollande,Provinces-Unies,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,135,Christiansand,,Norvège,Danemark,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,176,Riga,,,Russie,Etranger,Europe
Noirmoutier,Sables d'Olonne,200,Baltique,,,zone maritime,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,60,Bergen,,Norvège,Danemark,Etranger,Europe
Rochefort,Rochefort,60,Amsterdam,,Hollande,Provinces-Unies,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,112,Christiansand,,Norvège,Danemark,Etranger,Europe
Marennes,Marennes,132,Konigsberg,,,Prusse,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,110,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,174,Lubeck,,,Lubeck,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,100,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Marennes,Marennes,210,Riga,,,Russie,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,120,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,100,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,120,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Rochefort,Rochefort,630,Barcelonne,,,Espagne,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,116,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Marennes,Marennes,174,Lubeck,,,Lubeck,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,130,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Marennes,Marennes,121,Stettin,,,Prusse,Etranger,Europe
Charente,Charente,44,Rotterdam,,Hollande,Provinces-Unies,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,130,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,65,Baltique,,,zone maritime,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,100,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,100,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,100,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,120,Frédérickshall,,Norvège,Danemark,Etranger,Europe
Noirmoutier,Sables d'Olonne,200,Konigsberg,,,Prusse,Etranger,Europe
Noirmoutier,Sables d'Olonne,42,Saint Sebastien,,,Espagne,Etranger,Europe
Noirmoutier,Sables d'Olonne,144,Baltique,,,zone maritime,Etranger,Europe
Marennes,Marennes,,Baltique,,,zone maritime,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,60,Lisbonne,,,Portugal,Etranger,Europe
Noirmoutier,Sables d'Olonne,100,Konigsberg,,,Prusse,Etranger,Europe
La Flotte en Ré,Saint-Martin île de Ré,100,Norvège,,Norvège,Danemark,Etranger,Europe
Marennes,Marennes,91,Ostende,,Pays-Bas autrichiens,Autriche,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,340,Baltique,,,zone maritime,Etranger,Europe
La Rochelle,La Rochelle,90,Ostende,,Pays-Bas autrichiens,Autriche,Etranger,Europe
Marennes,Marennes,156,Lubeck,,,Lubeck,Etranger,Europe
La Rochelle,La Rochelle,80,Ostende,,Pays-Bas autrichiens,Autriche,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,126,Holmestrand,,Norvège,Danemark,Etranger,Europe
Noirmoutier,Sables d'Olonne,120,Baltique,,,zone maritime,Etranger,Europe
La Rochelle,La Rochelle,75,Ostende,,Pays-Bas autrichiens,Autriche,Etranger,Europe
Noirmoutier,Sables d'Olonne,200,Baltique,,,zone maritime,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,450,Memel,,,Prusse,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,290,Konigsberg,,,Prusse,Etranger,Europe
La Rochelle,La Rochelle,100,Stettin,,,Prusse,Etranger,Europe
Noirmoutier,Sables d'Olonne,90,Bergen,,Norvège,Danemark,Etranger,Europe
La Rochelle,La Rochelle,80,Bruges,,Pays-Bas autrichiens,Autriche,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,300,Amsterdam,,Hollande,Provinces-Unies,Etranger,Europe
Marennes,Marennes,70,Saint Sebastien,,,Espagne,Etranger,Europe
La Flotte en Ré,Saint-Martin île de Ré,100,Christiansand,,Norvège,Danemark,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,50,Bergen,,Norvège,Danemark,Etranger,Europe
Noirmoutier,Sables d'Olonne,180,Baltique,,,zone maritime,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,6,Norvège,,Norvège,Danemark,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,100,Amsterdam,,Hollande,Provinces-Unies,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,60,Amsterdam,,Hollande,Provinces-Unies,Etranger,Europe
Marennes,Marennes,42,Bilbao,,,Espagne,Etranger,Europe
Marennes,Marennes,180,Amsterdam,,Hollande,Provinces-Unies,Etranger,Europe
La Rochelle,La Rochelle,100,Hambourg,,,Hambourg,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,120,Bergen,,Norvège,Danemark,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,35,Bergen,,Norvège,Danemark,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,70,Bergen,,Norvège,Danemark,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,150,Bergen,,Norvège,Danemark,Etranger,Europe
Noirmoutier,Sables d'Olonne,200,Baltique,,,zone maritime,Etranger,Europe
Noirmoutier,Sables d'Olonne,190,Baltique,,,zone maritime,Etranger,Europe
Noirmoutier,Sables d'Olonne,70,Zierikzee,,Zélande,Provinces-Unies,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,50,Christianson (Norvege),,Norvège,Danemark,Etranger,Europe
Noirmoutier,Sables d'Olonne,190,Konigsberg,,,Prusse,Etranger,Europe
La Rochelle,La Rochelle,80,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
La Rochelle,La Rochelle,60,Amsterdam,,Hollande,Provinces-Unies,Etranger,Europe
Marennes,Marennes,62,Ostende,,Pays-Bas autrichiens,Autriche,Etranger,Europe
Rochefort,Rochefort,415,Setubal,,,Portugal,Etranger,Europe
Rochefort,Rochefort,106,Madère,,îles atlantiques portugaises,Portugal,Etranger,Europe
Marennes,Marennes,237,Zierikzee,,Zélande,Provinces-Unies,Etranger,Europe
Marennes,Marennes,188,Harlingen,,Frise,Provinces-Unies,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,220,Harlingen,,Frise,Provinces-Unies,Etranger,Europe
Noirmoutier,Sables d'Olonne,130,Konigsberg,,,Prusse,Etranger,Europe
La Rochelle,La Rochelle,120,Bremen,,,Brême,Etranger,Europe
La Rochelle,La Rochelle,150,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,90,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,70,Fleckfjord,,Norvège,Danemark,Etranger,Europe
La Rochelle,La Rochelle,40,Bruges,,Pays-Bas autrichiens,Autriche,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,150,Amsterdam,,Hollande,Provinces-Unies,Etranger,Europe
Noirmoutier,Sables d'Olonne,195,Baltique,,,zone maritime,Etranger,Europe
Charente,Charente,44,Ostende,,Pays-Bas autrichiens,Autriche,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,52,Santander,,,Espagne,Etranger,Europe
Noirmoutier,Sables d'Olonne,140,Baltique,,,zone maritime,Etranger,Europe
Charente,Charente,47,Madère,,îles atlantiques portugaises,Portugal,Etranger,Europe
Noirmoutier,Sables d'Olonne,300,Dantzick,,,Pologne,Etranger,Europe
Marennes,Marennes,229,Harlingen,,Frise,Provinces-Unies,Etranger,Europe
La Flotte en Ré,Saint-Martin île de Ré,150,Stavanger,,Norvège,Danemark,Etranger,Europe
La Flotte en Ré,Saint-Martin île de Ré,100,Stavanger,,Norvège,Danemark,Etranger,Europe
Charente,Charente,80,Ostende,,Pays-Bas autrichiens,Autriche,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,70,Stavanger,,Norvège,Danemark,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,200,Stavanger,,Norvège,Danemark,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,70,Stavanger,,Norvège,Danemark,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,14,Bergen,,Norvège,Danemark,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,45,Stavanger,,Norvège,Danemark,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,130,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,110,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Marennes,Marennes,172,Amsterdam,,Hollande,Provinces-Unies,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,126,Holmestrand,,Norvège,Danemark,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,70,Stavanger,,Norvège,Danemark,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,90,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,80,Stavanger,,Norvège,Danemark,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,60,Bergen,,Norvège,Danemark,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,300,Amsterdam,,Hollande,Provinces-Unies,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,116,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,130,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,100,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Noirmoutier,Sables d'Olonne,170,Baltique,,,zone maritime,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,117,Stavanger,,Norvège,Danemark,Etranger,Europe
La Rochelle,La Rochelle,60,Amsterdam,,Hollande,Provinces-Unies,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,120,Frédérickstad,,Norvège,Danemark,Etranger,Europe
Charente,Charente,80,Ostende,,Pays-Bas autrichiens,Autriche,Etranger,Europe
Marennes,Marennes,175,Konigsberg,,,Prusse,Etranger,Europe
La Rochelle,La Rochelle,22,Bruges,,Pays-Bas autrichiens,Autriche,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,130,Moss,,Norvège,Danemark,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,80,Stavanger,,Norvège,Danemark,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,230,Stavanger,,Norvège,Danemark,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,105,Molde,,Norvège,Danemark,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,50,Molde,,Norvège,Danemark,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,130,Baltique,,,zone maritime,Etranger,Europe
Saint Gilles sur Vie,Sables d'Olonne,37,Saint Sebastien,,,Espagne,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,160,Dantzick,,,Pologne,Etranger,Europe
La Rochelle,La Rochelle,110,Amsterdam,,Hollande,Provinces-Unies,Etranger,Europe
La Rochelle,La Rochelle,150,Norvège,,Norvège,Danemark,Etranger,Europe
Marennes,Marennes,96,Rotterdam,,Hollande,Provinces-Unies,Etranger,Europe
La Rochelle,La Rochelle,90,Hambourg,,,Hambourg,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,480,Dantzick,,,Pologne,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,70,Frédérickshall,,Norvège,Danemark,Etranger,Europe
La Flotte en Ré,Saint-Martin île de Ré,150,Christiansand,,Norvège,Danemark,Etranger,Europe
Charente,Charente,160,Ostende,,Pays-Bas autrichiens,Autriche,Etranger,Europe
La Rochelle,La Rochelle,130,Bremen,,,Brême,Etranger,Europe
La Rochelle,La Rochelle,120,Ebbin en Pologne [Elbing],,,Prusse,Etranger,Europe
La Rochelle,La Rochelle,60,Bremen,,,Brême,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,120,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,100,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,120,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Noirmoutier,Sables d'Olonne,148,Baltique,,,zone maritime,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,120,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,140,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,240,Baltique,,,zone maritime,Etranger,Europe
La Rochelle,La Rochelle,120,Hambourg,,,Hambourg,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,100,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,75,Baltique,,,zone maritime,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,90,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Marennes,Marennes,188,Harlingen,,Frise,Provinces-Unies,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,110,Dantzick,,,Pologne,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,114,Frédérickshall,,Norvège,Danemark,Etranger,Europe
Marennes,Marennes,210,Amsterdam,,Hollande,Provinces-Unies,Etranger,Europe
Marennes,Marennes,252,Doort,,Hollande,Provinces-Unies,Etranger,Europe
Marennes,Marennes,35,Bilbao,,,Espagne,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,70,Bergen,,Norvège,Danemark,Etranger,Europe
Marennes,Marennes,236,Konigsberg,,,Prusse,Etranger,Europe
Rochefort,Rochefort,614,Côte d' Angole,,colonies portugaises d'Afrique,Portugal,Etranger,Europe
Marennes,Marennes,150,Amsterdam,,Hollande,Provinces-Unies,Etranger,Europe
Noirmoutier,Sables d'Olonne,292,Konigsberg,,,Prusse,Etranger,Europe
Marennes,Marennes,197,Konigsberg,,,Prusse,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,70,Frédérickshall,,Norvège,Danemark,Etranger,Europe
Marennes,Marennes,176,Amsterdam,,Hollande,Provinces-Unies,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,80,Amsterdam,,Hollande,Provinces-Unies,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,61,Bergen,,Norvège,Danemark,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,116,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
La Rochelle,La Rochelle,75,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,120,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,45,Stavanger,,Norvège,Danemark,Etranger,Europe
Noirmoutier,Sables d'Olonne,200,Baltique,,,zone maritime,Etranger,Europe
Marennes,Marennes,91,Bilbao,,,Espagne,Etranger,Europe
Charente,Charente,98,Copenhague,,,Danemark,Etranger,Europe
Marennes,Marennes,75,Amsterdam,,Hollande,Provinces-Unies,Etranger,Europe
Marennes,Marennes,32,Bilbao,,,Espagne,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,220,Amsterdam,,Hollande,Provinces-Unies,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,140,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,110,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,100,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
La Rochelle,La Rochelle,150,Saint Valéry sur Somme,Picardie,,France,France,France
Marennes,Marennes,117,Saint Valéry sur Somme,Picardie,,France,France,France
Marennes,Marennes,58,Saint Valéry sur Somme,Picardie,,France,France,France
Marennes,Marennes,72,Saint Valéry sur Somme,Picardie,,France,France,France
Noirmoutier,Sables d'Olonne,40,Nantes,Bretagne,,France,France,France
La Rochelle,La Rochelle,4,Le Croisic,Bretagne,,France,France,France
Marennes,Marennes,101,Le Havre,Normandie,,France,France,France
Marennes,Marennes,121,Le Havre,Normandie,,France,France,France
Marennes,Marennes,160,Le Havre,Normandie,,France,France,France
Ribérou [Saujon],Marennes,10,Côte de Bretagne,Bretagne,,France,France,France
Ribérou [Saujon],Marennes,10,Côte de Bretagne,Bretagne,,France,France,France
Marennes,Marennes,117,Honfleur,Normandie,,France,France,France
Marennes,Marennes,90,Gravelines,Flandre,,France,France,France
Noirmoutier,Sables d'Olonne,65,Etaples,Picardie,,France,France,France
Noirmoutier,Sables d'Olonne,25,Port Louis,Bretagne,,France,France,France
Marennes,Marennes,30,Port Louis,Bretagne,,France,France,France
Marennes,Marennes,79,Caen,Normandie,,France,France,France
Marennes,Marennes,71,Calais,Picardie,,France,France,France
Marennes,Marennes,58,Caen,Normandie,,France,France,France
Marennes,Marennes,63,Caen,Normandie,,France,France,France
Marennes,Marennes,75,Caen,Normandie,,France,France,France
Marennes,Marennes,10,Côte de Bretagne,Bretagne,,France,France,France
Ile de Bouin,,80,Nantes,Bretagne,,France,France,France
Ribérou [Saujon],Marennes,10,Côte de Bretagne,Bretagne,,France,France,France
Marennes,Marennes,128,Honfleur,Normandie,,France,France,France
Marennes,Marennes,99,Honfleur,Normandie,,France,France,France
Ile de Bouin,,28,Nantes,Bretagne,,France,France,France
Sables d' Olonne,Sables d'Olonne,10,Côte de Bretagne,Bretagne,,France,France,France
Marennes,Marennes,29,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,58,Caen,Normandie,,France,France,France
La Rochelle,La Rochelle,110,Saint Valéry sur Somme,Picardie,,France,France,France
Marennes,Marennes,27,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,43,Bordeaux,Guyenne,,France,France,France
La Rochelle,La Rochelle,16,Le Croisic,Bretagne,,France,France,France
Marennes,Marennes,30,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,29,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,43,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,77,Honfleur,Normandie,,France,France,France
Noirmoutier,Sables d'Olonne,40,Nantes,Bretagne,,France,France,France
Marennes,Marennes,53,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,20,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,25,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,132,Honfleur,Normandie,,France,France,France
Marennes,Marennes,44,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,33,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,43,Bordeaux,Guyenne,,France,France,France
