"pointcall","ferme_bureau","tonnage","pointcall","pointcall_province","substate_1789_fr","state_1789_fr","partner_balance_supp_1789","destination_radar"
La Rochelle,La Rochelle,129,Cote d' or,,,multi-Etat,Sénégal et Guinée,Afrique
La Rochelle,La Rochelle,517,Cote d' or,,,multi-Etat,Sénégal et Guinée,Afrique
La Rochelle,La Rochelle,809,Cote d' or,,,multi-Etat,Sénégal et Guinée,Afrique
La Rochelle,La Rochelle,402,Cote d' or,,,multi-Etat,Sénégal et Guinée,Afrique
Rochefort,Rochefort,230,Cote d' or,,,multi-Etat,Sénégal et Guinée,Afrique
La Rochelle,La Rochelle,92,Cote d' or,,,multi-Etat,Sénégal et Guinée,Afrique
Rochefort,Rochefort,315,Côte d' Afrique [de l' Ouest],,,multi-Etat,Sénégal et Guinée,Afrique
La Rochelle,La Rochelle,827,Cote d' or,,,multi-Etat,Sénégal et Guinée,Afrique
La Rochelle,La Rochelle,529,Cote d' or,,,multi-Etat,Sénégal et Guinée,Afrique
La Rochelle,La Rochelle,440,Cote d' or,,,multi-Etat,Sénégal et Guinée,Afrique
La Rochelle,La Rochelle,125,Cote d' or,,,multi-Etat,Sénégal et Guinée,Afrique
La Rochelle,La Rochelle,369,Gualbar Cote d' Affrique [Calabar],,,,Sénégal et Guinée,Afrique
La Rochelle,La Rochelle,250,Cap [Français],Saint-Domingue,colonies françaises d'Amérique,France,colonies françaises,Colonies
La Rochelle,La Rochelle,90,Saint Pierre et Miquelon,Canada,colonies françaises d'Amérique,France,colonies françaises,Colonies
La Rochelle,La Rochelle,150,Saint Pierre et Miquelon,Canada,colonies françaises d'Amérique,France,colonies françaises,Colonies
La Rochelle,La Rochelle,50,Saint Pierre et Miquelon,Canada,colonies françaises d'Amérique,France,colonies françaises,Colonies
La Rochelle,La Rochelle,400,La Martinique,Martinique,colonies françaises d'Amérique,France,colonies françaises,Colonies
La Rochelle,La Rochelle,200,Saint Pierre et Miquelon,Canada,colonies françaises d'Amérique,France,colonies françaises,Colonies
La Rochelle,La Rochelle,500,Ile Bourbon,Réunion,colonies françaises en Asie,France,colonies françaises,Colonies
La Rochelle,La Rochelle,240,Gonaives,,colonies françaises d'Amérique,France,colonies françaises,Colonies
Ars en Ré,Saint-Martin île de Ré,70,Colonies américaines,,colonies françaises d'Amérique,France,colonies françaises,Colonies
Rochefort,Rochefort,160,Cap [Français],Saint-Domingue,colonies françaises d'Amérique,France,colonies françaises,Colonies
La Rochelle,La Rochelle,210,Saint Pierre et Miquelon,Canada,colonies françaises d'Amérique,France,colonies françaises,Colonies
Sables d' Olonne,Sables d'Olonne,110,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Rochefort,Rochefort,200,Memel,,,Prusse,Etranger,Europe
Marennes,Marennes,107,Doort,,Hollande,Provinces-Unies,Etranger,Europe
Marennes,Marennes,156,Bilbao,,,Espagne,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,70,Bergen,,Norvège,Danemark,Etranger,Europe
Ars en Ré,Saint-Martin île de Ré,701,Amsterdam,,Hollande,Provinces-Unies,Etranger,Europe
La Rochelle,La Rochelle,200,Baltique,,,zone maritime,Etranger,Europe
Sables d' Olonne,Sables d'Olonne,116,Banc de Terre Neuve,,,zone maritime,Etranger,Europe
Saint Martin de Ré,Saint-Martin île de Ré,60,Bergen,,Norvège,Danemark,Etranger,Europe
