flow_id,port_dep,port_dest,latitude_dep,longitude_dep,latitude_dest,longitude_dest,category,nb_flows,tonnages_cumulés
45.95_-0.9_46.166667_-1.15,Charente,La Rochelle,45.95,-0.9,46.166667,-1.15,région PASA,22,730
45.95_-0.9_0.0_0.0,Charente,,45.95,-0.9,0.0,0.0,région PASA,1,36
45.95_-0.9_45.943666_-0.97043,Charente,Rochefort,45.95,-0.9,45.943666,-0.97043,région PASA,1,39
45.9_-1.2_46.166667_-1.15,Le Chateau [d' Oléron],La Rochelle,45.9,-1.2,46.166667,-1.15,région PASA,1,3
46.166667_-1.15_-11.467104_13.791503,La Rochelle,Côte d' Angole,46.166667,-1.15,-11.467104,13.791503,région PASA,4,4150
45.6755_-0.935826_46.166667_-1.15,Ribérou [Saujon],La Rochelle,45.6755,-0.935826,46.166667,-1.15,région PASA,11,207
45.816667_-1.116667_46.166667_-1.15,Marennes,La Rochelle,45.816667,-1.116667,46.166667,-1.15,région PASA,7,216
45.9_-1.2_44.833333_-0.566667,Le Chateau [d' Oléron],Bordeaux,45.9,-1.2,44.833333,-0.566667,région PASA,3,30
45.964614_-1.243436_46.166667_-1.15,La Perrotine,La Rochelle,45.964614,-1.243436,46.166667,-1.15,région PASA,4,80
45.816667_-1.116667_47.75_-3.366667,Marennes,Lorient,45.816667,-1.116667,47.75,-3.366667,région PASA,1,20
46.166667_-1.15_46.396209_-1.374028,La Rochelle,Moricq,46.166667,-1.15,46.396209,-1.374028,région PASA,40,1228
45.943666_-0.97043_46.396209_-1.374028,Rochefort,Moricq,45.943666,-0.97043,46.396209,-1.374028,région PASA,4,156
45.816667_-1.116667_46.2_-1.416667,Marennes,Ile de Ré,45.816667,-1.116667,46.2,-1.416667,région PASA,1,20
46.166667_-1.15_46.2_-1.366667,La Rochelle,Saint Martin de Ré,46.166667,-1.15,46.2,-1.366667,région PASA,10,111
46.166667_-1.15_45.91367_-0.959895,La Rochelle,Martrou,46.166667,-1.15,45.91367,-0.959895,région PASA,6,138
46.166667_-1.15_45.724946_-0.96379,La Rochelle,Chalon,46.166667,-1.15,45.724946,-0.96379,région PASA,6,120
46.166667_-1.15_1.486284_9.314575,La Rochelle,Cote d' or,46.166667,-1.15,1.486284,9.314575,région PASA,5,4479
46.166667_-1.15_45.95_-0.9,La Rochelle,Charente,46.166667,-1.15,45.95,-0.9,région PASA,17,574
46.166667_-1.15_46.188459_-1.328716,La Rochelle,La Flotte en Ré,46.166667,-1.15,46.188459,-1.328716,région PASA,16,356
46.166667_-1.15_46.312468_-0.995682,La Rochelle,Aligre de Marans,46.166667,-1.15,46.312468,-0.995682,région PASA,7,216
46.166667_-1.15_45.943666_-0.97043,La Rochelle,Rochefort,46.166667,-1.15,45.943666,-0.97043,région PASA,27,576
46.166667_-1.15_45.766667_-1.133333,La Rochelle,La Tremblade,46.166667,-1.15,45.766667,-1.133333,région PASA,2,26
46.166667_-1.15_45.933333_-1.3,La Rochelle,Oléron,46.166667,-1.15,45.933333,-1.3,région PASA,3,60
46.166667_-1.15_46.2_-1.416667,La Rochelle,Ile de Ré,46.166667,-1.15,46.2,-1.416667,région PASA,1,20
46.166667_-1.15_45.6755_-0.935826,La Rochelle,Ribérou [Saujon],46.166667,-1.15,45.6755,-0.935826,région PASA,2,32
46.396209_-1.374028_46.166667_-1.15,Moricq,La Rochelle,46.396209,-1.374028,46.166667,-1.15,France,38,1214
46.166667_-1.15_46.016667_-1.35,La Rochelle,La Prée,46.166667,-1.15,46.016667,-1.35,région PASA,5,100
46.166667_-1.15_-20.281263_57.556457,La Rochelle,Ile de France,46.166667,-1.15,-20.281263,57.556457,région PASA,2,540
46.396209_-1.374028_45.943666_-0.97043,Moricq,Rochefort,46.396209,-1.374028,45.943666,-0.97043,France,3,120
46.396209_-1.374028_46.2_-1.366667,Moricq,Saint Martin de Ré,46.396209,-1.374028,46.2,-1.366667,France,1,40
46.5_-1.783333_46.166667_-1.15,Sables d' Olonne,La Rochelle,46.5,-1.783333,46.166667,-1.15,France,2,40
46.5_-1.783333_45.943666_-0.97043,Sables d' Olonne,Rochefort,46.5,-1.783333,45.943666,-0.97043,France,1,40
46.5_-1.783333_46.312468_-0.995682,Sables d' Olonne,Aligre de Marans,46.5,-1.783333,46.312468,-0.995682,France,1,20
46.5_-1.783333_46.188459_-1.328716,Sables d' Olonne,La Flotte en Ré,46.5,-1.783333,46.188459,-1.328716,France,1,20
46.833333_-56.333333_46.166667_-1.15,Saint Pierre et Miquelon,La Rochelle,46.833333,-56.333333,46.166667,-1.15,France,4,380
46.166667_-1.15_44.833333_-0.566667,La Rochelle,Bordeaux,46.166667,-1.15,44.833333,-0.566667,région PASA,2,1580
46.166667_-1.15_46.833333_-56.333333,La Rochelle,Saint Pierre et Miquelon,46.166667,-1.15,46.833333,-56.333333,région PASA,4,428
46.166667_-1.15_46.5_-1.783333,La Rochelle,Sables d' Olonne,46.166667,-1.15,46.5,-1.783333,région PASA,1,20
46.166667_-1.15_45.8_-1.15,La Rochelle,Seudre,46.166667,-1.15,45.8,-1.15,région PASA,5,140
46.166667_-1.15_50.95_1.833333,La Rochelle,Calais,46.166667,-1.15,50.95,1.833333,région PASA,2,240
46.166667_-1.15_45.964614_-1.243436,La Rochelle,La Perrotine,46.166667,-1.15,45.964614,-1.243436,région PASA,2,40
46.312468_-0.995682_44.916667_-0.233333,Aligre de Marans,Libourne,46.312468,-0.995682,44.916667,-0.233333,région PASA,1,96
46.166667_-1.15_47.483333_-3.116667,La Rochelle,Quiberon,46.166667,-1.15,47.483333,-3.116667,région PASA,1,5
45.943666_-0.97043_46.166667_-1.15,Rochefort,La Rochelle,45.943666,-0.97043,46.166667,-1.15,région PASA,3,104
46.2_-1.366667_46.166667_-1.15,Saint Martin de Ré,La Rochelle,46.2,-1.366667,46.166667,-1.15,région PASA,1,32
46.166667_-1.15_46.166667_-1.15,La Rochelle,La Rochelle,46.166667,-1.15,46.166667,-1.15,région PASA,9,250
46.833333_-56.333333_40.718276_-74.004707,Saint Pierre et Miquelon,New York,46.833333,-56.333333,40.718276,-74.004707,France,1,88
46.166667_-1.15_50.183333_1.633333,La Rochelle,Saint Valéry sur Somme,46.166667,-1.15,50.183333,1.633333,région PASA,3,382
46.166667_-1.15_19.1_-72.65,La Rochelle,Saint Marc [Haiti],46.166667,-1.15,19.1,-72.65,région PASA,2,480
46.166667_-1.15_45.933333_-1.0,La Rochelle,Soubise,46.166667,-1.15,45.933333,-1.0,région PASA,3,90
46.166667_-1.15_14.661186_-17.426148,La Rochelle,Senegal,46.166667,-1.15,14.661186,-17.426148,région PASA,1,795
46.166667_-1.15_43.388103_-1.654143,La Rochelle,Saint Jean de Luz,46.166667,-1.15,43.388103,-1.654143,région PASA,2,100
46.166667_-1.15_49.963589_1.147613,La Rochelle,Saint Valery,46.166667,-1.15,49.963589,1.147613,région PASA,1,160
46.5_-1.783333_46.5_-1.783333,Sables d' Olonne,Sables d' Olonne,46.5,-1.783333,46.5,-1.783333,région PASA,1,20
46.312468_-0.995682_45.816667_-1.116667,Aligre de Marans,Marennes,46.312468,-0.995682,45.816667,-1.116667,région PASA,1,20
46.312468_-0.995682_46.166667_-1.15,Aligre de Marans,La Rochelle,46.312468,-0.995682,46.166667,-1.15,région PASA,2,40
46.312468_-0.995682_45.6755_-0.935826,Aligre de Marans,Ribérou [Saujon],46.312468,-0.995682,45.6755,-0.935826,région PASA,1,20
46.312468_-0.995682_46.5_-1.783333,Aligre de Marans,Sables d' Olonne,46.312468,-0.995682,46.5,-1.783333,région PASA,1,20
45.943666_-0.97043_45.933333_-1.3,Rochefort,Oléron,45.943666,-0.97043,45.933333,-1.3,région PASA,1,20
45.943666_-0.97043_46.2_-1.416667,Rochefort,Ile de Ré,45.943666,-0.97043,46.2,-1.416667,région PASA,1,32
45.943666_-0.97043_45.95_-0.9,Rochefort,Charente,45.943666,-0.97043,45.95,-0.9,région PASA,2,52
46.2_-1.366667_45.6755_-0.935826,Saint Martin de Ré,Ribérou [Saujon],46.2,-1.366667,45.6755,-0.935826,région PASA,1,2
46.166667_-1.15_45.816667_-1.116667,La Rochelle,Marennes,46.166667,-1.15,45.816667,-1.116667,région PASA,3,72
46.5_-1.783333_47.283333_-2.033333,Sables d' Olonne,Paimboeuf,46.5,-1.783333,47.283333,-2.033333,France,1,20
50.183333_1.633333_46.166667_-1.15,Saint Valéry sur Somme,La Rochelle,50.183333,1.633333,46.166667,-1.15,France,3,354
50.95_1.833333_46.166667_-1.15,Calais,La Rochelle,50.95,1.833333,46.166667,-1.15,France,3,180
50.95_1.833333_49.640322_-1.615534,Calais,Cherbourg,50.95,1.833333,49.640322,-1.615534,France,1,160
43.383333_-1.683333_46.833333_-56.333333,Socoa [Ciboure],Saint Pierre et Miquelon,43.383333,-1.683333,46.833333,-56.333333,France,1,50
44.833333_-0.566667_51.05_2.366667,Bordeaux,Dunkerque,44.833333,-0.566667,51.05,2.366667,France,3,171
44.833333_-0.566667_46.833333_-56.333333,Bordeaux,Saint Pierre et Miquelon,44.833333,-0.566667,46.833333,-56.333333,France,1,88
44.833333_-0.566667_45.933333_-1.3,Bordeaux,Oléron,44.833333,-0.566667,45.933333,-1.3,France,1,10
44.833333_-0.566667_46.166667_-1.15,Bordeaux,La Rochelle,44.833333,-0.566667,46.166667,-1.15,France,2,400
49.640322_-1.615534_46.166667_-1.15,Cherbourg,La Rochelle,49.640322,-1.615534,46.166667,-1.15,France,1,160
51.05_2.366667_44.833333_-0.566667,Dunkerque,Bordeaux,51.05,2.366667,44.833333,-0.566667,France,2,114
47.75_-3.366667_46.166667_-1.15,Lorient,La Rochelle,47.75,-3.366667,46.166667,-1.15,France,2,370
47.216667_-1.55_46.5_-1.783333,Nantes,Sables d' Olonne,47.216667,-1.55,46.5,-1.783333,France,2,40
47.216667_-1.55_46.166667_-1.15,Nantes,La Rochelle,47.216667,-1.55,46.166667,-1.15,France,1,328
49.5_0.133333_46.166667_-1.15,Le Havre,La Rochelle,49.5,0.133333,46.166667,-1.15,France,1,88
45.9_-1.2_45.724946_-0.96379,Le Chateau [d' Oléron],Chalon,45.9,-1.2,45.724946,-0.96379,région PASA,1,9
