type_of_object,name,cumulated_tonnage_in_region,cumulated_tonnage_out_region,nb_navigo_flows_taken_into_account,cumulated_exports_value_from_region,cumulated_exports_value_from_ext,nb_toflit_flows_taken_into_account,customs_office,customs_region,latitude,longitude
customs_office,Nantes,135344,303099,8014,3348357.0,36052367.0,800,Nantes,Nantes,47.216667,-1.55
customs_office,Bordeaux,13595,640668,9669,29592078.06609868,101917033.17109513,2156,Bordeaux,Bordeaux,44.833333,-0.566667
customs_office,Le Havre,1196327,356711,25151,2211500.0,35406442.0,1124,Le Havre,Rouen,49.5,0.133333
customs_office,Rochefort,155571,49434,4836,271247.212830719,2926.0,16,Rochefort,La Rochelle,45.943666,-0.97043
customs_office,Marennes,334704,389986,22340,900590.5277161099,2420.3518472,50,Marennes,La Rochelle,45.816667,-1.116667
customs_office,Saint-Martin-de-Ré,180386,118565,10033,582453.230921804,39574.22998465999,49,Saint-Martin-de-Ré,La Rochelle,46.2,-1.366667
customs_office,Marans,117028,43644,6875,886293.0956804581,2115.0,59,Marans,La Rochelle,46.312468,-0.995682
customs_office,Les Sables-d'Olonne,85316,189348,8554,108378.99994971,2148.0,26,Les Sables-d'Olonne,La Rochelle,46.5,-1.783333
customs_office,undefined customs office,0,0,0,0,0,0,undefined customs office,La Rochelle,ERROR,ERROR
customs_office,La Rochelle,428369,110688,16245,320999.62901201996,6756080.55002922,334,La Rochelle,La Rochelle,46.166667,-1.15
customs_office,Tonnay-Charente,342511,97791,11815,5875341.8166987905,0,40,Tonnay-Charente,La Rochelle,45.95,-0.9
customs_office,ile de Bouin : hors DFLR,1047,61900,2171,0,0,0,ile de Bouin : hors DFLR,La Rochelle,46.975134,-1.998682
