product,year,Exports,Imports
Café,1789,2625168.0,3728201.0
Coton non transformé,1789,5984.0,724896.0
Indigo,1789,262275.0,768549.0
Rocou,1789,3714.0,22588.0
Sucre,1789,2199311.0,2144347.0
Denrées coloniales et épiceries diverses,1789,43594.0,1748.0
Eaux-de-vie et liqueurs,1789,6002913.3873874415,7498.0
Graines grasses,1789,59248.56,
"Cuirs, peaux et pelleterie",1789,1240.0,113806.5
Vins divers,1789,291472.17269419995,264.0
"Ouvrages de bois, liège et jonc",1789,38017.00002,524071.10326059995
Divers mélangés,1789,1608.0,6148.0
Sel,1789,298213.56871873,
Matières brutes et transformées pour teinture,1789,8000.0,48783.000284120004
"Bière, cidre et vinaigre",1789,24016.249140324006,50812.7222232
"Armes, munitions, poudre et pierres à fusil",1789,37447.0,870.0
Fruits secs et noix,1789,391.0,
Beurre,1789,5818.0,25193.00009425
"Farine, gruau, biscuits et pâtes",1789,22470.0,4962.5
Bonneterie hors soie,1789,783.0,
Soieries diverses,1789,324.0,
"Brai, goudron et résines",1789,32173.0,6795.0001846000005
Verrerie,1789,7034.0,153.0
Objets d'art et d'histoire naturelle,1789,289713.0,57199.0
Chairs et œufs,1789,17396.0,310890.31036301004
Subsistances diverses et mélangées,1789,3585.0,12370.149790309999
"Cornes, corail, écailles, ivoire et nacre",1789,2800.0,47556.0
Chapeaux hors paille et écorce,1789,2700.0,
Cacao et chocolat,1789,120.0,3522.0
Cordage et filets,1789,21808.0,
Ouvrages métalliques,1789,128146.0,287855.65652794007
Étoffes de laine,1789,30580.0,4770.0
Manne et médicaments,1789,896.0,2279.0
Quinquina,1789,900.0,
Salsepareille,1789,204.0,
Céruse et blanc de plomb,1789,191.0,15090.19993612
Étoffes diverses,1789,11920.0,
Étoffes de soie,1789,26929.0,
Dorure,1789,360.0,
"Porcelaine, poterie, faïence et ouvrages de terre",1789,16379.0,76947.0
Fer-blanc,1789,1604.0,46721.70143114
Bâtiments de mer et apparaux,1789,738.0,50148.0
Métaux divers et mélangés,1789,255.0,8000.0001
Fils divers,1789,260.0,
Riz,1789,3578.0,13265.80034156
Blé et autres grains comestibles,1789,4538.0,613927.3255839519
Habits et lingerie,1789,2880.0,
Légumes,1789,14448.0,24619.0
Mercerie,1789,2054.0,5749.0
Châles et mouchoirs hors soie,1789,12441.0,
Châles et mouchoirs de soie,1789,144.0,
Ouvrages divers et mélangés,1789,17314.0,38834.0
Argenterie et orfèvrerie,1789,710.0,
Papier,1789,1396.0,529.60000662
Matières premières diverses,1789,4280.0,14699.0
Pêche et fruits de mer,1789,212.0,4912.0002564999995
Plomb,1789,54212.0,68544.67195357001
Quincaillerie,1789,14851.0,29750.850015090004
Toiles de coton,1789,368714.0,14745.75
Toiles diverses,1789,94051.0,
Toiles de chanvre et de lin,1789,170361.0,100386.6
Produits inconnus,1789,1221.0,
Vin de liqueurs,1789,132.0,
Divers incertains,1789,38060.0,
Combustibles dont charbons et bois,1789,,73370.0
Fromage,1789,,176494.09708342
Acier,1789,,16322.049849759998
Fleurs artificielles et ouvrages de mode,1789,,360.0
Chanvre,1789,,115230.59772844
Colles diverses,1789,,1222.5
Cuivre,1789,,23999.9
Azur et cobalt,1789,,1260.0
"Alquifoux, mine de plomb et graphite",1789,,3202.50010675
Poivre et piment,1789,,7709.0
Étain,1789,,3860.0
Graisses diverses,1789,,64574.54817180998
Bois divers hors combustible,1789,,3454.0
Huiles diverses,1789,,14850.00015548
Lin,1789,,4006.0
Sirop et mélasse,1789,,40345.0
"Bougies, chandelles et flambeaux",1789,,2413.3000380099998
Drogues médicinales diverses,1789,,1664.0
Alun,1789,,1364.999961
