flow_type,customs_office,product,partner,value
export,La Rochelle,autres produits,Afrique,255
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",260
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",400
export,La Rochelle,autres produits,Afrique,1044
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",175
export,La Rochelle,autres produits,Afrique,3200
export,La Rochelle,autres produits,Afrique,1600
export,La Rochelle,autres produits,Afrique,3578
export,La Rochelle,autres produits,Afrique,4538
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",1200
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",278
export,La Rochelle,autres produits,Afrique,14170
export,La Rochelle,autres produits,Afrique,325
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",1355
export,La Rochelle,eau-de-vie et vins divers,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",288
export,La Rochelle,eau-de-vie et vins divers,Afrique,1198
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",301
export,La Rochelle,autres produits,Afrique,1170
export,La Rochelle,autres produits,Afrique,2054
export,La Rochelle,autres produits,Afrique,7965
export,La Rochelle,autres produits,Afrique,2592
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",144
export,La Rochelle,autres produits,Afrique,1884
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",1400
export,La Rochelle,autres produits,Afrique,16819
export,La Rochelle,autres produits,Afrique,375
export,La Rochelle,autres produits,Afrique,150
export,La Rochelle,autres produits,Afrique,648
export,La Rochelle,autres produits,Afrique,480
