year,value
1718,1258704.0
1719,1950760.0
1720,3364080.0
1721,2687600.0
1722,1889030.0
1723,2163015.0
1724,2912280.0
1725,2731370.0
1726,1114957.0
1727,1961639.20001064
1728,2310068.0
1729,1983224.0
1730,1522460.0
1731,1457020.0
1732,1245243.0
1733,1447398.0
1734,1768738.7
1735,1556535.2
1736,985395.0
1737,1215979.75
1738,1348485.0408006
1739,935904.7008
1740,1601255.5
1741,1011474.0
1744,1909911.4573217998
1746,2191079.0000012
1747,1345834.0
1748,583452.5
1749,1089857.3991999999
1751,1409750.6148365003
1752,1063897.32684115
1753,972445.713971
1754,641231.0
1756,1268440.7020697999
1757,2008723.0583579002
1758,2108915.0
1759,1777072.0
1760,1923005.0
1761,2782073.8125377493
1762,1874755.5750408
1765,2325257.6991
1766,1963615.1666359
1767,1462667.3333244
1768,983003.4212371999
1769,754357.8457264999
1770,1021182.50723
1771,885925.5625
1772,510401.2468191
1773,1264895.9349161
1774,1519201.0176102
1775,1523242.00315
1776,2206716.25
1778,1068003.3274003
1779,948101.2515
1780,1481513.25
1789,6002913.3873874415
1750,858427.6999889999
