port,nb_pointcalls_out,mean_tonnage,cumulated_tonnage,latitude,longitude
Mortagne,17,35.0,595,45.483333,-0.783333
Tonnay-Charente,620,45.093548387096774,27958,45.95,-0.9
Ribérou,437,15.077803203661327,6589,45.6755,-0.935826
Rochefort,371,68.911051212938,25566,45.943666,-0.97043
Marans,640,20.7703125,13293,46.312468,-0.995682
Soubise,7,26.714285714285715,187,45.933333,-1
Royan,14,31.285714285714285,438,45.633333,-1.033333
Esnandes,2,17.5,35,46.25,-1.083333
Marennes,1496,60.401737967914436,90361,45.816667,-1.116667
La Tremblade,1,8.0,8,45.766667,-1.133333
Champagné-les-Marais,1,27.0,27,46.366667,-1.133333
La Rochelle,1067,45.80599812558575,48875,46.166667,-1.15
Le Château-d'Oléron,55,11.472727272727273,631,45.9,-1.2
La Perrotine,77,18.935064935064936,1458,45.964614,-1.243436
Saint-Michel-en-l'Herm,69,8.26086956521739,570,46.35,-1.25
La Flotte-en-Ré,8,11.625,93,46.188459,-1.328716
Saint-Martin-de-Ré,478,33.99163179916318,16248,46.2,-1.366667
Moricq,97,24.896907216494846,2415,46.396209,-1.374028
Saint-Denis d'Oléron,68,20.36764705882353,1385,46.033333,-1.383333
La Tranche-sur-Mer,24,13.083333333333334,314,46.333333,-1.433333
Ars-en-Ré,307,66.30944625407166,20357,46.216667,-1.516667
Les Sables-d'Olonne,194,40.61340206185567,7879,46.5,-1.783333
Saint-Gilles-sur-Vie,78,36.41025641025641,2840,46.697882,-1.945124
Beauvoir-sur-Mer,122,34.21311475409836,4174,46.916667,-2.05
Noirmoutier,290,43.58275862068965,12639,47,-2.25
